,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Algeria,Cancel public events,2020-03-10,2020-08-14,2.0,37644.0
9,Algeria,Cancel public events,2020-08-15,2021-03-15,1.0,77277.0
10,Algeria,Cancel public events,2021-03-16,2021-04-05,2.0,2199.0
17,Algeria,Close public transport,2020-03-23,2020-06-13,2.0,10580.0
18,Algeria,Close public transport,2020-08-08,2021-04-05,2.0,83046.0
37,Algeria,Contact tracing,2020-06-28,2021-04-05,2.0,104466.0
28,Algeria,Debt/contract relief,2020-04-04,2020-06-03,1.0,8482.0
29,Algeria,Debt/contract relief,2020-06-04,2021-02-04,2.0,98550.0
30,Algeria,Debt/contract relief,2021-02-05,2021-04-05,1.0,9110.0
38,Algeria,Emergency investment in healthcare,2020-03-22,2020-03-22,100000000.0,0.0
39,Algeria,Emergency investment in healthcare,2020-06-04,2020-06-04,226000000.0,0.0
40,Algeria,Facial Coverings,2020-04-23,2020-04-23,3.0,0.0
41,Algeria,Facial Coverings,2020-05-24,2021-04-05,3.0,109433.0
31,Algeria,Fiscal measures,2020-04-19,2020-04-19,170534452.0,0.0
32,Algeria,Fiscal measures,2020-06-04,2020-06-04,545000000.0,0.0
27,Algeria,Income support,2020-04-13,2020-06-13,1.0,8827.0
24,Algeria,International travel controls,2020-03-12,2020-03-13,1.0,2.0
25,Algeria,International travel controls,2020-03-14,2020-03-16,3.0,17.0
26,Algeria,International travel controls,2020-03-17,2021-04-05,4.0,117679.0
44,Algeria,Protection of elderly people,2020-03-23,2020-04-23,3.0,2777.0
45,Algeria,Protection of elderly people,2020-04-24,2021-04-05,2.0,114612.0
33,Algeria,Public information campaigns,2020-03-05,2020-04-13,1.0,1971.0
34,Algeria,Public information campaigns,2020-04-14,2021-04-05,2.0,115669.0
11,Algeria,Restrictions on gatherings,2020-03-30,2020-04-23,4.0,2423.0
12,Algeria,Restrictions on gatherings,2020-04-24,2020-07-26,3.0,24230.0
13,Algeria,Restrictions on gatherings,2020-07-27,2020-08-14,4.0,9691.0
14,Algeria,Restrictions on gatherings,2020-08-18,2021-02-21,4.0,72473.0
15,Algeria,Restrictions on gatherings,2021-02-22,2021-03-01,3.0,1161.0
16,Algeria,Restrictions on gatherings,2021-03-02,2021-04-05,4.0,4309.0
21,Algeria,Restrictions on internal movement,2020-03-23,2020-04-23,2.0,2777.0
22,Algeria,Restrictions on internal movement,2020-05-12,2020-05-13,2.0,186.0
23,Algeria,Restrictions on internal movement,2020-07-10,2021-04-05,2.0,99497.0
0,Algeria,School closing,2020-03-12,2020-08-31,3.0,44470.0
1,Algeria,School closing,2020-09-01,2020-11-03,2.0,14146.0
2,Algeria,School closing,2020-11-04,2021-04-05,1.0,58212.0
19,Algeria,Stay at home requirements,2020-03-23,2020-04-23,3.0,2777.0
20,Algeria,Stay at home requirements,2020-04-24,2021-04-05,2.0,114612.0
35,Algeria,Testing policy,2020-03-22,2021-03-01,1.0,113054.0
36,Algeria,Testing policy,2021-03-02,2021-04-05,2.0,4309.0
42,Algeria,Vaccination policy,2021-02-22,2021-03-01,2.0,1161.0
43,Algeria,Vaccination policy,2021-03-02,2021-04-05,3.0,4309.0
3,Algeria,Workplace closing,2020-03-23,2020-03-29,2.0,281.0
4,Algeria,Workplace closing,2020-03-30,2020-04-23,3.0,2423.0
5,Algeria,Workplace closing,2020-04-24,2020-10-21,2.0,51954.0
6,Algeria,Workplace closing,2020-10-22,2020-11-14,1.0,11462.0
7,Algeria,Workplace closing,2020-11-15,2021-04-05,2.0,50060.0
