,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
6,Andorra,Cancel public events,2020-03-13,2020-07-06,1.0,854.0
7,Andorra,Cancel public events,2020-07-07,2020-07-20,2.0,29.0
8,Andorra,Cancel public events,2020-07-21,2020-09-20,1.0,680.0
9,Andorra,Cancel public events,2020-09-21,2021-04-05,2.0,10605.0
12,Andorra,Close public transport,2020-03-25,2021-04-05,1.0,12098.0
32,Andorra,Contact tracing,2020-03-27,2020-07-28,1.0,640.0
33,Andorra,Contact tracing,2020-07-29,2021-04-05,2.0,11368.0
20,Andorra,Debt/contract relief,2020-05-09,2021-04-05,2.0,11532.0
34,Andorra,Emergency investment in healthcare,2020-03-30,2020-03-30,2509518.5,0.0
35,Andorra,Facial Coverings,2020-03-11,2020-07-14,2.0,860.0
36,Andorra,Facial Coverings,2020-07-15,2021-01-25,3.0,8734.0
37,Andorra,Facial Coverings,2021-01-26,2021-02-09,2.0,674.0
38,Andorra,Facial Coverings,2021-02-10,2021-04-05,3.0,1934.0
21,Andorra,Fiscal measures,2020-02-27,2020-02-27,141399000.0,0.0
22,Andorra,Fiscal measures,2020-05-27,2020-05-27,137063808.0,0.0
23,Andorra,Fiscal measures,2020-08-12,2020-08-12,18901028.86,0.0
19,Andorra,Income support,2020-03-13,2021-04-05,2.0,12285.0
24,Andorra,International support,2020-08-26,2020-08-26,473499125.0,0.0
14,Andorra,International travel controls,2020-04-08,2020-05-10,3.0,191.0
15,Andorra,International travel controls,2020-05-11,2020-12-08,2.0,6372.0
16,Andorra,International travel controls,2020-12-09,2021-01-25,1.0,2434.0
17,Andorra,International travel controls,2021-01-26,2021-03-23,2.0,1953.0
18,Andorra,International travel controls,2021-03-24,2021-04-05,1.0,648.0
43,Andorra,Protection of elderly people,2020-04-21,2021-01-25,2.0,8879.0
44,Andorra,Protection of elderly people,2021-01-26,2021-02-09,1.0,674.0
45,Andorra,Protection of elderly people,2021-02-10,2021-04-05,2.0,1934.0
25,Andorra,Public information campaigns,2020-03-25,2020-06-30,2.0,667.0
26,Andorra,Public information campaigns,2020-07-22,2020-10-21,1.0,2922.0
27,Andorra,Public information campaigns,2020-10-22,2021-04-05,2.0,8475.0
10,Andorra,Restrictions on gatherings,2020-07-07,2020-09-20,3.0,709.0
11,Andorra,Restrictions on gatherings,2020-09-21,2021-04-05,4.0,10605.0
0,Andorra,School closing,2020-03-16,2020-06-01,3.0,763.0
1,Andorra,School closing,2020-06-02,2020-10-15,1.0,2346.0
2,Andorra,School closing,2020-10-16,2020-11-24,2.0,2974.0
3,Andorra,School closing,2020-11-25,2021-04-05,1.0,5858.0
13,Andorra,Stay at home requirements,2020-03-13,2020-07-06,1.0,854.0
28,Andorra,Testing policy,2020-03-02,2020-04-17,1.0,695.0
29,Andorra,Testing policy,2020-04-18,2020-07-06,3.0,151.0
30,Andorra,Testing policy,2020-07-07,2020-11-15,2.0,5017.0
31,Andorra,Testing policy,2020-11-16,2021-04-05,3.0,6372.0
39,Andorra,Vaccination policy,2021-01-20,2021-02-09,2.0,1004.0
40,Andorra,Vaccination policy,2021-02-10,2021-03-01,1.0,537.0
41,Andorra,Vaccination policy,2021-03-02,2021-03-04,2.0,68.0
42,Andorra,Vaccination policy,2021-03-05,2021-04-05,3.0,1288.0
4,Andorra,Workplace closing,2020-03-14,2020-04-19,3.0,712.0
5,Andorra,Workplace closing,2020-04-20,2021-04-05,2.0,11569.0
