,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
31,Australia,Cancel public events,2020-03-16,2020-03-17,1.0,75.0
32,Australia,Cancel public events,2020-03-18,2020-06-11,2.0,6721.0
33,Australia,Cancel public events,2020-06-12,2020-06-30,1.0,626.0
34,Australia,Cancel public events,2020-07-01,2020-10-27,2.0,19552.0
35,Australia,Cancel public events,2020-10-28,2020-11-30,1.0,347.0
36,Australia,Cancel public events,2020-12-01,2021-01-10,2.0,691.0
37,Australia,Cancel public events,2021-01-11,2021-01-30,1.0,177.0
38,Australia,Cancel public events,2021-01-31,2021-02-04,2.0,24.0
39,Australia,Cancel public events,2021-02-05,2021-02-11,1.0,39.0
40,Australia,Cancel public events,2021-02-12,2021-02-17,2.0,20.0
41,Australia,Cancel public events,2021-02-18,2021-03-28,1.0,358.0
42,Australia,Cancel public events,2021-03-29,2021-03-31,2.0,26.0
43,Australia,Cancel public events,2021-04-01,2021-04-09,1.0,63.0
58,Australia,Close public transport,2020-05-18,2021-04-09,1.0,22328.0
95,Australia,Contact tracing,2020-01-25,2021-04-09,2.0,29396.0
76,Australia,Debt/contract relief,2020-03-25,2020-12-31,2.0,26061.0
77,Australia,Debt/contract relief,2021-01-01,2021-03-27,1.0,799.0
96,Australia,Emergency investment in healthcare,2020-03-11,2020-03-11,1561787799.0,0.0
97,Australia,Emergency investment in healthcare,2020-03-21,2020-03-21,7530897.0,0.0
98,Australia,Emergency investment in healthcare,2020-06-16,2020-06-16,267992561.0,0.0
99,Australia,Emergency investment in healthcare,2020-08-17,2020-08-17,23152213.83,0.0
100,Australia,Emergency investment in healthcare,2021-03-14,2021-03-14,854085674.0,0.0
107,Australia,Facial Coverings,2020-07-13,2020-07-29,1.0,6047.0
108,Australia,Facial Coverings,2020-07-30,2020-11-21,4.0,10918.0
109,Australia,Facial Coverings,2020-11-22,2021-01-07,2.0,737.0
110,Australia,Facial Coverings,2021-01-08,2021-01-10,4.0,32.0
111,Australia,Facial Coverings,2021-01-11,2021-01-30,2.0,177.0
112,Australia,Facial Coverings,2021-01-31,2021-02-11,3.0,69.0
113,Australia,Facial Coverings,2021-02-12,2021-02-17,4.0,20.0
114,Australia,Facial Coverings,2021-02-18,2021-02-26,3.0,47.0
115,Australia,Facial Coverings,2021-02-27,2021-03-28,2.0,306.0
116,Australia,Facial Coverings,2021-03-29,2021-04-09,3.0,100.0
78,Australia,Fiscal measures,2020-03-12,2020-03-12,11046974400.0,0.0
79,Australia,Fiscal measures,2020-03-22,2020-03-22,99179238800.0,0.0
80,Australia,Fiscal measures,2020-03-29,2020-03-29,663117139.0,0.0
81,Australia,Fiscal measures,2020-03-30,2020-03-30,80223000000.0,0.0
82,Australia,Fiscal measures,2020-04-02,2020-04-02,970999874.0,0.0
83,Australia,Fiscal measures,2020-06-16,2020-06-16,344000000.0,0.0
84,Australia,Fiscal measures,2020-08-26,2020-08-26,725774728.23,0.0
85,Australia,Fiscal measures,2021-01-13,2021-01-13,3878657.0,0.0
86,Australia,Fiscal measures,2021-03-11,2021-03-11,932740110.0,0.0
75,Australia,Income support,2020-03-12,2021-03-30,1.0,29176.0
87,Australia,International support,2020-05-29,2020-05-29,185925761.0,0.0
88,Australia,International support,2020-06-01,2020-06-01,6123664.0,0.0
89,Australia,International support,2020-10-06,2020-10-06,216550000.0,0.0
90,Australia,International support,2020-11-14,2020-11-14,364632406.0,0.0
73,Australia,International travel controls,2020-02-01,2020-03-19,3.0,669.0
74,Australia,International travel controls,2020-03-20,2021-04-09,4.0,28605.0
101,Australia,Investment in vaccines,2020-03-22,2020-03-22,7473254.0,0.0
102,Australia,Investment in vaccines,2020-06-02,2020-06-02,4534000.0,0.0
103,Australia,Investment in vaccines,2020-09-07,2020-09-07,1679740000.0,0.0
104,Australia,Investment in vaccines,2020-11-05,2020-11-05,1090500000.0,0.0
105,Australia,Investment in vaccines,2021-01-04,2021-01-04,7736600.0,0.0
106,Australia,Investment in vaccines,2021-01-27,2021-01-27,363000000.0,0.0
119,Australia,Protection of elderly people,2020-03-24,2020-04-01,1.0,2818.0
120,Australia,Protection of elderly people,2020-04-02,2020-05-14,2.0,1903.0
121,Australia,Protection of elderly people,2020-05-15,2020-05-28,1.0,130.0
122,Australia,Protection of elderly people,2020-07-01,2020-07-07,2.0,885.0
123,Australia,Protection of elderly people,2020-07-08,2020-07-15,3.0,1754.0
124,Australia,Protection of elderly people,2020-07-16,2020-08-01,2.0,6662.0
125,Australia,Protection of elderly people,2020-08-02,2020-08-27,3.0,7130.0
126,Australia,Protection of elderly people,2020-08-28,2020-10-27,2.0,2006.0
127,Australia,Protection of elderly people,2020-10-28,2020-12-09,1.0,435.0
128,Australia,Protection of elderly people,2020-12-10,2021-01-30,2.0,800.0
129,Australia,Protection of elderly people,2021-01-31,2021-02-04,3.0,24.0
130,Australia,Protection of elderly people,2021-02-05,2021-02-11,2.0,39.0
131,Australia,Protection of elderly people,2021-02-12,2021-02-26,3.0,73.0
132,Australia,Protection of elderly people,2021-02-27,2021-03-25,2.0,269.0
