,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
11,Azerbaijan,Cancel public events,2020-03-10,2020-03-13,1.0,4.0
12,Azerbaijan,Cancel public events,2020-03-14,2021-04-05,2.0,271819.0
14,Azerbaijan,Close public transport,2020-03-31,2020-05-08,1.0,1981.0
15,Azerbaijan,Close public transport,2020-06-21,2020-09-05,2.0,24463.0
16,Azerbaijan,Close public transport,2020-09-06,2020-11-21,1.0,52569.0
17,Azerbaijan,Close public transport,2020-11-22,2020-12-04,2.0,44906.0
18,Azerbaijan,Close public transport,2020-12-05,2021-01-01,1.0,76718.0
19,Azerbaijan,Close public transport,2021-01-02,2021-01-04,2.0,1137.0
20,Azerbaijan,Close public transport,2021-01-05,2021-01-08,1.0,2016.0
21,Azerbaijan,Close public transport,2021-01-09,2021-01-10,2.0,601.0
22,Azerbaijan,Close public transport,2021-01-11,2021-01-15,1.0,1722.0
23,Azerbaijan,Close public transport,2021-01-16,2021-01-17,2.0,322.0
24,Azerbaijan,Close public transport,2021-01-18,2021-01-22,1.0,1135.0
25,Azerbaijan,Close public transport,2021-01-23,2021-04-05,2.0,43146.0
57,Azerbaijan,Contact tracing,2020-02-28,2020-12-04,2.0,138000.0
58,Azerbaijan,Contact tracing,2020-12-05,2020-12-10,1.0,20451.0
59,Azerbaijan,Contact tracing,2020-12-11,2021-04-05,2.0,104679.0
45,Azerbaijan,Debt/contract relief,2021-02-04,2021-03-31,1.0,30944.0
60,Azerbaijan,Emergency investment in healthcare,2021-01-01,2021-01-01,153500000.0,0.0
61,Azerbaijan,Facial Coverings,2020-06-03,2020-12-13,3.0,169614.0
62,Azerbaijan,Facial Coverings,2020-12-14,2021-04-05,4.0,92848.0
46,Azerbaijan,Fiscal measures,2020-03-19,2020-03-19,588235290.0,0.0
47,Azerbaijan,Fiscal measures,2020-03-21,2020-03-21,11989705.9,0.0
43,Azerbaijan,Income support,2020-04-08,2020-12-04,2.0,137178.0
44,Azerbaijan,Income support,2020-12-05,2021-03-26,1.0,110357.0
48,Azerbaijan,International support,2020-03-06,2020-03-06,5000000.0,0.0
49,Azerbaijan,International support,2020-03-11,2020-03-11,5000000.0,0.0
40,Azerbaijan,International travel controls,2020-01-30,2020-02-28,1.0,0.0
41,Azerbaijan,International travel controls,2020-02-29,2020-04-15,3.0,1253.0
42,Azerbaijan,International travel controls,2020-04-16,2021-04-05,4.0,270551.0
66,Azerbaijan,Protection of elderly people,2020-03-14,2020-05-17,3.0,3259.0
67,Azerbaijan,Protection of elderly people,2020-05-18,2020-06-20,1.0,8851.0
68,Azerbaijan,Protection of elderly people,2020-06-21,2020-08-04,2.0,20181.0
69,Azerbaijan,Protection of elderly people,2020-08-05,2020-12-13,1.0,142771.0
70,Azerbaijan,Protection of elderly people,2020-12-14,2021-02-03,3.0,51631.0
71,Azerbaijan,Protection of elderly people,2021-02-04,2021-04-05,1.0,41065.0
50,Azerbaijan,Public information campaigns,2020-02-27,2021-04-05,2.0,271834.0
13,Azerbaijan,Restrictions on gatherings,2020-03-14,2021-04-05,4.0,271819.0
37,Azerbaijan,Restrictions on internal movement,2020-03-19,2020-10-22,2.0,47374.0
38,Azerbaijan,Restrictions on internal movement,2020-10-23,2020-12-04,1.0,89779.0
39,Azerbaijan,Restrictions on internal movement,2020-12-05,2021-01-24,2.0,86652.0
0,Azerbaijan,School closing,2020-03-03,2020-09-14,3.0,38400.0
1,Azerbaijan,School closing,2020-09-15,2020-10-18,2.0,6447.0
2,Azerbaijan,School closing,2020-10-19,2021-01-31,3.0,184924.0
3,Azerbaijan,School closing,2021-02-01,2021-04-04,2.0,40439.0
4,Azerbaijan,School closing,2021-04-05,2021-04-05,3.0,0.0
26,Azerbaijan,Stay at home requirements,2020-03-31,2020-05-17,3.0,2976.0
27,Azerbaijan,Stay at home requirements,2020-05-18,2020-06-02,1.0,2548.0
28,Azerbaijan,Stay at home requirements,2020-06-03,2020-06-07,3.0,1293.0
29,Azerbaijan,Stay at home requirements,2020-06-08,2020-06-13,1.0,1694.0
30,Azerbaijan,Stay at home requirements,2020-06-14,2020-06-16,3.0,705.0
31,Azerbaijan,Stay at home requirements,2020-06-17,2020-06-20,1.0,1247.0
32,Azerbaijan,Stay at home requirements,2020-06-21,2020-08-09,3.0,20839.0
33,Azerbaijan,Stay at home requirements,2020-08-10,2020-09-17,2.0,5130.0
34,Azerbaijan,Stay at home requirements,2020-09-18,2020-12-10,1.0,123880.0
35,Azerbaijan,Stay at home requirements,2020-12-11,2021-02-03,2.0,63462.0
36,Azerbaijan,Stay at home requirements,2021-02-04,2021-04-05,1.0,41065.0
51,Azerbaijan,Testing policy,2020-02-27,2020-03-02,1.0,3.0
52,Azerbaijan,Testing policy,2020-03-03,2020-11-21,2.0,89895.0
53,Azerbaijan,Testing policy,2020-11-22,2020-12-04,3.0,44906.0
54,Azerbaijan,Testing policy,2020-12-05,2021-03-14,2.0,97972.0
55,Azerbaijan,Testing policy,2021-03-15,2021-03-26,3.0,12009.0
56,Azerbaijan,Testing policy,2021-03-27,2021-04-05,2.0,17464.0
63,Azerbaijan,Vaccination policy,2021-01-18,2021-02-07,1.0,3763.0
64,Azerbaijan,Vaccination policy,2021-02-08,2021-03-26,2.0,21482.0
65,Azerbaijan,Vaccination policy,2021-03-27,2021-04-05,4.0,17464.0
5,Azerbaijan,Workplace closing,2020-03-23,2020-03-30,2.0,201.0
6,Azerbaijan,Workplace closing,2020-03-31,2020-04-26,3.0,1347.0
7,Azerbaijan,Workplace closing,2020-04-27,2020-12-10,2.0,161096.0
8,Azerbaijan,Workplace closing,2020-12-11,2021-01-18,3.0,60236.0
9,Azerbaijan,Workplace closing,2021-01-19,2021-01-31,2.0,2523.0
10,Azerbaijan,Workplace closing,2021-02-01,2021-04-05,1.0,41538.0
