,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
6,Bahamas,Cancel public events,2020-03-20,2020-06-30,2.0,101.0
7,Bahamas,Cancel public events,2020-07-01,2020-07-22,1.0,115.0
8,Bahamas,Cancel public events,2020-07-23,2021-04-06,2.0,8996.0
12,Bahamas,Close public transport,2020-03-20,2020-06-30,2.0,101.0
13,Bahamas,Close public transport,2020-07-01,2020-07-22,1.0,115.0
14,Bahamas,Close public transport,2020-07-23,2020-09-09,2.0,2447.0
15,Bahamas,Close public transport,2020-09-10,2021-04-06,1.0,6549.0
35,Bahamas,Contact tracing,2020-03-14,2021-04-06,2.0,9270.0
26,Bahamas,Debt/contract relief,2020-03-17,2020-03-23,1.0,3.0
27,Bahamas,Debt/contract relief,2020-03-24,2020-06-30,2.0,99.0
28,Bahamas,Debt/contract relief,2020-07-01,2020-07-06,1.0,0.0
29,Bahamas,Debt/contract relief,2021-03-23,2021-04-06,1.0,335.0
36,Bahamas,Emergency investment in healthcare,2020-05-27,2020-05-27,20000000.0,0.0
38,Bahamas,Facial Coverings,2020-03-19,2020-04-07,1.0,30.0
39,Bahamas,Facial Coverings,2020-04-08,2020-07-21,4.0,154.0
40,Bahamas,Facial Coverings,2020-07-22,2021-04-06,3.0,9051.0
30,Bahamas,Fiscal measures,2020-03-30,2020-03-30,31700000.0,0.0
31,Bahamas,Fiscal measures,2020-05-27,2020-05-27,340700000.0,0.0
24,Bahamas,Income support,2020-03-22,2020-12-09,1.0,7581.0
25,Bahamas,Income support,2021-03-23,2021-04-06,1.0,335.0
19,Bahamas,International travel controls,2020-03-24,2020-06-30,4.0,99.0
20,Bahamas,International travel controls,2020-07-01,2020-07-20,1.0,70.0
21,Bahamas,International travel controls,2020-07-21,2020-10-31,2.0,6520.0
22,Bahamas,International travel controls,2020-11-01,2021-03-22,1.0,2209.0
23,Bahamas,International travel controls,2021-03-23,2021-04-06,3.0,335.0
37,Bahamas,Investment in vaccines,2020-12-08,2020-12-08,1600000.0,0.0
43,Bahamas,Protection of elderly people,2020-03-18,2020-03-23,1.0,3.0
44,Bahamas,Protection of elderly people,2020-03-24,2020-08-24,3.0,1793.0
45,Bahamas,Protection of elderly people,2020-08-30,2021-04-06,3.0,7103.0
32,Bahamas,Public information campaigns,2020-01-22,2020-02-26,1.0,0.0
33,Bahamas,Public information campaigns,2020-02-27,2021-04-06,2.0,9270.0
9,Bahamas,Restrictions on gatherings,2020-03-20,2020-06-30,4.0,101.0
10,Bahamas,Restrictions on gatherings,2020-07-01,2020-07-22,3.0,115.0
11,Bahamas,Restrictions on gatherings,2020-07-23,2021-04-06,4.0,8996.0
17,Bahamas,Restrictions on internal movement,2020-03-24,2020-05-31,2.0,97.0
18,Bahamas,Restrictions on internal movement,2020-07-20,2021-04-06,2.0,9096.0
0,Bahamas,School closing,2020-03-16,2021-03-22,3.0,8922.0
1,Bahamas,School closing,2021-03-23,2021-04-06,2.0,335.0
16,Bahamas,Stay at home requirements,2020-03-20,2021-04-06,2.0,9267.0
34,Bahamas,Testing policy,2020-03-04,2021-04-06,1.0,9270.0
41,Bahamas,Vaccination policy,2021-01-19,2021-03-22,1.0,855.0
42,Bahamas,Vaccination policy,2021-03-23,2021-04-06,2.0,335.0
2,Bahamas,Workplace closing,2020-03-20,2020-05-27,3.0,97.0
3,Bahamas,Workplace closing,2020-05-28,2020-07-22,2.0,118.0
4,Bahamas,Workplace closing,2020-07-23,2020-09-09,3.0,2447.0
5,Bahamas,Workplace closing,2020-09-10,2021-04-06,2.0,6549.0
