,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
9,Bahrain,Cancel public events,2020-03-18,2021-02-22,2.0,118274.0
10,Bahrain,Cancel public events,2021-02-23,2021-03-22,1.0,17536.0
11,Bahrain,Cancel public events,2021-03-23,2021-04-06,2.0,13261.0
17,Bahrain,Close public transport,2020-03-28,2020-07-06,1.0,29345.0
18,Bahrain,Close public transport,2021-02-23,2021-03-22,1.0,17536.0
40,Bahrain,Contact tracing,2020-02-23,2021-04-06,2.0,150811.0
31,Bahrain,Debt/contract relief,2020-02-01,2020-03-18,1.0,256.0
32,Bahrain,Debt/contract relief,2020-03-19,2020-11-05,2.0,82508.0
33,Bahrain,Debt/contract relief,2020-11-24,2021-04-06,2.0,64795.0
41,Bahrain,Emergency investment in healthcare,2020-03-17,2020-03-17,468500000.0,0.0
42,Bahrain,Facial Coverings,2020-04-09,2021-01-04,3.0,92879.0
43,Bahrain,Facial Coverings,2021-01-19,2021-04-06,3.0,52551.0
34,Bahrain,Fiscal measures,2020-03-17,2020-03-17,11436170212.0,0.0
35,Bahrain,Fiscal measures,2020-07-14,2020-07-14,471702438.83,0.0
30,Bahrain,Income support,2020-04-01,2021-04-06,2.0,150242.0
26,Bahrain,International travel controls,2020-01-27,2020-02-11,1.0,0.0
27,Bahrain,International travel controls,2020-02-12,2020-10-29,3.0,81262.0
28,Bahrain,International travel controls,2020-10-30,2021-03-22,1.0,55275.0
29,Bahrain,International travel controls,2021-03-23,2021-04-06,2.0,13261.0
46,Bahrain,Protection of elderly people,2020-06-03,2021-01-04,2.0,80951.0
47,Bahrain,Protection of elderly people,2021-01-05,2021-01-18,3.0,3945.0
48,Bahrain,Protection of elderly people,2021-01-19,2021-04-06,2.0,52551.0
36,Bahrain,Public information campaigns,2020-01-22,2021-04-06,2.0,150811.0
12,Bahrain,Restrictions on gatherings,2020-03-18,2020-03-21,3.0,49.0
13,Bahrain,Restrictions on gatherings,2020-03-22,2021-02-15,4.0,113256.0
14,Bahrain,Restrictions on gatherings,2021-02-16,2021-02-22,3.0,4169.0
15,Bahrain,Restrictions on gatherings,2021-02-23,2021-03-09,1.0,8595.0
16,Bahrain,Restrictions on gatherings,2021-03-10,2021-04-06,3.0,22383.0
24,Bahrain,Restrictions on internal movement,2020-03-18,2020-08-22,1.0,48782.0
25,Bahrain,Restrictions on internal movement,2021-02-23,2021-04-06,1.0,31606.0
0,Bahrain,School closing,2020-02-24,2020-02-25,2.0,22.0
1,Bahrain,School closing,2020-02-26,2020-09-15,3.0,61610.0
2,Bahrain,School closing,2020-09-16,2020-09-26,2.0,6291.0
3,Bahrain,School closing,2020-09-27,2021-01-30,1.0,33265.0
4,Bahrain,School closing,2021-01-31,2021-03-14,3.0,27944.0
5,Bahrain,School closing,2021-03-15,2021-04-06,1.0,19128.0
19,Bahrain,Stay at home requirements,2020-03-18,2020-08-22,1.0,48782.0
20,Bahrain,Stay at home requirements,2020-09-17,2020-12-13,2.0,25954.0
21,Bahrain,Stay at home requirements,2020-12-14,2021-01-18,1.0,8672.0
22,Bahrain,Stay at home requirements,2021-01-19,2021-01-25,2.0,1970.0
23,Bahrain,Stay at home requirements,2021-01-26,2021-04-06,1.0,50122.0
37,Bahrain,Testing policy,2020-02-09,2020-02-25,1.0,23.0
38,Bahrain,Testing policy,2020-02-26,2020-03-30,2.0,482.0
39,Bahrain,Testing policy,2020-03-31,2021-04-06,3.0,150244.0
44,Bahrain,Vaccination policy,2020-12-25,2021-03-14,5.0,39697.0
45,Bahrain,Vaccination policy,2021-03-15,2021-04-06,3.0,19128.0
6,Bahrain,Workplace closing,2020-03-18,2020-03-25,2.0,163.0
7,Bahrain,Workplace closing,2020-03-26,2020-04-08,3.0,365.0
8,Bahrain,Workplace closing,2020-04-09,2021-04-06,2.0,149924.0
