,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
14,Barbados,Cancel public events,2020-03-17,2020-06-14,2.0,94.0
15,Barbados,Cancel public events,2020-06-15,2021-01-01,1.0,298.0
16,Barbados,Cancel public events,2021-01-02,2021-04-04,2.0,3273.0
24,Barbados,Close public transport,2020-04-08,2020-10-08,1.0,140.0
25,Barbados,Close public transport,2020-10-29,2021-04-04,1.0,3434.0
49,Barbados,Contact tracing,2020-03-20,2021-04-04,2.0,3663.0
39,Barbados,Debt/contract relief,2020-04-01,2020-08-20,1.0,122.0
40,Barbados,Debt/contract relief,2020-08-21,2020-12-20,2.0,150.0
41,Barbados,Debt/contract relief,2020-12-21,2021-04-04,1.0,3347.0
50,Barbados,Emergency investment in healthcare,2020-10-29,2020-10-29,11613382.0,0.0
51,Barbados,Facial Coverings,2020-04-11,2020-04-14,1.0,4.0
52,Barbados,Facial Coverings,2020-04-15,2021-02-02,2.0,1513.0
53,Barbados,Facial Coverings,2021-02-03,2021-04-04,3.0,2057.0
42,Barbados,Fiscal measures,2020-03-23,2020-03-23,10000000.0,0.0
43,Barbados,Fiscal measures,2020-04-23,2020-04-23,1000000000.0,0.0
38,Barbados,Income support,2020-04-01,2021-04-04,1.0,3634.0
44,Barbados,International support,2020-06-19,2020-06-19,15000.0,0.0
34,Barbados,International travel controls,2020-02-15,2020-03-03,1.0,0.0
35,Barbados,International travel controls,2020-03-04,2020-07-11,2.0,103.0
36,Barbados,International travel controls,2020-07-12,2020-08-02,1.0,29.0
37,Barbados,International travel controls,2020-08-03,2021-04-04,2.0,3536.0
56,Barbados,Protection of elderly people,2020-03-28,2021-04-04,2.0,3642.0
45,Barbados,Public information campaigns,2020-01-22,2021-04-04,2.0,3668.0
17,Barbados,Restrictions on gatherings,2020-03-17,2020-04-02,3.0,44.0
18,Barbados,Restrictions on gatherings,2020-04-03,2020-05-31,4.0,41.0
19,Barbados,Restrictions on gatherings,2020-06-01,2020-06-14,3.0,4.0
20,Barbados,Restrictions on gatherings,2020-06-15,2020-07-24,2.0,11.0
21,Barbados,Restrictions on gatherings,2020-10-29,2020-12-31,2.0,149.0
22,Barbados,Restrictions on gatherings,2021-01-01,2021-01-01,3.0,0.0
23,Barbados,Restrictions on gatherings,2021-01-02,2021-04-04,4.0,3273.0
31,Barbados,Restrictions on internal movement,2020-03-17,2020-03-27,1.0,22.0
32,Barbados,Restrictions on internal movement,2020-03-28,2020-06-30,2.0,71.0
33,Barbados,Restrictions on internal movement,2020-07-01,2020-08-20,1.0,59.0
0,Barbados,School closing,2020-03-19,2020-06-07,3.0,87.0
1,Barbados,School closing,2020-06-08,2020-09-20,2.0,97.0
2,Barbados,School closing,2020-09-21,2021-01-17,1.0,906.0
3,Barbados,School closing,2021-01-18,2021-04-04,3.0,2573.0
26,Barbados,Stay at home requirements,2020-03-28,2020-04-02,1.0,20.0
27,Barbados,Stay at home requirements,2020-04-03,2020-05-03,3.0,31.0
28,Barbados,Stay at home requirements,2020-05-04,2020-06-30,2.0,15.0
29,Barbados,Stay at home requirements,2020-07-01,2020-08-20,1.0,59.0
30,Barbados,Stay at home requirements,2020-12-31,2021-04-04,2.0,3285.0
46,Barbados,Testing policy,2020-01-26,2020-04-18,1.0,75.0
47,Barbados,Testing policy,2020-04-19,2021-03-28,2.0,3554.0
48,Barbados,Testing policy,2021-03-29,2021-04-04,3.0,34.0
54,Barbados,Vaccination policy,2021-02-16,2021-02-16,1.0,0.0
55,Barbados,Vaccination policy,2021-02-17,2021-04-04,3.0,1211.0
4,Barbados,Workplace closing,2020-03-28,2020-05-03,3.0,56.0
5,Barbados,Workplace closing,2020-05-04,2020-07-22,2.0,24.0
6,Barbados,Workplace closing,2020-07-23,2021-02-02,1.0,1480.0
7,Barbados,Workplace closing,2021-02-03,2021-02-28,3.0,1457.0
8,Barbados,Workplace closing,2021-03-01,2021-03-27,2.0,494.0
9,Barbados,Workplace closing,2021-03-28,2021-03-28,3.0,0.0
10,Barbados,Workplace closing,2021-03-29,2021-04-01,1.0,25.0
11,Barbados,Workplace closing,2021-04-02,2021-04-02,3.0,0.0
12,Barbados,Workplace closing,2021-04-03,2021-04-03,1.0,0.0
13,Barbados,Workplace closing,2021-04-04,2021-04-04,3.0,0.0
