,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Benin,Cancel public events,2020-03-17,2020-06-01,2.0,242.0
9,Benin,Cancel public events,2020-06-02,2020-11-08,1.0,2501.0
10,Benin,Cancel public events,2020-11-09,2020-12-14,2.0,309.0
11,Benin,Cancel public events,2020-12-15,2021-01-17,1.0,323.0
12,Benin,Cancel public events,2021-03-08,2021-04-05,1.0,975.0
15,Benin,Close public transport,2020-03-30,2020-06-01,2.0,237.0
16,Benin,Close public transport,2021-03-23,2021-04-11,1.0,697.0
44,Benin,Contact tracing,2020-03-07,2021-03-07,2.0,6071.0
45,Benin,Contact tracing,2021-04-06,2021-04-11,2.0,202.0
31,Benin,Debt/contract relief,2020-06-10,2021-02-28,1.0,5129.0
32,Benin,Debt/contract relief,2021-03-01,2021-03-07,2.0,637.0
33,Benin,Debt/contract relief,2021-04-06,2021-04-11,2.0,202.0
46,Benin,Emergency investment in healthcare,2020-03-08,2020-03-08,12066590.0,0.0
47,Benin,Emergency investment in healthcare,2020-04-30,2020-04-30,3170720.0,0.0
48,Benin,Emergency investment in healthcare,2020-05-07,2020-05-07,3508784.0,0.0
49,Benin,Emergency investment in healthcare,2020-10-22,2020-10-22,30000000.0,0.0
50,Benin,Facial Coverings,2020-04-08,2020-10-31,3.0,2617.0
51,Benin,Facial Coverings,2020-11-01,2021-04-11,4.0,4832.0
34,Benin,Fiscal measures,2020-06-10,2020-06-10,127683025.0,0.0
35,Benin,Fiscal measures,2020-07-29,2020-07-29,180000000.0,0.0
36,Benin,Fiscal measures,2020-10-08,2020-10-08,324290122.0,0.0
29,Benin,Income support,2020-06-10,2021-03-07,2.0,5766.0
30,Benin,Income support,2021-04-06,2021-04-11,2.0,202.0
37,Benin,International support,2021-02-19,2021-02-19,4500000.0,0.0
20,Benin,International travel controls,2020-02-01,2020-03-09,1.0,0.0
21,Benin,International travel controls,2020-03-10,2020-05-16,2.0,339.0
22,Benin,International travel controls,2020-05-17,2020-05-17,4.0,0.0
23,Benin,International travel controls,2020-05-18,2020-10-31,2.0,2304.0
24,Benin,International travel controls,2020-11-01,2021-01-17,1.0,730.0
25,Benin,International travel controls,2021-01-18,2021-02-08,3.0,780.0
26,Benin,International travel controls,2021-02-09,2021-03-22,4.0,2625.0
27,Benin,International travel controls,2021-03-23,2021-04-05,3.0,495.0
28,Benin,International travel controls,2021-04-06,2021-04-11,4.0,202.0
38,Benin,Public information campaigns,2020-02-22,2020-02-29,1.0,0.0
39,Benin,Public information campaigns,2020-03-01,2021-04-11,2.0,7515.0
13,Benin,Restrictions on gatherings,2020-03-30,2020-05-10,4.0,313.0
14,Benin,Restrictions on gatherings,2020-05-11,2021-04-11,3.0,7196.0
18,Benin,Restrictions on internal movement,2020-03-30,2020-05-10,2.0,313.0
19,Benin,Restrictions on internal movement,2020-09-15,2020-10-31,1.0,376.0
0,Benin,School closing,2020-03-30,2020-05-10,3.0,313.0
1,Benin,School closing,2020-05-11,2020-10-22,2.0,2238.0
2,Benin,School closing,2020-10-23,2021-01-11,1.0,806.0
3,Benin,School closing,2021-03-08,2021-04-05,1.0,975.0
17,Benin,Stay at home requirements,2021-04-06,2021-04-11,1.0,202.0
40,Benin,Testing policy,2020-03-08,2020-04-19,1.0,35.0
41,Benin,Testing policy,2020-04-20,2020-12-06,2.0,3001.0
42,Benin,Testing policy,2020-12-07,2021-04-05,1.0,4240.0
43,Benin,Testing policy,2021-04-06,2021-04-11,2.0,202.0
52,Benin,Vaccination policy,2021-03-29,2021-04-11,3.0,415.0
4,Benin,Workplace closing,2020-03-30,2020-06-01,2.0,237.0
5,Benin,Workplace closing,2020-06-02,2020-10-31,1.0,2399.0
6,Benin,Workplace closing,2020-11-09,2021-01-11,1.0,582.0
7,Benin,Workplace closing,2021-03-08,2021-04-05,1.0,975.0
