,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Bosnia and Herzegovina,Cancel public events,2020-03-10,2020-03-16,1.0,20.0
9,Bosnia and Herzegovina,Cancel public events,2020-03-17,2020-12-17,2.0,104061.0
10,Bosnia and Herzegovina,Cancel public events,2020-12-18,2021-04-08,1.0,75950.0
16,Bosnia and Herzegovina,Close public transport,2020-03-17,2020-05-10,2.0,2091.0
17,Bosnia and Herzegovina,Close public transport,2020-05-11,2020-05-14,1.0,77.0
30,Bosnia and Herzegovina,Debt/contract relief,2020-03-01,2020-07-04,1.0,4962.0
31,Bosnia and Herzegovina,Debt/contract relief,2021-01-07,2021-04-08,1.0,67439.0
37,Bosnia and Herzegovina,Emergency investment in healthcare,2020-04-27,2020-04-27,16459500.0,0.0
39,Bosnia and Herzegovina,Facial Coverings,2020-03-29,2021-04-08,3.0,180508.0
32,Bosnia and Herzegovina,Fiscal measures,2020-04-07,2020-04-07,47732500.0,0.0
33,Bosnia and Herzegovina,Fiscal measures,2020-04-27,2020-04-27,27432500.0,0.0
34,Bosnia and Herzegovina,Fiscal measures,2020-06-06,2020-06-06,580000000.0,0.0
28,Bosnia and Herzegovina,Income support,2020-03-01,2020-07-04,1.0,4962.0
29,Bosnia and Herzegovina,Income support,2021-01-07,2021-04-08,1.0,67439.0
24,Bosnia and Herzegovina,International travel controls,2020-03-10,2020-05-10,3.0,2112.0
25,Bosnia and Herzegovina,International travel controls,2020-05-11,2020-05-31,4.0,369.0
26,Bosnia and Herzegovina,International travel controls,2020-07-05,2020-09-06,3.0,16598.0
27,Bosnia and Herzegovina,International travel controls,2020-09-07,2021-04-08,1.0,159171.0
38,Bosnia and Herzegovina,Investment in vaccines,2021-02-02,2021-02-02,9190000.0,0.0
41,Bosnia and Herzegovina,Protection of elderly people,2020-03-22,2020-05-31,3.0,2384.0
42,Bosnia and Herzegovina,Protection of elderly people,2020-06-01,2020-06-20,2.0,749.0
43,Bosnia and Herzegovina,Protection of elderly people,2020-06-21,2021-04-08,3.0,177558.0
35,Bosnia and Herzegovina,Public information campaigns,2020-01-31,2021-04-08,2.0,180831.0
11,Bosnia and Herzegovina,Restrictions on gatherings,2020-03-10,2020-03-17,2.0,21.0
12,Bosnia and Herzegovina,Restrictions on gatherings,2020-03-18,2020-05-28,4.0,2424.0
13,Bosnia and Herzegovina,Restrictions on gatherings,2020-05-29,2020-06-12,3.0,408.0
14,Bosnia and Herzegovina,Restrictions on gatherings,2020-06-13,2020-07-23,2.0,6569.0
15,Bosnia and Herzegovina,Restrictions on gatherings,2020-07-24,2021-04-08,3.0,171064.0
21,Bosnia and Herzegovina,Restrictions on internal movement,2020-03-16,2020-03-19,1.0,38.0
22,Bosnia and Herzegovina,Restrictions on internal movement,2020-03-20,2020-05-28,2.0,2373.0
23,Bosnia and Herzegovina,Restrictions on internal movement,2020-05-29,2020-08-20,1.0,14544.0
0,Bosnia and Herzegovina,School closing,2020-03-11,2020-08-30,3.0,19786.0
1,Bosnia and Herzegovina,School closing,2020-08-31,2020-10-22,1.0,17350.0
2,Bosnia and Herzegovina,School closing,2020-10-23,2020-12-07,2.0,56451.0
3,Bosnia and Herzegovina,School closing,2020-12-08,2021-04-08,1.0,84810.0
18,Bosnia and Herzegovina,Stay at home requirements,2020-03-20,2020-04-23,3.0,1324.0
19,Bosnia and Herzegovina,Stay at home requirements,2020-04-24,2020-05-20,2.0,917.0
20,Bosnia and Herzegovina,Stay at home requirements,2020-11-11,2021-04-08,2.0,114266.0
36,Bosnia and Herzegovina,Testing policy,2020-02-25,2021-04-08,2.0,180831.0
40,Bosnia and Herzegovina,Vaccination policy,2021-02-06,2021-03-01,1.0,7545.0
4,Bosnia and Herzegovina,Workplace closing,2020-03-17,2020-05-10,3.0,2091.0
5,Bosnia and Herzegovina,Workplace closing,2020-05-11,2020-07-04,2.0,2821.0
6,Bosnia and Herzegovina,Workplace closing,2020-07-05,2020-12-17,1.0,99125.0
7,Bosnia and Herzegovina,Workplace closing,2020-12-18,2021-04-08,2.0,75950.0
