,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
7,Alagoas,Cancel public events,2020-03-13,2020-03-15,1.0,-1.0
8,Alagoas,Cancel public events,2020-03-16,2021-02-27,2.0,131065.0
9,Alagoas,Cancel public events,2021-02-28,2021-03-04,1.0,2050.0
10,Alagoas,Cancel public events,2021-03-05,2021-03-19,2.0,10970.0
13,Alagoas,Close public transport,2020-03-23,2021-03-19,1.0,145381.0
31,Alagoas,Contact tracing,2020-02-27,2020-03-31,1.0,18.0
32,Alagoas,Contact tracing,2020-04-01,2020-10-29,2.0,90546.0
33,Alagoas,Contact tracing,2020-12-31,2021-03-19,2.0,40571.0
25,Alagoas,Debt/contract relief,2020-03-10,2020-12-26,1.0,103124.0
34,Alagoas,Facial Coverings,2020-04-15,2020-05-03,2.0,1358.0
35,Alagoas,Facial Coverings,2020-05-04,2020-10-29,4.0,89026.0
36,Alagoas,Facial Coverings,2020-12-31,2021-01-11,4.0,4002.0
20,Alagoas,International travel controls,2020-03-13,2020-03-17,2.0,0.0
21,Alagoas,International travel controls,2020-03-18,2020-03-26,3.0,10.0
22,Alagoas,International travel controls,2020-03-27,2020-07-28,4.0,57130.0
23,Alagoas,International travel controls,2020-07-29,2021-01-04,2.0,47908.0
24,Alagoas,International travel controls,2021-01-05,2021-03-19,1.0,38979.0
37,Alagoas,Protection of elderly people,2020-04-27,2020-04-27,3.0,0.0
38,Alagoas,Protection of elderly people,2020-10-24,2021-01-05,1.0,16286.0
39,Alagoas,Protection of elderly people,2021-01-07,2021-01-07,1.0,0.0
40,Alagoas,Protection of elderly people,2021-02-28,2021-03-19,3.0,13643.0
26,Alagoas,Public information campaigns,2020-01-26,2020-10-29,2.0,90564.0
27,Alagoas,Public information campaigns,2020-12-31,2021-03-19,2.0,40571.0
11,Alagoas,Restrictions on gatherings,2020-03-13,2020-03-22,2.0,6.0
12,Alagoas,Restrictions on gatherings,2020-03-23,2021-03-19,4.0,145381.0
16,Alagoas,Restrictions on internal movement,2020-03-18,2020-03-22,1.0,6.0
17,Alagoas,Restrictions on internal movement,2020-03-23,2020-07-28,2.0,57134.0
18,Alagoas,Restrictions on internal movement,2020-07-29,2020-10-19,1.0,31404.0
19,Alagoas,Restrictions on internal movement,2021-02-28,2021-03-19,2.0,13643.0
0,Alagoas,School closing,2020-03-17,2020-03-22,2.0,6.0
1,Alagoas,School closing,2020-03-23,2020-10-25,3.0,90169.0
2,Alagoas,School closing,2020-10-26,2021-03-19,2.0,55135.0
14,Alagoas,Stay at home requirements,2020-03-17,2021-03-18,1.0,144411.0
15,Alagoas,Stay at home requirements,2021-03-19,2021-03-19,2.0,0.0
28,Alagoas,Testing policy,2020-02-27,2020-05-05,1.0,1605.0
29,Alagoas,Testing policy,2020-05-06,2020-10-29,2.0,88861.0
30,Alagoas,Testing policy,2020-12-31,2021-03-19,2.0,40571.0
3,Alagoas,Workplace closing,2020-03-20,2020-03-20,1.0,0.0
4,Alagoas,Workplace closing,2020-03-21,2020-03-29,2.0,10.0
5,Alagoas,Workplace closing,2020-03-30,2020-07-28,3.0,57125.0
6,Alagoas,Workplace closing,2020-07-29,2021-03-19,2.0,87265.0
