,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Goias,Cancel public events,2020-03-13,2020-12-06,2.0,286041.0
9,Goias,Cancel public events,2020-12-07,2021-02-24,1.0,101309.0
10,Goias,Cancel public events,2021-02-25,2021-03-19,2.0,59820.0
14,Goias,Close public transport,2020-03-20,2021-03-19,1.0,450998.0
28,Goias,Contact tracing,2020-04-01,2021-03-19,2.0,450943.0
25,Goias,Debt/contract relief,2020-03-17,2020-12-26,1.0,304432.0
29,Goias,Facial Coverings,2020-04-20,2021-01-11,4.0,319365.0
21,Goias,International travel controls,2020-03-13,2020-03-17,2.0,7.0
22,Goias,International travel controls,2020-03-18,2020-03-26,3.0,26.0
23,Goias,International travel controls,2020-03-27,2020-07-28,4.0,61564.0
24,Goias,International travel controls,2020-07-29,2021-03-19,1.0,386766.0
30,Goias,Protection of elderly people,2020-05-07,2021-01-05,1.0,311097.0
31,Goias,Protection of elderly people,2021-01-07,2021-03-19,1.0,135453.0
26,Goias,Public information campaigns,2020-01-26,2021-03-19,2.0,451016.0
11,Goias,Restrictions on gatherings,2020-03-13,2020-08-05,4.0,78400.0
12,Goias,Restrictions on gatherings,2020-08-06,2020-12-06,3.0,204325.0
13,Goias,Restrictions on gatherings,2020-12-07,2021-03-19,2.0,163771.0
17,Goias,Restrictions on internal movement,2020-03-18,2020-03-19,1.0,3.0
18,Goias,Restrictions on internal movement,2020-03-20,2020-04-18,2.0,360.0
19,Goias,Restrictions on internal movement,2020-04-19,2020-05-16,1.0,1259.0
20,Goias,Restrictions on internal movement,2020-06-02,2020-09-30,1.0,206754.0
0,Goias,School closing,2020-03-15,2020-11-10,3.0,264267.0
1,Goias,School closing,2020-11-11,2021-03-14,2.0,169580.0
2,Goias,School closing,2021-03-15,2021-03-19,3.0,11995.0
15,Goias,Stay at home requirements,2020-03-17,2021-03-14,1.0,434701.0
16,Goias,Stay at home requirements,2021-03-15,2021-03-19,2.0,11995.0
27,Goias,Testing policy,2020-04-22,2021-03-19,2.0,450578.0
3,Goias,Workplace closing,2020-03-17,2020-07-13,3.0,37323.0
4,Goias,Workplace closing,2020-07-14,2020-08-04,2.0,36711.0
5,Goias,Workplace closing,2020-08-05,2020-08-19,3.0,32301.0
6,Goias,Workplace closing,2020-08-20,2021-02-26,2.0,283401.0
7,Goias,Workplace closing,2021-02-27,2021-03-19,3.0,55302.0
