,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
9,Maranhao,Cancel public events,2020-03-13,2020-03-15,1.0,0.0
10,Maranhao,Cancel public events,2020-03-16,2020-08-27,2.0,148923.0
11,Maranhao,Cancel public events,2020-08-28,2021-02-05,1.0,59187.0
12,Maranhao,Cancel public events,2021-02-06,2021-02-14,2.0,3270.0
13,Maranhao,Cancel public events,2021-02-15,2021-03-03,1.0,7945.0
14,Maranhao,Cancel public events,2021-03-04,2021-03-19,2.0,10824.0
21,Maranhao,Close public transport,2020-05-05,2021-02-05,1.0,204303.0
22,Maranhao,Close public transport,2021-02-16,2021-02-22,1.0,2732.0
23,Maranhao,Close public transport,2021-03-05,2021-03-19,2.0,10227.0
41,Maranhao,Contact tracing,2020-04-01,2021-03-19,2.0,232638.0
38,Maranhao,Debt/contract relief,2020-03-17,2020-12-26,1.0,200043.0
42,Maranhao,Facial Coverings,2020-04-15,2021-01-11,4.0,201355.0
34,Maranhao,International travel controls,2020-03-13,2020-03-17,2.0,0.0
35,Maranhao,International travel controls,2020-03-18,2020-03-26,3.0,10.0
36,Maranhao,International travel controls,2020-03-27,2020-07-28,4.0,115975.0
37,Maranhao,International travel controls,2020-07-29,2021-03-19,1.0,115014.0
43,Maranhao,Protection of elderly people,2020-03-21,2020-04-10,2.0,342.0
44,Maranhao,Protection of elderly people,2020-04-11,2020-12-28,3.0,199822.0
45,Maranhao,Protection of elderly people,2020-12-29,2021-01-05,1.0,691.0
46,Maranhao,Protection of elderly people,2021-01-07,2021-01-29,1.0,5504.0
47,Maranhao,Protection of elderly people,2021-01-30,2021-02-05,3.0,1916.0
48,Maranhao,Protection of elderly people,2021-02-06,2021-03-12,1.0,17552.0
49,Maranhao,Protection of elderly people,2021-03-13,2021-03-19,2.0,4704.0
39,Maranhao,Public information campaigns,2020-01-26,2021-03-19,2.0,232708.0
15,Maranhao,Restrictions on gatherings,2020-03-13,2020-08-16,2.0,136853.0
16,Maranhao,Restrictions on gatherings,2020-08-17,2020-09-21,3.0,30540.0
17,Maranhao,Restrictions on gatherings,2020-09-22,2020-10-15,2.0,11241.0
18,Maranhao,Restrictions on gatherings,2020-10-19,2021-01-18,2.0,22036.0
19,Maranhao,Restrictions on gatherings,2021-01-27,2021-03-04,2.0,15594.0
20,Maranhao,Restrictions on gatherings,2021-03-05,2021-03-19,4.0,10227.0
28,Maranhao,Restrictions on internal movement,2020-03-18,2020-03-20,1.0,1.0
29,Maranhao,Restrictions on internal movement,2020-03-21,2020-04-26,2.0,2408.0
30,Maranhao,Restrictions on internal movement,2020-04-27,2020-05-04,1.0,2002.0
31,Maranhao,Restrictions on internal movement,2020-05-05,2020-05-17,2.0,8210.0
32,Maranhao,Restrictions on internal movement,2020-06-02,2020-09-30,1.0,135390.0
33,Maranhao,Restrictions on internal movement,2021-03-05,2021-03-19,1.0,10227.0
0,Maranhao,School closing,2020-03-17,2020-07-25,3.0,113563.0
1,Maranhao,School closing,2020-07-26,2021-02-05,2.0,95440.0
2,Maranhao,School closing,2021-02-06,2021-02-14,3.0,3270.0
3,Maranhao,School closing,2021-02-15,2021-03-04,2.0,8797.0
4,Maranhao,School closing,2021-03-05,2021-03-19,3.0,10227.0
24,Maranhao,Stay at home requirements,2020-03-17,2020-05-04,1.0,4530.0
25,Maranhao,Stay at home requirements,2020-05-05,2020-05-17,2.0,8210.0
26,Maranhao,Stay at home requirements,2020-05-18,2021-03-18,1.0,217676.0
27,Maranhao,Stay at home requirements,2021-03-19,2021-03-19,2.0,0.0
40,Maranhao,Testing policy,2020-03-17,2021-03-19,2.0,232708.0
5,Maranhao,Workplace closing,2020-03-17,2020-05-31,3.0,35297.0
6,Maranhao,Workplace closing,2020-06-01,2020-10-20,2.0,145395.0
7,Maranhao,Workplace closing,2020-10-21,2021-03-03,1.0,38549.0
8,Maranhao,Workplace closing,2021-03-04,2021-03-19,2.0,10824.0
