,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
5,Paraiba,Cancel public events,2020-03-13,2020-03-16,1.0,0.0
6,Paraiba,Cancel public events,2020-03-17,2021-03-19,2.0,244264.0
10,Paraiba,Close public transport,2020-03-21,2020-07-05,2.0,52727.0
11,Paraiba,Close public transport,2020-07-06,2021-03-19,1.0,191113.0
29,Paraiba,Contact tracing,2020-04-01,2021-03-19,2.0,244243.0
25,Paraiba,Debt/contract relief,2020-03-17,2020-12-26,1.0,163107.0
30,Paraiba,Facial Coverings,2020-05-04,2021-01-11,4.0,171938.0
21,Paraiba,International travel controls,2020-03-13,2020-03-17,2.0,0.0
22,Paraiba,International travel controls,2020-03-18,2020-03-26,3.0,5.0
23,Paraiba,International travel controls,2020-03-27,2020-07-28,4.0,78165.0
24,Paraiba,International travel controls,2020-07-29,2021-03-19,1.0,164366.0
31,Paraiba,Protection of elderly people,2020-03-16,2021-01-05,2.0,168545.0
32,Paraiba,Protection of elderly people,2021-01-07,2021-03-19,2.0,73653.0
26,Paraiba,Public information campaigns,2020-01-26,2021-03-19,2.0,244264.0
7,Paraiba,Restrictions on gatherings,2020-03-13,2020-03-16,2.0,0.0
8,Paraiba,Restrictions on gatherings,2020-03-17,2020-05-31,3.0,13162.0
9,Paraiba,Restrictions on gatherings,2020-06-01,2021-02-20,4.0,197587.0
17,Paraiba,Restrictions on internal movement,2020-03-18,2020-03-20,1.0,0.0
18,Paraiba,Restrictions on internal movement,2020-03-21,2020-06-14,2.0,28012.0
19,Paraiba,Restrictions on internal movement,2020-06-15,2021-02-21,1.0,183618.0
20,Paraiba,Restrictions on internal movement,2021-02-22,2021-03-19,2.0,31037.0
0,Paraiba,School closing,2020-03-18,2021-03-19,3.0,244263.0
12,Paraiba,Stay at home requirements,2020-03-20,2020-05-31,1.0,13161.0
13,Paraiba,Stay at home requirements,2020-06-01,2020-06-14,3.0,14318.0
14,Paraiba,Stay at home requirements,2020-06-15,2020-07-12,2.0,32116.0
15,Paraiba,Stay at home requirements,2020-07-13,2021-02-21,1.0,151178.0
16,Paraiba,Stay at home requirements,2021-02-22,2021-03-19,2.0,31037.0
27,Paraiba,Testing policy,2020-04-26,2020-05-05,1.0,950.0
28,Paraiba,Testing policy,2020-05-06,2021-03-19,2.0,242607.0
1,Paraiba,Workplace closing,2020-03-20,2020-07-14,3.0,62461.0
2,Paraiba,Workplace closing,2020-07-15,2021-03-12,2.0,171680.0
3,Paraiba,Workplace closing,2021-03-13,2021-03-14,3.0,1256.0
4,Paraiba,Workplace closing,2021-03-15,2021-03-19,2.0,4670.0
