,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
18,Piaui,Cancel public events,2020-03-13,2020-03-15,1.0,0.0
19,Piaui,Cancel public events,2020-03-16,2020-09-10,2.0,85225.0
20,Piaui,Cancel public events,2020-09-11,2020-09-29,1.0,10001.0
21,Piaui,Cancel public events,2020-09-30,2021-03-19,2.0,94996.0
25,Piaui,Close public transport,2020-03-20,2020-12-26,2.0,140492.0
26,Piaui,Close public transport,2020-12-27,2021-03-19,1.0,51096.0
48,Piaui,Contact tracing,2020-04-01,2021-03-19,2.0,191826.0
44,Piaui,Debt/contract relief,2020-03-17,2020-12-26,1.0,140496.0
49,Piaui,Facial Coverings,2020-04-14,2020-04-26,2.0,289.0
50,Piaui,Facial Coverings,2020-04-27,2021-01-11,4.0,147624.0
39,Piaui,International travel controls,2020-03-13,2020-03-17,2.0,0.0
40,Piaui,International travel controls,2020-03-18,2020-03-26,3.0,9.0
41,Piaui,International travel controls,2020-03-27,2020-07-28,4.0,48952.0
42,Piaui,International travel controls,2020-07-29,2021-02-19,1.0,118988.0
43,Piaui,International travel controls,2021-03-19,2021-03-19,1.0,0.0
51,Piaui,Protection of elderly people,2020-03-20,2020-03-22,1.0,2.0
52,Piaui,Protection of elderly people,2020-03-23,2020-03-25,2.0,2.0
53,Piaui,Protection of elderly people,2020-03-26,2021-01-05,3.0,144848.0
54,Piaui,Protection of elderly people,2021-01-07,2021-03-19,3.0,45848.0
45,Piaui,Public information campaigns,2020-01-26,2021-03-19,2.0,191845.0
22,Piaui,Restrictions on gatherings,2020-03-13,2020-03-17,2.0,0.0
23,Piaui,Restrictions on gatherings,2020-03-18,2020-09-10,4.0,85225.0
24,Piaui,Restrictions on gatherings,2020-09-30,2021-02-17,4.0,70775.0
29,Piaui,Restrictions on internal movement,2020-03-18,2020-03-22,1.0,6.0
30,Piaui,Restrictions on internal movement,2020-03-23,2020-07-06,2.0,27508.0
31,Piaui,Restrictions on internal movement,2020-07-07,2020-07-10,1.0,4054.0
32,Piaui,Restrictions on internal movement,2020-07-11,2020-07-12,2.0,396.0
33,Piaui,Restrictions on internal movement,2020-07-13,2020-07-17,1.0,4412.0
34,Piaui,Restrictions on internal movement,2020-07-18,2020-07-19,2.0,310.0
35,Piaui,Restrictions on internal movement,2020-07-20,2020-07-24,1.0,5113.0
36,Piaui,Restrictions on internal movement,2020-07-25,2020-07-26,2.0,540.0
37,Piaui,Restrictions on internal movement,2020-07-27,2021-02-21,1.0,122171.0
38,Piaui,Restrictions on internal movement,2021-02-22,2021-03-19,2.0,21490.0
0,Piaui,School closing,2020-03-16,2020-03-22,2.0,6.0
1,Piaui,School closing,2020-03-23,2020-10-20,3.0,107574.0
2,Piaui,School closing,2020-10-21,2021-03-19,2.0,83499.0
27,Piaui,Stay at home requirements,2020-03-23,2021-02-21,1.0,169716.0
28,Piaui,Stay at home requirements,2021-02-22,2021-03-19,2.0,21490.0
46,Piaui,Testing policy,2020-03-19,2020-05-05,1.0,946.0
47,Piaui,Testing policy,2020-05-06,2021-03-19,2.0,190794.0
3,Piaui,Workplace closing,2020-03-18,2020-03-19,1.0,3.0
4,Piaui,Workplace closing,2020-03-20,2020-05-14,2.0,1901.0
5,Piaui,Workplace closing,2020-05-15,2020-05-17,3.0,202.0
6,Piaui,Workplace closing,2020-05-18,2020-05-22,2.0,818.0
7,Piaui,Workplace closing,2020-05-23,2020-05-24,3.0,160.0
8,Piaui,Workplace closing,2020-05-25,2020-05-29,2.0,1025.0
9,Piaui,Workplace closing,2020-05-30,2020-05-31,3.0,188.0
10,Piaui,Workplace closing,2020-06-01,2021-02-26,2.0,167784.0
11,Piaui,Workplace closing,2021-02-27,2021-03-01,3.0,855.0
12,Piaui,Workplace closing,2021-03-02,2021-03-05,2.0,2989.0
13,Piaui,Workplace closing,2021-03-06,2021-03-07,3.0,284.0
14,Piaui,Workplace closing,2021-03-08,2021-03-12,2.0,4717.0
15,Piaui,Workplace closing,2021-03-13,2021-03-14,3.0,257.0
16,Piaui,Workplace closing,2021-03-15,2021-03-16,2.0,1063.0
17,Piaui,Workplace closing,2021-03-17,2021-03-19,3.0,2730.0
