,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
4,Rio de Janeiro,Cancel public events,2020-03-13,2020-10-27,2.0,304906.0
5,Rio de Janeiro,Cancel public events,2020-10-28,2020-11-18,1.0,25724.0
6,Rio de Janeiro,Cancel public events,2020-11-19,2021-03-19,2.0,283770.0
12,Rio de Janeiro,Close public transport,2020-03-17,2020-03-19,1.0,66.0
13,Rio de Janeiro,Close public transport,2020-03-20,2020-06-18,2.0,87317.0
14,Rio de Janeiro,Close public transport,2020-06-19,2021-03-19,1.0,524906.0
31,Rio de Janeiro,Contact tracing,2020-04-01,2020-10-01,2.0,265403.0
32,Rio de Janeiro,Contact tracing,2020-10-29,2021-01-15,2.0,169027.0
33,Rio de Janeiro,Contact tracing,2021-02-12,2021-03-19,2.0,66402.0
25,Rio de Janeiro,Debt/contract relief,2020-03-17,2020-03-22,1.0,186.0
26,Rio de Janeiro,Debt/contract relief,2020-03-23,2020-12-26,2.0,419842.0
34,Rio de Janeiro,Facial Coverings,2020-03-02,2020-04-23,1.0,6172.0
35,Rio de Janeiro,Facial Coverings,2020-04-24,2021-01-11,4.0,455279.0
21,Rio de Janeiro,International travel controls,2020-03-13,2020-03-17,2.0,0.0
22,Rio de Janeiro,International travel controls,2020-03-18,2020-03-26,3.0,358.0
23,Rio de Janeiro,International travel controls,2020-03-27,2020-07-28,4.0,159146.0
24,Rio de Janeiro,International travel controls,2020-07-29,2021-03-19,1.0,456637.0
36,Rio de Janeiro,Protection of elderly people,2020-12-15,2021-01-05,1.0,52257.0
37,Rio de Janeiro,Protection of elderly people,2021-01-07,2021-01-28,1.0,60033.0
38,Rio de Janeiro,Protection of elderly people,2021-01-30,2021-03-19,1.0,97554.0
27,Rio de Janeiro,Public information campaigns,2020-01-26,2021-03-19,2.0,618284.0
7,Rio de Janeiro,Restrictions on gatherings,2020-03-13,2020-09-03,4.0,230271.0
8,Rio de Janeiro,Restrictions on gatherings,2020-09-04,2020-09-30,3.0,32294.0
9,Rio de Janeiro,Restrictions on gatherings,2020-10-01,2021-01-11,2.0,195326.0
10,Rio de Janeiro,Restrictions on gatherings,2021-01-12,2021-03-04,3.0,124544.0
11,Rio de Janeiro,Restrictions on gatherings,2021-03-05,2021-03-19,4.0,26339.0
19,Rio de Janeiro,Restrictions on internal movement,2020-03-17,2021-01-07,2.0,452758.0
20,Rio de Janeiro,Restrictions on internal movement,2021-02-12,2021-02-22,1.0,20984.0
0,Rio de Janeiro,School closing,2020-03-13,2021-03-19,3.0,618284.0
15,Rio de Janeiro,Stay at home requirements,2020-03-13,2020-05-10,1.0,17062.0
16,Rio de Janeiro,Stay at home requirements,2020-05-11,2020-05-31,2.0,35449.0
17,Rio de Janeiro,Stay at home requirements,2020-06-01,2020-08-02,1.0,112695.0
18,Rio de Janeiro,Stay at home requirements,2021-03-05,2021-03-19,2.0,26339.0
28,Rio de Janeiro,Testing policy,2020-02-13,2020-05-05,1.0,12391.0
29,Rio de Janeiro,Testing policy,2020-05-06,2021-01-15,2.0,463749.0
30,Rio de Janeiro,Testing policy,2021-02-12,2021-03-19,2.0,66402.0
1,Rio de Janeiro,Workplace closing,2020-03-13,2020-03-25,2.0,370.0
2,Rio de Janeiro,Workplace closing,2020-03-26,2020-03-27,3.0,72.0
3,Rio de Janeiro,Workplace closing,2020-03-28,2021-03-19,2.0,617726.0
