,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
7424,Brazil,Cancel public events,2020-03-12,2020-12-18,2.0,322809.0
7425,Brazil,Cancel public events,2020-03-13,2020-04-12,1.0,25.0
7426,Brazil,Cancel public events,2020-03-13,2020-05-15,1.0,16209.0
7427,Brazil,Cancel public events,2020-03-13,2021-02-06,2.0,593169.0
7428,Brazil,Cancel public events,2020-03-13,2021-02-23,1.0,847763.0
7429,Brazil,Cancel public events,2020-03-13,2020-03-10,1.0,0.0
7430,Brazil,Cancel public events,2020-03-13,2020-06-01,2.0,1639.0
7431,Brazil,Cancel public events,2020-03-13,2021-03-28,1.0,830630.0
7432,Brazil,Cancel public events,2020-03-13,2020-09-09,2.0,192831.0
7433,Brazil,Cancel public events,2020-03-13,2020-10-29,1.0,351275.0
7434,Brazil,Cancel public events,2020-03-13,2020-03-26,2.0,9.0
7435,Brazil,Cancel public events,2020-03-13,2020-02-05,1.0,0.0
7436,Brazil,Cancel public events,2020-03-13,2020-01-03,2.0,-2.0
7437,Brazil,Cancel public events,2020-03-13,2020-05-16,1.0,4474.0
7438,Brazil,Cancel public events,2020-03-14,2021-01-21,2.0,1670750.0
7439,Brazil,Cancel public events,2020-03-14,2020-10-29,1.0,132226.0
7440,Brazil,Cancel public events,2020-03-14,2020-01-20,2.0,0.0
7441,Brazil,Cancel public events,2020-03-14,2020-02-05,1.0,0.0
7442,Brazil,Cancel public events,2020-03-14,2020-08-24,2.0,191609.0
7443,Brazil,Cancel public events,2020-03-14,2020-04-12,1.0,101.0
7444,Brazil,Cancel public events,2020-03-14,2021-03-28,1.0,2420100.0
7445,Brazil,Cancel public events,2020-03-14,2020-06-18,2.0,8015.0
7446,Brazil,Cancel public events,2020-03-14,2021-02-23,1.0,144180.0
7447,Brazil,Cancel public events,2020-03-15,2021-02-23,1.0,1990554.0
7448,Brazil,Cancel public events,2020-03-15,2020-10-29,1.0,81423.0
7449,Brazil,Cancel public events,2020-03-15,2020-08-24,2.0,51767.0
7450,Brazil,Cancel public events,2020-03-15,2020-02-05,1.0,0.0
7451,Brazil,Cancel public events,2020-03-15,2020-12-02,2.0,288546.0
7452,Brazil,Cancel public events,2020-03-15,2020-05-16,1.0,12492.0
7453,Brazil,Cancel public events,2020-03-15,2020-01-20,2.0,-4.0
7454,Brazil,Cancel public events,2020-03-15,2020-04-12,1.0,430.0
7455,Brazil,Cancel public events,2020-03-15,2021-02-06,2.0,382597.0
7456,Brazil,Cancel public events,2020-03-15,2021-03-28,1.0,202230.0
7457,Brazil,Cancel public events,2020-03-15,2020-11-15,2.0,92434.0
7458,Brazil,Cancel public events,2020-03-15,2020-09-26,1.0,64923.0
7459,Brazil,Cancel public events,2020-03-16,2020-04-29,2.0,705.0
7460,Brazil,Cancel public events,2020-03-16,2021-02-23,1.0,359281.0
7461,Brazil,Cancel public events,2020-03-16,2020-11-15,2.0,278707.0
7462,Brazil,Cancel public events,2020-03-16,2020-06-01,1.0,50503.0
7463,Brazil,Cancel public events,2020-03-16,2020-04-12,2.0,22192.0
7464,Brazil,Cancel public events,2020-03-16,2020-04-12,2.0,550.0
7465,Brazil,Cancel public events,2020-03-17,2020-01-03,2.0,-7.0
7466,Brazil,Cancel public events,2020-03-17,2021-03-12,1.0,11363377.0
7467,Brazil,Cancel public events,2020-03-17,2021-02-23,2.0,623440.0
7468,Brazil,Cancel public events,2020-03-17,2020-01-03,2.0,0.0
7469,Brazil,Cancel public events,2020-03-18,2020-08-24,1.0,72953.0
7470,Brazil,Cancel public events,2020-03-18,2020-04-12,2.0,444.0
7471,Brazil,Cancel public events,2020-03-18,2021-02-23,2.0,385828.0
7472,Brazil,Cancel public events,2020-03-18,2021-02-23,2.0,178250.0
7473,Brazil,Cancel public events,2020-03-19,2020-04-12,2.0,618.0
7474,Brazil,Cancel public events,2020-03-19,2020-01-03,2.0,-23.0
7475,Brazil,Cancel public events,2020-03-19,2020-04-29,1.0,953.0
7476,Brazil,Cancel public events,2020-03-19,2021-02-23,2.0,292900.0
7477,Brazil,Cancel public events,2020-03-20,2020-04-12,2.0,121.0
7478,Brazil,Cancel public events,2020-03-20,2021-02-23,2.0,214206.0
7479,Brazil,Cancel public events,2020-03-21,2020-04-12,2.0,-71.0
7480,Brazil,Cancel public events,2020-03-21,2021-02-23,2.0,573242.0
7481,Brazil,Cancel public events,2020-03-22,2020-04-12,2.0,43.0
7482,Brazil,Cancel public events,2020-03-22,2021-02-23,2.0,612154.0
7483,Brazil,Cancel public events,2020-03-23,2020-04-12,2.0,297.0
7484,Brazil,Cancel public events,2020-03-23,2020-04-13,2.0,768.0
7485,Brazil,Cancel public events,2020-03-24,2021-02-23,2.0,171027.0
7486,Brazil,Cancel public events,2020-03-24,2021-02-23,2.0,163464.0
7487,Brazil,Cancel public events,2020-03-25,2021-02-23,2.0,148619.0
7488,Brazil,Cancel public events,2020-03-26,2020-04-13,2.0,628.0
7489,Brazil,Cancel public events,2020-03-26,2020-04-13,2.0,8885.0
7490,Brazil,Cancel public events,2020-03-27,2021-02-24,2.0,853177.0
7491,Brazil,Cancel public events,2020-03-27,2021-02-24,2.0,416777.0
