,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
4,Brunei,Cancel public events,2020-03-13,2020-05-14,2.0,104.0
5,Brunei,Cancel public events,2020-05-15,2021-04-06,1.0,73.0
20,Brunei,Contact tracing,2020-01-01,2020-10-18,1.0,147.0
21,Brunei,Contact tracing,2020-10-19,2021-04-06,2.0,67.0
15,Brunei,Debt/contract relief,2020-04-01,2021-03-31,2.0,81.0
22,Brunei,Emergency investment in healthcare,2020-03-27,2020-03-27,7686929.0,0.0
23,Brunei,Facial Coverings,2020-02-11,2020-06-08,1.0,141.0
24,Brunei,Facial Coverings,2020-06-09,2021-04-06,2.0,73.0
16,Brunei,Fiscal measures,2020-04-01,2020-04-01,314000000.0,0.0
14,Brunei,Income support,2020-03-28,2020-09-28,1.0,26.0
9,Brunei,International travel controls,2020-01-30,2020-03-23,3.0,91.0
10,Brunei,International travel controls,2020-03-24,2020-08-31,4.0,40.0
11,Brunei,International travel controls,2020-09-01,2020-09-14,3.0,1.0
12,Brunei,International travel controls,2020-09-15,2021-02-28,2.0,41.0
13,Brunei,International travel controls,2021-03-01,2021-04-06,4.0,28.0
26,Brunei,Protection of elderly people,2020-03-27,2021-04-06,1.0,99.0
17,Brunei,Public information campaigns,2020-01-06,2021-04-06,2.0,214.0
6,Brunei,Restrictions on gatherings,2020-03-13,2020-08-12,3.0,105.0
7,Brunei,Restrictions on gatherings,2020-08-13,2021-04-06,2.0,72.0
8,Brunei,Restrictions on internal movement,2020-04-11,2020-07-26,1.0,5.0
0,Brunei,School closing,2020-03-11,2020-06-01,3.0,130.0
1,Brunei,School closing,2020-06-02,2020-07-26,2.0,0.0
2,Brunei,School closing,2020-07-27,2021-04-06,1.0,73.0
18,Brunei,Testing policy,2020-03-09,2020-08-13,2.0,141.0
19,Brunei,Testing policy,2020-08-14,2021-04-06,3.0,72.0
25,Brunei,Vaccination policy,2021-04-03,2021-04-06,1.0,0.0
3,Brunei,Workplace closing,2020-08-17,2021-04-06,1.0,72.0
