,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
15,Bulgaria,Cancel public events,2020-03-11,2020-03-12,1.0,0.0
16,Bulgaria,Cancel public events,2020-03-13,2020-05-29,2.0,2462.0
17,Bulgaria,Cancel public events,2020-05-30,2020-07-08,1.0,3843.0
18,Bulgaria,Cancel public events,2020-07-09,2020-07-12,2.0,580.0
19,Bulgaria,Cancel public events,2020-07-13,2020-11-26,1.0,129217.0
20,Bulgaria,Cancel public events,2020-11-27,2021-04-11,2.0,231576.0
67,Bulgaria,Contact tracing,2020-04-29,2021-04-11,2.0,370084.0
50,Bulgaria,Debt/contract relief,2020-04-10,2020-06-09,2.0,2254.0
51,Bulgaria,Debt/contract relief,2020-06-10,2020-12-14,1.0,178551.0
52,Bulgaria,Debt/contract relief,2020-12-15,2020-12-21,2.0,8185.0
53,Bulgaria,Debt/contract relief,2020-12-22,2021-04-11,1.0,177260.0
68,Bulgaria,Emergency investment in healthcare,2020-03-17,2020-03-17,11314041.0,0.0
69,Bulgaria,Emergency investment in healthcare,2020-03-24,2020-03-24,22309557.26,0.0
70,Bulgaria,Emergency investment in healthcare,2020-07-27,2020-07-27,201407095.0,0.0
71,Bulgaria,Emergency investment in healthcare,2020-10-14,2020-10-14,1202079.0,0.0
72,Bulgaria,Emergency investment in healthcare,2020-11-09,2020-11-09,49238847.0,0.0
73,Bulgaria,Emergency investment in healthcare,2020-12-16,2020-12-16,9337580.78,0.0
74,Bulgaria,Emergency investment in healthcare,2020-12-22,2020-12-22,48996143.2,0.0
75,Bulgaria,Emergency investment in healthcare,2021-03-10,2021-03-10,4258847.03,0.0
76,Bulgaria,Emergency investment in healthcare,2021-03-26,2021-03-26,57914607.97,0.0
79,Bulgaria,Facial Coverings,2020-03-30,2020-03-30,3.0,0.0
80,Bulgaria,Facial Coverings,2020-03-31,2020-04-11,1.0,262.0
81,Bulgaria,Facial Coverings,2020-04-12,2020-04-30,3.0,831.0
82,Bulgaria,Facial Coverings,2020-05-01,2020-06-21,1.0,2350.0
83,Bulgaria,Facial Coverings,2020-06-22,2020-10-22,2.0,30946.0
84,Bulgaria,Facial Coverings,2020-10-23,2021-04-11,3.0,335012.0
54,Bulgaria,Fiscal measures,2020-03-16,2020-03-16,284000000.0,0.0
55,Bulgaria,Fiscal measures,2020-03-19,2020-03-19,5140000000.0,0.0
56,Bulgaria,Fiscal measures,2020-07-27,2020-07-27,497328915.6,0.0
57,Bulgaria,Fiscal measures,2020-12-16,2020-12-16,34860301.58,0.0
58,Bulgaria,Fiscal measures,2020-12-30,2020-12-30,16770996.02,0.0
59,Bulgaria,Fiscal measures,2021-01-13,2021-01-13,24867180.0,0.0
60,Bulgaria,Fiscal measures,2021-02-01,2021-02-01,17974514.03,0.0
61,Bulgaria,Fiscal measures,2021-02-03,2021-02-03,151851703.22,0.0
62,Bulgaria,Fiscal measures,2021-02-08,2021-02-08,31408401.14,0.0
