,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
3,Burkina Faso,Cancel public events,2020-03-12,2020-10-15,2.0,2333.0
6,Burkina Faso,Close public transport,2020-03-23,2020-05-04,2.0,573.0
27,Burkina Faso,Contact tracing,2020-03-09,2021-02-01,2.0,10768.0
28,Burkina Faso,Contact tracing,2021-03-02,2021-04-10,2.0,909.0
21,Burkina Faso,Debt/contract relief,2021-02-02,2021-03-14,1.0,1468.0
22,Burkina Faso,Debt/contract relief,2021-03-15,2021-04-09,2.0,546.0
29,Burkina Faso,Emergency investment in healthcare,2020-03-27,2020-03-27,15234800.0,0.0
30,Burkina Faso,Facial Coverings,2020-04-27,2020-10-19,3.0,1752.0
31,Burkina Faso,Facial Coverings,2020-10-20,2020-11-30,2.0,480.0
32,Burkina Faso,Facial Coverings,2020-12-01,2021-04-10,3.0,10025.0
20,Burkina Faso,Income support,2021-03-15,2021-04-04,2.0,439.0
23,Burkina Faso,International support,2021-03-19,2021-03-19,80000000.0,0.0
12,Burkina Faso,International travel controls,2020-03-21,2020-08-08,4.0,1111.0
13,Burkina Faso,International travel controls,2020-08-09,2020-10-14,2.0,1130.0
14,Burkina Faso,International travel controls,2020-10-15,2021-01-11,1.0,5944.0
15,Burkina Faso,International travel controls,2021-01-12,2021-02-01,2.0,2305.0
16,Burkina Faso,International travel controls,2021-02-02,2021-02-15,1.0,726.0
17,Burkina Faso,International travel controls,2021-02-16,2021-03-01,4.0,400.0
18,Burkina Faso,International travel controls,2021-03-02,2021-03-28,1.0,645.0
19,Burkina Faso,International travel controls,2021-03-29,2021-04-09,4.0,222.0
24,Burkina Faso,Public information campaigns,2020-03-16,2021-04-10,2.0,12941.0
4,Burkina Faso,Restrictions on gatherings,2020-03-21,2020-05-03,1.0,598.0
5,Burkina Faso,Restrictions on gatherings,2020-05-04,2020-11-30,3.0,2214.0
9,Burkina Faso,Restrictions on internal movement,2020-03-21,2020-05-04,2.0,608.0
10,Burkina Faso,Restrictions on internal movement,2020-07-31,2020-09-09,2.0,370.0
11,Burkina Faso,Restrictions on internal movement,2021-03-15,2021-04-09,2.0,546.0
0,Burkina Faso,School closing,2020-03-16,2020-05-31,3.0,832.0
1,Burkina Faso,School closing,2020-10-20,2020-10-21,1.0,0.0
7,Burkina Faso,Stay at home requirements,2020-03-21,2020-05-31,2.0,783.0
8,Burkina Faso,Stay at home requirements,2020-06-01,2020-09-09,1.0,629.0
25,Burkina Faso,Testing policy,2020-02-05,2020-09-09,1.0,1476.0
26,Burkina Faso,Testing policy,2020-09-10,2021-04-10,3.0,11470.0
2,Burkina Faso,Workplace closing,2020-03-21,2020-05-13,2.0,709.0
