,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
5,Cameroon,Cancel public events,2020-03-18,2020-11-23,2.0,23832.0
6,Cameroon,Cancel public events,2020-11-24,2021-04-11,1.0,37862.0
8,Cameroon,Close public transport,2020-03-18,2020-10-01,1.0,20828.0
27,Cameroon,Contact tracing,2020-02-24,2020-11-23,1.0,23842.0
17,Cameroon,Debt/contract relief,2020-06-01,2020-11-23,1.0,17445.0
28,Cameroon,Emergency investment in healthcare,2020-03-31,2020-03-31,1670000.0,0.0
29,Cameroon,Emergency investment in healthcare,2020-11-10,2020-11-10,101000000.0,0.0
30,Cameroon,Facial Coverings,2020-04-13,2021-04-11,3.0,60911.0
18,Cameroon,Fiscal measures,2020-11-10,2020-11-10,1008000000.0,0.0
16,Cameroon,Income support,2020-06-01,2020-08-05,1.0,11321.0
10,Cameroon,International travel controls,2020-03-13,2020-03-17,1.0,8.0
11,Cameroon,International travel controls,2020-03-18,2020-04-17,3.0,986.0
12,Cameroon,International travel controls,2020-04-18,2020-08-26,4.0,17956.0
13,Cameroon,International travel controls,2020-08-27,2020-09-21,3.0,1456.0
14,Cameroon,International travel controls,2020-09-22,2020-11-23,2.0,3244.0
15,Cameroon,International travel controls,2020-11-24,2021-04-11,1.0,37862.0
31,Cameroon,Protection of elderly people,2020-08-27,2021-01-17,1.0,8868.0
32,Cameroon,Protection of elderly people,2021-02-22,2021-03-01,1.0,1965.0
19,Cameroon,Public information campaigns,2020-04-04,2020-10-08,2.0,20648.0
20,Cameroon,Public information campaigns,2020-10-09,2020-10-16,1.0,238.0
21,Cameroon,Public information campaigns,2020-10-17,2020-12-06,2.0,3311.0
22,Cameroon,Public information campaigns,2021-01-05,2021-01-17,2.0,1162.0
23,Cameroon,Public information campaigns,2021-01-26,2021-01-31,2.0,0.0
24,Cameroon,Public information campaigns,2021-02-08,2021-04-11,2.0,30337.0
7,Cameroon,Restrictions on gatherings,2020-03-18,2021-04-11,3.0,61721.0
9,Cameroon,Restrictions on internal movement,2020-03-18,2020-11-23,1.0,23832.0
0,Cameroon,School closing,2020-03-18,2020-05-31,3.0,5894.0
1,Cameroon,School closing,2020-06-01,2020-10-14,2.0,15044.0
2,Cameroon,School closing,2020-10-15,2021-04-11,1.0,40290.0
25,Cameroon,Testing policy,2020-04-06,2021-01-17,2.0,27352.0
26,Cameroon,Testing policy,2021-01-18,2021-04-11,1.0,33721.0
3,Cameroon,Workplace closing,2020-03-18,2020-04-30,2.0,1822.0
4,Cameroon,Workplace closing,2021-01-05,2021-04-11,1.0,34883.0
