,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
19,New Brunswick,Cancel public events,2020-01-01,2020-03-18,1.0,2.0
20,New Brunswick,Cancel public events,2020-03-19,2021-03-07,2.0,1448.0
21,New Brunswick,Cancel public events,2021-03-08,2021-03-24,1.0,57.0
22,New Brunswick,Cancel public events,2021-03-25,2021-04-08,2.0,140.0
32,New Brunswick,Close public transport,2020-03-19,2020-12-22,1.0,573.0
33,New Brunswick,Close public transport,2021-01-06,2021-03-07,1.0,762.0
56,New Brunswick,Contact tracing,2020-03-15,2020-06-18,1.0,163.0
57,New Brunswick,Contact tracing,2020-06-19,2020-11-21,2.0,260.0
58,New Brunswick,Contact tracing,2020-11-22,2020-12-22,1.0,150.0
59,New Brunswick,Contact tracing,2020-12-23,2021-04-08,2.0,1101.0
44,New Brunswick,Debt/contract relief,2020-03-19,2020-08-04,1.0,163.0
45,New Brunswick,Debt/contract relief,2020-08-05,2021-03-31,2.0,1439.0
46,New Brunswick,Debt/contract relief,2021-04-01,2021-04-08,1.0,63.0
60,New Brunswick,Emergency investment in healthcare,2021-03-16,2021-03-16,107928637.0,0.0
61,New Brunswick,Facial Coverings,2020-04-06,2020-04-19,1.0,15.0
62,New Brunswick,Facial Coverings,2020-04-20,2020-11-19,2.0,274.0
63,New Brunswick,Facial Coverings,2020-11-20,2020-12-22,3.0,179.0
64,New Brunswick,Facial Coverings,2020-12-23,2021-01-05,2.0,77.0
65,New Brunswick,Facial Coverings,2021-01-06,2021-03-14,3.0,777.0
66,New Brunswick,Facial Coverings,2021-03-15,2021-03-24,2.0,45.0
67,New Brunswick,Facial Coverings,2021-03-25,2021-04-08,3.0,140.0
47,New Brunswick,Fiscal measures,2021-02-08,2021-02-08,32141704.0,0.0
42,New Brunswick,Income support,2020-03-12,2020-12-01,2.0,508.0
43,New Brunswick,Income support,2020-12-02,2021-04-08,1.0,1172.0
41,New Brunswick,International travel controls,2020-03-16,2021-04-08,4.0,1685.0
72,New Brunswick,Protection of elderly people,2020-03-11,2020-04-13,2.0,116.0
