,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
13,Newfoundland and Labrador,Cancel public events,2020-01-01,2020-03-12,1.0,0.0
14,Newfoundland and Labrador,Cancel public events,2020-03-13,2020-09-07,2.0,270.0
15,Newfoundland and Labrador,Cancel public events,2020-09-08,2021-02-07,1.0,146.0
16,Newfoundland and Labrador,Cancel public events,2021-02-08,2021-03-26,2.0,588.0
17,Newfoundland and Labrador,Cancel public events,2021-03-27,2021-04-05,1.0,5.0
24,Newfoundland and Labrador,Close public transport,2020-03-26,2020-06-07,1.0,179.0
25,Newfoundland and Labrador,Close public transport,2021-02-13,2021-04-05,1.0,334.0
51,Newfoundland and Labrador,Contact tracing,2020-03-14,2020-09-01,2.0,269.0
52,Newfoundland and Labrador,Contact tracing,2020-09-03,2021-04-05,2.0,751.0
34,Newfoundland and Labrador,Debt/contract relief,2020-03-30,2021-04-05,1.0,872.0
53,Newfoundland and Labrador,Facial Coverings,2020-04-20,2020-08-23,2.0,11.0
54,Newfoundland and Labrador,Facial Coverings,2020-08-24,2021-04-05,3.0,752.0
35,Newfoundland and Labrador,Fiscal measures,2020-03-24,2020-03-24,82851539.0,0.0
36,Newfoundland and Labrador,Fiscal measures,2020-03-25,2020-03-25,348980.0,0.0
37,Newfoundland and Labrador,Fiscal measures,2020-05-15,2020-05-15,212898.0,0.0
38,Newfoundland and Labrador,Fiscal measures,2020-05-25,2020-05-25,17893775.0,0.0
39,Newfoundland and Labrador,Fiscal measures,2020-06-12,2020-06-12,7065335.0,0.0
40,Newfoundland and Labrador,Fiscal measures,2020-06-19,2020-06-19,9559180.0,0.0
41,Newfoundland and Labrador,Fiscal measures,2020-07-09,2020-07-09,243780.0,0.0
42,Newfoundland and Labrador,Fiscal measures,2020-07-30,2020-07-30,297604.0,0.0
43,Newfoundland and Labrador,Fiscal measures,2020-07-31,2020-07-31,4277381.0,0.0
44,Newfoundland and Labrador,Fiscal measures,2020-11-23,2020-11-23,17960979.0,0.0
32,Newfoundland and Labrador,Income support,2020-03-15,2020-12-01,2.0,339.0
33,Newfoundland and Labrador,Income support,2020-12-02,2021-04-05,1.0,680.0
30,Newfoundland and Labrador,International travel controls,2020-03-14,2020-03-15,2.0,0.0
31,Newfoundland and Labrador,International travel controls,2020-03-16,2021-04-05,4.0,1020.0
58,Newfoundland and Labrador,Protection of elderly people,2020-03-24,2020-04-13,2.0,240.0
59,Newfoundland and Labrador,Protection of elderly people,2020-04-14,2020-09-09,3.0,26.0
60,Newfoundland and Labrador,Protection of elderly people,2020-09-10,2021-02-07,2.0,146.0
61,Newfoundland and Labrador,Protection of elderly people,2021-02-08,2021-03-26,3.0,588.0
62,Newfoundland and Labrador,Protection of elderly people,2021-03-27,2021-04-05,2.0,5.0
45,Newfoundland and Labrador,Public information campaigns,2020-01-20,2020-03-22,1.0,3.0
46,Newfoundland and Labrador,Public information campaigns,2020-03-23,2021-04-05,2.0,1016.0
18,Newfoundland and Labrador,Restrictions on gatherings,2020-03-13,2020-03-17,2.0,0.0
19,Newfoundland and Labrador,Restrictions on gatherings,2020-03-18,2020-03-22,3.0,3.0
20,Newfoundland and Labrador,Restrictions on gatherings,2020-03-23,2020-05-10,4.0,257.0
21,Newfoundland and Labrador,Restrictions on gatherings,2020-05-11,2021-02-10,3.0,249.0
22,Newfoundland and Labrador,Restrictions on gatherings,2021-02-11,2021-03-26,4.0,405.0
23,Newfoundland and Labrador,Restrictions on gatherings,2021-03-27,2021-04-05,3.0,5.0
29,Newfoundland and Labrador,Restrictions on internal movement,2020-03-18,2021-04-05,2.0,1020.0
0,Newfoundland and Labrador,School closing,2020-03-16,2020-09-01,2.0,269.0
1,Newfoundland and Labrador,School closing,2020-09-02,2021-02-09,1.0,188.0
2,Newfoundland and Labrador,School closing,2021-02-10,2021-02-10,2.0,0.0
3,Newfoundland and Labrador,School closing,2021-02-11,2021-03-17,3.0,403.0
4,Newfoundland and Labrador,School closing,2021-03-18,2021-04-05,2.0,6.0
26,Newfoundland and Labrador,Stay at home requirements,2020-03-17,2021-02-10,1.0,510.0
27,Newfoundland and Labrador,Stay at home requirements,2021-02-11,2021-03-26,2.0,405.0
28,Newfoundland and Labrador,Stay at home requirements,2021-03-27,2021-04-05,1.0,5.0
47,Newfoundland and Labrador,Testing policy,2020-03-14,2020-04-15,1.0,247.0
48,Newfoundland and Labrador,Testing policy,2020-04-16,2021-03-04,2.0,750.0
49,Newfoundland and Labrador,Testing policy,2021-03-05,2021-03-12,3.0,9.0
50,Newfoundland and Labrador,Testing policy,2021-03-13,2021-03-29,2.0,4.0
55,Newfoundland and Labrador,Vaccination policy,2020-12-16,2021-01-10,1.0,29.0
56,Newfoundland and Labrador,Vaccination policy,2021-01-11,2021-02-17,3.0,362.0
57,Newfoundland and Labrador,Vaccination policy,2021-02-23,2021-04-05,3.0,66.0
5,Newfoundland and Labrador,Workplace closing,2020-03-13,2020-03-22,2.0,3.0
6,Newfoundland and Labrador,Workplace closing,2020-03-23,2020-05-10,3.0,257.0
7,Newfoundland and Labrador,Workplace closing,2020-05-11,2020-06-24,2.0,0.0
8,Newfoundland and Labrador,Workplace closing,2020-06-25,2021-02-09,1.0,196.0
9,Newfoundland and Labrador,Workplace closing,2021-02-10,2021-02-10,2.0,0.0
10,Newfoundland and Labrador,Workplace closing,2021-02-11,2021-03-12,3.0,402.0
11,Newfoundland and Labrador,Workplace closing,2021-03-13,2021-03-26,2.0,3.0
12,Newfoundland and Labrador,Workplace closing,2021-03-27,2021-04-05,1.0,5.0
