,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
4,Northwest Territories,Cancel public events,2020-01-01,2020-03-17,1.0,0.0
5,Northwest Territories,Cancel public events,2020-03-18,2021-04-05,2.0,43.0
8,Northwest Territories,Close public transport,2020-11-12,2021-04-05,1.0,32.0
30,Northwest Territories,Contact tracing,2020-03-21,2021-04-05,2.0,42.0
14,Northwest Territories,Debt/contract relief,2020-03-20,2020-09-30,2.0,5.0
15,Northwest Territories,Debt/contract relief,2020-10-01,2021-01-31,1.0,26.0
16,Northwest Territories,Debt/contract relief,2021-02-01,2021-04-05,2.0,12.0
31,Northwest Territories,Emergency investment in healthcare,2020-10-01,2020-10-01,9306730.0,0.0
32,Northwest Territories,Facial Coverings,2020-04-08,2020-04-19,1.0,0.0
33,Northwest Territories,Facial Coverings,2020-04-20,2021-04-05,2.0,38.0
17,Northwest Territories,Fiscal measures,2020-03-20,2020-03-20,9188980.0,0.0
18,Northwest Territories,Fiscal measures,2020-03-31,2020-03-31,5850140.0,0.0
19,Northwest Territories,Fiscal measures,2020-04-24,2020-04-24,3621541.0,0.0
20,Northwest Territories,Fiscal measures,2020-05-09,2020-05-09,6240526.0,0.0
21,Northwest Territories,Fiscal measures,2020-06-12,2020-06-12,2166703.0,0.0
22,Northwest Territories,Fiscal measures,2021-01-13,2021-01-13,314727.0,0.0
23,Northwest Territories,Fiscal measures,2021-02-01,2021-02-01,2339081.0,0.0
24,Northwest Territories,Fiscal measures,2021-02-04,2021-02-04,3117516.0,0.0
25,Northwest Territories,Fiscal measures,2021-03-30,2021-03-30,1462118.0,0.0
12,Northwest Territories,Income support,2020-03-15,2020-12-01,2.0,15.0
13,Northwest Territories,Income support,2020-12-02,2021-04-05,1.0,28.0
11,Northwest Territories,International travel controls,2020-03-16,2021-04-05,4.0,43.0
39,Northwest Territories,Protection of elderly people,2020-03-16,2020-03-16,2.0,0.0
40,Northwest Territories,Protection of elderly people,2020-03-17,2020-06-28,3.0,5.0
41,Northwest Territories,Protection of elderly people,2020-06-29,2021-04-05,2.0,38.0
26,Northwest Territories,Public information campaigns,2020-01-20,2020-03-24,1.0,1.0
27,Northwest Territories,Public information campaigns,2020-03-25,2021-04-05,2.0,42.0
6,Northwest Territories,Restrictions on gatherings,2020-04-11,2020-05-14,4.0,0.0
7,Northwest Territories,Restrictions on gatherings,2020-05-15,2021-04-05,3.0,38.0
10,Northwest Territories,Restrictions on internal movement,2020-03-21,2021-04-05,2.0,42.0
0,Northwest Territories,School closing,2020-03-16,2020-08-23,2.0,5.0
9,Northwest Territories,Stay at home requirements,2020-03-27,2020-06-11,1.0,4.0
28,Northwest Territories,Testing policy,2020-03-27,2020-04-23,1.0,4.0
29,Northwest Territories,Testing policy,2020-04-24,2021-03-29,2.0,37.0
34,Northwest Territories,Vaccination policy,2020-12-31,2021-01-10,2.0,0.0
35,Northwest Territories,Vaccination policy,2021-01-11,2021-01-17,3.0,4.0
36,Northwest Territories,Vaccination policy,2021-01-18,2021-02-17,4.0,14.0
37,Northwest Territories,Vaccination policy,2021-02-23,2021-03-09,4.0,0.0
38,Northwest Territories,Vaccination policy,2021-03-10,2021-04-05,5.0,1.0
1,Northwest Territories,Workplace closing,2020-03-19,2020-04-09,2.0,5.0
2,Northwest Territories,Workplace closing,2020-04-10,2020-05-14,3.0,0.0
3,Northwest Territories,Workplace closing,2020-05-15,2021-04-05,2.0,38.0
