,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
13,Nova Scotia,Cancel public events,2020-01-01,2020-03-21,1.0,9.0
14,Nova Scotia,Cancel public events,2020-03-22,2020-06-04,2.0,1030.0
15,Nova Scotia,Cancel public events,2020-06-05,2020-11-25,1.0,185.0
16,Nova Scotia,Cancel public events,2020-11-26,2020-12-20,2.0,188.0
17,Nova Scotia,Cancel public events,2020-12-21,2021-02-26,1.0,187.0
18,Nova Scotia,Cancel public events,2021-02-27,2021-03-04,2.0,11.0
19,Nova Scotia,Cancel public events,2021-03-05,2021-04-05,1.0,90.0
53,Nova Scotia,Contact tracing,2020-02-28,2020-03-23,1.0,41.0
54,Nova Scotia,Contact tracing,2020-03-24,2021-04-05,2.0,1690.0
35,Nova Scotia,Debt/contract relief,2020-03-19,2020-03-19,1.0,0.0
36,Nova Scotia,Debt/contract relief,2020-03-20,2020-06-30,2.0,1057.0
37,Nova Scotia,Debt/contract relief,2020-07-01,2020-09-30,1.0,26.0
38,Nova Scotia,Debt/contract relief,2020-11-25,2021-04-05,1.0,498.0
55,Nova Scotia,Emergency investment in healthcare,2020-11-19,2020-11-19,4764185.0,0.0
56,Nova Scotia,Emergency investment in healthcare,2020-12-11,2020-12-11,1252800.0,0.0
57,Nova Scotia,Facial Coverings,2020-04-20,2021-04-05,2.0,1020.0
39,Nova Scotia,Fiscal measures,2020-03-19,2020-03-19,851242.0,0.0
40,Nova Scotia,Fiscal measures,2020-03-20,2020-03-20,112608000.0,0.0
41,Nova Scotia,Fiscal measures,2020-04-02,2020-04-02,27600000.0,0.0
42,Nova Scotia,Fiscal measures,2020-06-11,2020-06-11,517500.0,0.0
43,Nova Scotia,Fiscal measures,2020-12-17,2020-12-17,721685.0,0.0
44,Nova Scotia,Fiscal measures,2021-01-12,2021-01-12,17625000.0,0.0
45,Nova Scotia,Fiscal measures,2021-01-27,2021-01-27,1593333.0,0.0
46,Nova Scotia,Fiscal measures,2021-03-02,2021-03-02,5530000.0,0.0
47,Nova Scotia,Fiscal measures,2021-03-17,2021-03-17,3934700.0,0.0
48,Nova Scotia,Fiscal measures,2021-03-18,2021-03-18,120000.0,0.0
33,Nova Scotia,Income support,2020-03-15,2020-12-01,2.0,1315.0
34,Nova Scotia,Income support,2020-12-02,2021-04-05,1.0,409.0
31,Nova Scotia,International travel controls,2020-03-13,2020-03-15,2.0,0.0
32,Nova Scotia,International travel controls,2020-03-16,2021-04-05,4.0,1741.0
62,Nova Scotia,Protection of elderly people,2020-03-09,2020-03-14,2.0,0.0
63,Nova Scotia,Protection of elderly people,2020-03-15,2020-06-14,3.0,1061.0
64,Nova Scotia,Protection of elderly people,2020-06-15,2020-07-21,2.0,6.0
65,Nova Scotia,Protection of elderly people,2020-07-22,2020-09-27,1.0,20.0
66,Nova Scotia,Protection of elderly people,2020-11-23,2021-02-26,2.0,444.0
67,Nova Scotia,Protection of elderly people,2021-02-27,2021-03-19,3.0,42.0
68,Nova Scotia,Protection of elderly people,2021-03-20,2021-04-05,2.0,59.0
49,Nova Scotia,Public information campaigns,2020-01-20,2020-03-08,1.0,0.0
50,Nova Scotia,Public information campaigns,2020-03-09,2021-04-05,2.0,1741.0
20,Nova Scotia,Restrictions on gatherings,2020-03-15,2020-03-16,2.0,0.0
21,Nova Scotia,Restrictions on gatherings,2020-03-17,2020-03-21,3.0,9.0
22,Nova Scotia,Restrictions on gatherings,2020-03-22,2020-06-17,4.0,1033.0
23,Nova Scotia,Restrictions on gatherings,2020-06-18,2020-11-22,3.0,118.0
24,Nova Scotia,Restrictions on gatherings,2020-11-23,2020-12-20,4.0,255.0
25,Nova Scotia,Restrictions on gatherings,2020-12-21,2021-04-05,3.0,294.0
30,Nova Scotia,Restrictions on internal movement,2020-03-23,2021-04-05,2.0,1700.0
0,Nova Scotia,School closing,2020-03-15,2020-03-22,2.0,28.0
1,Nova Scotia,School closing,2020-03-23,2020-09-07,3.0,1045.0
2,Nova Scotia,School closing,2020-09-08,2020-11-18,1.0,68.0
3,Nova Scotia,School closing,2020-11-19,2021-01-10,2.0,373.0
4,Nova Scotia,School closing,2021-01-11,2021-01-20,1.0,31.0
5,Nova Scotia,School closing,2021-01-21,2021-01-26,2.0,7.0
6,Nova Scotia,School closing,2021-01-27,2021-02-16,1.0,21.0
7,Nova Scotia,School closing,2021-02-17,2021-02-23,2.0,13.0
8,Nova Scotia,School closing,2021-02-24,2021-03-24,1.0,80.0
9,Nova Scotia,School closing,2021-03-25,2021-03-30,2.0,15.0
10,Nova Scotia,School closing,2021-03-31,2021-04-05,1.0,25.0
26,Nova Scotia,Stay at home requirements,2020-03-22,2020-04-30,2.0,919.0
27,Nova Scotia,Stay at home requirements,2020-05-01,2020-06-04,1.0,99.0
28,Nova Scotia,Stay at home requirements,2020-11-24,2020-12-20,1.0,218.0
29,Nova Scotia,Stay at home requirements,2021-02-27,2021-03-04,1.0,11.0
51,Nova Scotia,Testing policy,2020-02-28,2020-12-07,1.0,1376.0
52,Nova Scotia,Testing policy,2020-12-08,2021-03-29,3.0,328.0
58,Nova Scotia,Vaccination policy,2020-12-16,2021-01-10,1.0,98.0
59,Nova Scotia,Vaccination policy,2021-01-11,2021-02-17,2.0,67.0
60,Nova Scotia,Vaccination policy,2021-02-23,2021-03-15,2.0,57.0
61,Nova Scotia,Vaccination policy,2021-03-16,2021-04-05,3.0,69.0
11,Nova Scotia,Workplace closing,2020-03-15,2020-06-04,2.0,1058.0
12,Nova Scotia,Workplace closing,2020-11-26,2021-01-03,2.0,244.0
