,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
5840,Canada,Cancel public events,2020-01-01,2021-03-09,1.0,32344.0
5841,Canada,Cancel public events,2020-01-01,2021-03-09,1.0,29918.0
5842,Canada,Cancel public events,2020-01-02,2021-03-09,1.0,1010.0
5843,Canada,Cancel public events,2020-01-03,2021-03-09,1.0,1664.0
5844,Canada,Cancel public events,2020-01-04,2021-03-09,1.0,311112.0
5845,Canada,Cancel public events,2020-01-05,2021-03-09,1.0,293860.0
5846,Canada,Cancel public events,2020-01-06,2021-03-10,1.0,42.0
5847,Canada,Cancel public events,2020-01-07,2021-03-10,1.0,32418.0
5848,Canada,Cancel public events,2020-01-08,2021-03-10,1.0,85650.0
5849,Canada,Cancel public events,2020-01-09,2021-03-10,1.0,30028.0
5850,Canada,Cancel public events,2020-01-10,2021-03-10,1.0,1010.0
5851,Canada,Cancel public events,2020-01-11,2021-03-10,1.0,312428.0
5852,Canada,Cancel public events,2020-01-12,2021-03-10,1.0,1460.0
5853,Canada,Cancel public events,2020-01-13,2021-03-10,1.0,136773.0
5854,Canada,Cancel public events,2020-01-14,2021-03-10,1.0,143.0
5855,Canada,Cancel public events,2020-01-15,2021-03-10,1.0,72.0
5856,Canada,Cancel public events,2020-01-16,2021-03-10,1.0,381.0
5857,Canada,Cancel public events,2020-01-17,2021-03-10,1.0,294652.0
5858,Canada,Cancel public events,2020-01-18,2021-03-10,1.0,902234.0
5859,Canada,Cancel public events,2020-01-19,2021-03-10,1.0,1665.0
5860,Canada,Cancel public events,2020-01-20,2021-03-11,1.0,32509.0
5861,Canada,Cancel public events,2020-01-21,2021-03-11,1.0,42.0
5862,Canada,Cancel public events,2020-01-22,2021-03-11,1.0,143.0
5863,Canada,Cancel public events,2020-01-24,2021-03-11,1.0,30193.0
5864,Canada,Cancel public events,2020-01-24,2021-03-11,1.0,72.0
5865,Canada,Cancel public events,2020-01-25,2021-03-11,1.0,381.0
5866,Canada,Cancel public events,2020-01-26,2021-03-11,1.0,1462.0
5867,Canada,Cancel public events,2020-01-27,2021-03-11,1.0,905339.0
5868,Canada,Cancel public events,2020-01-28,2021-03-11,1.0,1665.0
5869,Canada,Cancel public events,2020-01-29,2021-03-11,1.0,86219.0
5870,Canada,Cancel public events,2020-01-30,2021-03-11,1.0,313520.0
5871,Canada,Cancel public events,2020-01-31,2021-03-11,1.0,137137.0
5872,Canada,Cancel public events,2020-02-01,2021-03-11,1.0,295390.0
5873,Canada,Cancel public events,2020-02-02,2021-03-11,1.0,1011.0
5874,Canada,Cancel public events,2020-02-03,2021-03-12,1.0,30369.0
5875,Canada,Cancel public events,2020-02-04,2021-03-12,1.0,32605.0
5876,Canada,Cancel public events,2020-02-06,2021-03-12,1.0,314891.0
5877,Canada,Cancel public events,2020-02-06,2021-03-12,1.0,137562.0
5878,Canada,Cancel public events,2020-02-07,2021-03-12,1.0,908854.0
5879,Canada,Cancel public events,2020-02-08,2021-03-12,1.0,381.0
5880,Canada,Cancel public events,2020-02-09,2021-03-12,1.0,1012.0
5881,Canada,Cancel public events,2020-02-10,2021-03-12,1.0,1665.0
5882,Canada,Cancel public events,2020-02-11,2021-03-12,1.0,1465.0
5883,Canada,Cancel public events,2020-02-12,2021-03-12,1.0,296129.0
5884,Canada,Cancel public events,2020-02-13,2021-03-12,1.0,42.0
5885,Canada,Cancel public events,2020-02-14,2021-03-12,1.0,143.0
5886,Canada,Cancel public events,2020-02-15,2021-03-12,1.0,86867.0
5887,Canada,Cancel public events,2020-02-16,2021-03-12,1.0,72.0
5888,Canada,Cancel public events,2020-02-17,2021-03-13,1.0,138036.0
5889,Canada,Cancel public events,2020-02-19,2021-03-13,1.0,316359.0
5890,Canada,Cancel public events,2020-02-20,2021-03-13,1.0,87422.0
5891,Canada,Cancel public events,2020-02-20,2021-03-13,1.0,1465.0
5892,Canada,Cancel public events,2020-02-21,2021-03-13,1.0,296918.0
5893,Canada,Cancel public events,2020-02-22,2021-03-13,1.0,1012.0
5894,Canada,Cancel public events,2020-02-23,2021-03-13,1.0,30522.0
5895,Canada,Cancel public events,2020-02-24,2021-03-13,1.0,42.0
5896,Canada,Cancel public events,2020-02-25,2021-03-13,1.0,139.0
5897,Canada,Cancel public events,2020-02-26,2021-03-13,1.0,383.0
5898,Canada,Cancel public events,2020-02-27,2021-03-13,1.0,911884.0
5899,Canada,Cancel public events,2020-02-28,2021-03-13,1.0,72.0
5900,Canada,Cancel public events,2020-02-29,2021-03-13,1.0,32699.0
5901,Canada,Cancel public events,2020-03-01,2021-03-13,1.0,1669.0
5902,Canada,Cancel public events,2020-03-03,2021-03-14,1.0,297592.0
5903,Canada,Cancel public events,2020-03-03,2021-03-14,1.0,87913.0
5904,Canada,Cancel public events,2020-03-04,2021-03-14,1.0,138424.0
5905,Canada,Cancel public events,2020-03-06,2021-03-14,1.0,318106.0
5906,Canada,Cancel public events,2020-03-06,2021-03-14,1.0,72.0
5907,Canada,Cancel public events,2020-03-07,2021-03-14,1.0,1468.0
5908,Canada,Cancel public events,2020-03-08,2021-03-14,1.0,1643.0
5909,Canada,Cancel public events,2020-03-09,2021-03-14,1.0,1012.0
5910,Canada,Cancel public events,2020-03-11,2020-12-04,1.0,528.0
5911,Canada,Cancel public events,2020-03-11,2020-01-05,2.0,-7.0
5912,Canada,Cancel public events,2020-03-11,2021-03-14,1.0,129.0
5913,Canada,Cancel public events,2020-03-11,2020-12-04,1.0,36132.0
5914,Canada,Cancel public events,2020-03-12,2020-03-12,2.0,-13.0
5915,Canada,Cancel public events,2020-03-12,2021-03-14,1.0,42.0
5916,Canada,Cancel public events,2020-03-12,2020-01-06,2.0,-117.0
5917,Canada,Cancel public events,2020-03-12,2021-03-14,1.0,364.0
5918,Canada,Cancel public events,2020-03-13,2021-01-07,2.0,639500.0
5919,Canada,Cancel public events,2020-03-13,2020-05-18,1.0,43627.0
5920,Canada,Cancel public events,2020-03-13,2020-04-15,2.0,8.0
5921,Canada,Cancel public events,2020-03-13,2020-03-12,1.0,-1.0
5922,Canada,Cancel public events,2020-03-13,2021-02-09,2.0,280493.0
5923,Canada,Cancel public events,2020-03-13,2020-12-04,1.0,64851.0
5924,Canada,Cancel public events,2020-03-13,2020-08-26,2.0,173.0
5925,Canada,Cancel public events,2020-03-14,2020-03-12,1.0,117.0
5926,Canada,Cancel public events,2020-03-14,2020-11-01,2.0,1110.0
5927,Canada,Cancel public events,2020-03-14,2020-05-18,1.0,2444.0
5928,Canada,Cancel public events,2020-03-14,2020-04-15,2.0,1561.0
5929,Canada,Cancel public events,2020-03-14,2021-03-14,1.0,30616.0
5930,Canada,Cancel public events,2020-03-14,2020-02-08,2.0,-191.0
5931,Canada,Cancel public events,2020-03-15,2020-12-04,1.0,406116.0
5932,Canada,Cancel public events,2020-03-15,2020-11-01,2.0,-24.0
5933,Canada,Cancel public events,2020-03-15,2020-05-18,1.0,1042.0
5934,Canada,Cancel public events,2020-03-15,2021-01-07,2.0,69.0
5935,Canada,Cancel public events,2020-03-15,2020-03-12,1.0,19.0
5936,Canada,Cancel public events,2020-03-15,2020-01-06,2.0,-4.0
5937,Canada,Cancel public events,2020-03-15,2020-05-18,1.0,240.0
5938,Canada,Cancel public events,2020-03-16,2020-01-06,2.0,0.0
5939,Canada,Cancel public events,2020-03-16,2021-03-14,1.0,914539.0
5940,Canada,Cancel public events,2020-03-16,2020-06-21,2.0,-251.0
5941,Canada,Cancel public events,2020-03-16,2020-12-04,1.0,73.0
5942,Canada,Cancel public events,2020-03-16,2021-01-07,2.0,55976.0
5943,Canada,Cancel public events,2020-03-17,2020-02-08,1.0,2.0
5944,Canada,Cancel public events,2020-03-17,2020-08-26,2.0,5201.0
5945,Canada,Cancel public events,2020-03-17,2020-11-01,1.0,23.0
5946,Canada,Cancel public events,2020-03-17,2020-04-15,2.0,230.0
5947,Canada,Cancel public events,2020-03-17,2020-05-18,1.0,6681.0
5948,Canada,Cancel public events,2020-03-17,2020-01-06,2.0,0.0
5949,Canada,Cancel public events,2020-03-17,2020-05-18,1.0,-69.0
5950,Canada,Cancel public events,2020-03-18,2020-04-15,2.0,1996.0
5951,Canada,Cancel public events,2020-03-18,2020-09-29,1.0,198.0
5952,Canada,Cancel public events,2020-03-18,2020-01-06,2.0,-189.0
5953,Canada,Cancel public events,2020-03-18,2020-07-24,1.0,58146.0
5954,Canada,Cancel public events,2020-03-18,2020-08-26,2.0,5.0
5955,Canada,Cancel public events,2020-03-18,2020-03-13,1.0,0.0
5956,Canada,Cancel public events,2020-03-19,2020-08-27,2.0,41796.0
5957,Canada,Cancel public events,2020-03-19,2020-07-24,1.0,265.0
5958,Canada,Cancel public events,2020-03-19,2020-01-06,2.0,0.0
5959,Canada,Cancel public events,2020-03-19,2020-02-08,1.0,-146.0
5960,Canada,Cancel public events,2020-03-19,2021-01-07,2.0,220247.0
