,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
4,Chile,Cancel public events,2020-03-16,2021-03-29,2.0,984302.0
10,Chile,Close public transport,2020-07-03,2020-11-03,2.0,226113.0
11,Chile,Close public transport,2020-11-04,2021-03-29,1.0,469442.0
31,Chile,Contact tracing,2020-03-30,2021-03-29,2.0,981929.0
22,Chile,Debt/contract relief,2020-03-27,2020-08-09,1.0,371391.0
23,Chile,Debt/contract relief,2020-08-10,2021-03-29,2.0,609440.0
32,Chile,Emergency investment in healthcare,2020-01-16,2020-01-16,304204.0,0.0
33,Chile,Emergency investment in healthcare,2020-03-13,2020-03-13,262830928.0,0.0
34,Chile,Emergency investment in healthcare,2020-03-19,2020-03-19,1500000000.0,0.0
36,Chile,Facial Coverings,2020-04-08,2020-12-07,2.0,556402.0
37,Chile,Facial Coverings,2020-12-08,2020-12-14,4.0,10296.0
38,Chile,Facial Coverings,2020-12-15,2021-03-29,2.0,409155.0
24,Chile,Fiscal measures,2020-03-19,2020-03-19,10250000000.0,0.0
25,Chile,Fiscal measures,2020-04-08,2020-04-08,5000000000.0,0.0
26,Chile,Fiscal measures,2020-05-07,2020-05-07,290000000.0,0.0
20,Chile,Income support,2020-04-02,2020-06-15,1.0,210205.0
21,Chile,Income support,2020-06-16,2021-03-29,2.0,765756.0
27,Chile,International support,2020-06-14,2020-06-14,12000000000.0,0.0
15,Chile,International travel controls,2020-03-18,2020-07-31,3.0,355402.0
16,Chile,International travel controls,2020-08-01,2020-11-22,4.0,182982.0
17,Chile,International travel controls,2020-11-23,2020-12-07,2.0,20062.0
18,Chile,International travel controls,2020-12-08,2020-12-21,1.0,24459.0
19,Chile,International travel controls,2020-12-22,2021-03-29,3.0,395295.0
35,Chile,Investment in vaccines,2020-08-02,2020-08-02,3435342491.0,0.0
44,Chile,Protection of elderly people,2020-03-15,2021-03-29,3.0,984383.0
28,Chile,Public information campaigns,2020-03-14,2021-03-29,2.0,984396.0
5,Chile,Restrictions on gatherings,2020-03-16,2020-03-24,2.0,795.0
6,Chile,Restrictions on gatherings,2020-03-25,2020-05-14,3.0,40832.0
7,Chile,Restrictions on gatherings,2020-05-15,2020-08-09,4.0,328525.0
8,Chile,Restrictions on gatherings,2020-08-10,2020-11-03,3.0,139158.0
9,Chile,Restrictions on gatherings,2020-11-04,2021-03-29,4.0,469442.0
14,Chile,Restrictions on internal movement,2020-03-25,2021-03-29,2.0,983287.0
0,Chile,School closing,2020-03-15,2021-03-29,3.0,984383.0
12,Chile,Stay at home requirements,2020-03-25,2020-05-14,2.0,40832.0
13,Chile,Stay at home requirements,2020-05-15,2021-03-29,3.0,939953.0
29,Chile,Testing policy,2020-03-26,2020-11-16,2.0,531243.0
30,Chile,Testing policy,2020-11-17,2021-03-29,3.0,450874.0
39,Chile,Vaccination policy,2020-12-24,2021-02-03,1.0,142493.0
40,Chile,Vaccination policy,2021-02-04,2021-02-07,2.0,11649.0
41,Chile,Vaccination policy,2021-02-09,2021-02-28,2.0,66436.0
42,Chile,Vaccination policy,2021-03-01,2021-03-23,3.0,113188.0
43,Chile,Vaccination policy,2021-03-24,2021-03-29,4.0,36701.0
1,Chile,Workplace closing,2020-03-16,2020-03-20,3.0,279.0
2,Chile,Workplace closing,2020-03-21,2020-05-14,2.0,41437.0
3,Chile,Workplace closing,2020-05-15,2021-03-29,3.0,939953.0
