,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
20,China,Cancel public events,2020-01-22,2021-03-14,2.0,89502.0
21,China,Cancel public events,2021-03-15,2021-03-29,1.0,128.0
26,China,Close public transport,2020-01-23,2020-03-27,2.0,80706.0
27,China,Close public transport,2020-05-10,2020-09-01,2.0,2147.0
28,China,Close public transport,2020-09-15,2020-09-22,2.0,93.0
29,China,Close public transport,2020-10-24,2020-10-29,2.0,147.0
30,China,Close public transport,2020-10-30,2020-11-23,1.0,491.0
31,China,Close public transport,2020-11-24,2021-02-21,2.0,3373.0
32,China,Close public transport,2021-02-22,2021-03-29,1.0,338.0
67,China,Contact tracing,2020-01-01,2020-01-04,1.0,0.0
68,China,Contact tracing,2020-01-05,2021-03-29,2.0,90190.0
52,China,Debt/contract relief,2020-05-21,2020-10-29,1.0,2977.0
53,China,Debt/contract relief,2020-10-30,2021-03-29,2.0,4217.0
69,China,Emergency investment in healthcare,2020-02-23,2020-02-23,14190000000.0,0.0
70,China,Emergency investment in healthcare,2020-03-04,2020-03-04,1566000000.0,0.0
71,China,Emergency investment in healthcare,2020-04-19,2020-04-19,4909802814.0,0.0
72,China,Emergency investment in healthcare,2020-05-11,2020-05-11,140854381.0,0.0
73,China,Facial Coverings,2020-01-01,2020-01-20,1.0,0.0
74,China,Facial Coverings,2020-01-21,2020-01-21,2.0,0.0
75,China,Facial Coverings,2020-01-22,2020-03-23,3.0,80571.0
76,China,Facial Coverings,2020-03-24,2020-10-23,2.0,4598.0
77,China,Facial Coverings,2020-10-24,2021-02-21,4.0,4049.0
78,China,Facial Coverings,2021-02-22,2021-03-29,2.0,338.0
54,China,Fiscal measures,2020-02-04,2020-02-04,242440000000.0,0.0
55,China,Fiscal measures,2020-03-27,2020-03-27,352000000000.0,0.0
56,China,Fiscal measures,2020-05-23,2020-05-23,1192572826071.0,0.0
57,China,Fiscal measures,2020-05-28,2020-05-28,349799047415.0,0.0
58,China,Fiscal measures,2020-11-05,2020-11-05,726657820616.95,0.0
51,China,Income support,2020-04-11,2021-03-29,1.0,8221.0
59,China,International support,2020-03-08,2020-03-08,20000000.0,0.0
60,China,International support,2020-04-23,2020-04-23,30000000.0,0.0
61,China,International support,2020-05-18,2020-05-18,281340028.0,0.0
47,China,International travel controls,2020-02-25,2020-03-25,2.0,3561.0
48,China,International travel controls,2020-03-26,2020-09-22,3.0,4009.0
49,China,International travel controls,2020-09-23,2020-09-23,2.0,0.0
50,China,International travel controls,2020-09-24,2021-03-29,3.0,4868.0
80,China,Protection of elderly people,2020-01-28,2021-03-29,2.0,84696.0
62,China,Public information campaigns,2020-01-05,2020-01-14,1.0,0.0
63,China,Public information campaigns,2020-01-15,2021-03-29,2.0,90190.0
22,China,Restrictions on gatherings,2020-01-22,2020-09-20,4.0,84744.0
23,China,Restrictions on gatherings,2020-09-21,2020-10-23,3.0,481.0
24,China,Restrictions on gatherings,2020-10-24,2021-03-28,4.0,4388.0
25,China,Restrictions on gatherings,2021-03-29,2021-03-29,1.0,0.0
42,China,Restrictions on internal movement,2020-01-23,2020-04-07,2.0,81100.0
43,China,Restrictions on internal movement,2020-04-08,2020-05-09,1.0,1097.0
44,China,Restrictions on internal movement,2020-05-10,2020-09-03,2.0,2184.0
45,China,Restrictions on internal movement,2020-09-15,2021-02-21,2.0,4628.0
46,China,Restrictions on internal movement,2021-02-22,2021-03-29,1.0,338.0
