,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
10,Colombia,Cancel public events,2020-03-12,2020-10-18,2.0,959563.0
11,Colombia,Cancel public events,2020-10-19,2021-01-06,1.0,753888.0
12,Colombia,Cancel public events,2021-01-07,2021-04-04,2.0,708872.0
18,Colombia,Close public transport,2020-03-25,2021-01-06,1.0,1719301.0
19,Colombia,Close public transport,2021-01-07,2021-04-04,2.0,708872.0
38,Colombia,Contact tracing,2020-03-26,2020-04-02,1.0,670.0
39,Colombia,Contact tracing,2020-04-03,2020-08-31,2.0,613827.0
40,Colombia,Contact tracing,2020-10-19,2021-04-04,2.0,1480336.0
30,Colombia,Debt/contract relief,2020-03-17,2021-03-21,2.0,2337155.0
31,Colombia,Debt/contract relief,2021-03-29,2021-04-04,2.0,56440.0
41,Colombia,Emergency investment in healthcare,2020-05-11,2020-05-11,6152881698.0,0.0
42,Colombia,Facial Coverings,2020-04-04,2020-04-06,2.0,173.0
43,Colombia,Facial Coverings,2020-04-07,2020-08-31,4.0,613314.0
44,Colombia,Facial Coverings,2020-09-01,2021-04-04,1.0,1822193.0
32,Colombia,Fiscal measures,2020-03-27,2020-03-27,17000000000.0,0.0
33,Colombia,Fiscal measures,2020-04-04,2020-04-04,7429659624.0,0.0
34,Colombia,Fiscal measures,2020-05-13,2020-05-13,640858464.0,0.0
29,Colombia,Income support,2020-04-07,2021-04-04,1.0,2444439.0
35,Colombia,International support,2020-11-15,2020-11-15,31600666.0,0.0
26,Colombia,International travel controls,2020-03-12,2020-03-22,2.0,222.0
27,Colombia,International travel controls,2020-03-23,2020-03-24,3.0,101.0
28,Colombia,International travel controls,2020-03-25,2021-04-04,4.0,2445749.0
46,Colombia,Protection of elderly people,2020-03-20,2020-09-21,3.0,770277.0
47,Colombia,Protection of elderly people,2020-09-22,2021-01-04,1.0,908594.0
48,Colombia,Protection of elderly people,2021-01-05,2021-01-22,3.0,284452.0
49,Colombia,Protection of elderly people,2021-01-23,2021-04-04,1.0,443250.0
36,Colombia,Public information campaigns,2020-01-21,2021-04-04,2.0,2446219.0
13,Colombia,Restrictions on gatherings,2020-03-12,2020-03-16,2.0,48.0
14,Colombia,Restrictions on gatherings,2020-03-17,2020-04-23,3.0,4486.0
15,Colombia,Restrictions on gatherings,2020-04-24,2020-08-31,4.0,610213.0
16,Colombia,Restrictions on gatherings,2020-09-01,2021-01-06,3.0,1095745.0
17,Colombia,Restrictions on gatherings,2021-01-07,2021-04-04,4.0,708872.0
23,Colombia,Restrictions on internal movement,2020-03-25,2020-08-31,2.0,614624.0
24,Colombia,Restrictions on internal movement,2020-09-01,2021-01-06,1.0,1095745.0
25,Colombia,Restrictions on internal movement,2021-01-07,2021-04-04,2.0,708872.0
0,Colombia,School closing,2020-03-16,2020-11-25,3.0,1270934.0
1,Colombia,School closing,2020-11-26,2021-04-04,2.0,1165732.0
20,Colombia,Stay at home requirements,2020-03-25,2020-08-31,2.0,614624.0
21,Colombia,Stay at home requirements,2020-09-01,2021-01-06,1.0,1095745.0
22,Colombia,Stay at home requirements,2021-01-07,2021-04-04,3.0,708872.0
37,Colombia,Testing policy,2020-01-31,2021-04-04,2.0,2446219.0
45,Colombia,Vaccination policy,2021-01-01,2021-04-04,2.0,791339.0
2,Colombia,Workplace closing,2020-02-24,2020-03-24,1.0,378.0
3,Colombia,Workplace closing,2020-03-25,2020-04-13,3.0,2382.0
4,Colombia,Workplace closing,2020-04-14,2020-04-26,2.0,2400.0
5,Colombia,Workplace closing,2020-04-27,2020-05-05,3.0,3016.0
6,Colombia,Workplace closing,2020-05-06,2020-07-13,2.0,145318.0
7,Colombia,Workplace closing,2020-07-14,2020-08-31,3.0,455196.0
8,Colombia,Workplace closing,2020-09-01,2021-01-06,1.0,1095745.0
9,Colombia,Workplace closing,2021-01-07,2021-04-04,3.0,708872.0
