,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Congo,Cancel public events,2020-03-28,2020-10-14,2.0,5152.0
9,Congo,Cancel public events,2020-10-15,2021-04-05,1.0,4525.0
11,Congo,Close public transport,2020-03-31,2020-06-01,2.0,592.0
12,Congo,Close public transport,2020-06-02,2020-07-20,1.0,2240.0
38,Congo,Contact tracing,2020-03-14,2020-08-24,1.0,3979.0
39,Congo,Contact tracing,2020-11-02,2020-11-29,1.0,484.0
40,Congo,Contact tracing,2021-01-05,2021-01-17,1.0,602.0
41,Congo,Contact tracing,2021-01-18,2021-01-24,2.0,85.0
28,Congo,Debt/contract relief,2020-03-31,2020-06-01,2.0,592.0
29,Congo,Debt/contract relief,2020-10-22,2020-11-22,1.0,476.0
30,Congo,Debt/contract relief,2021-01-05,2021-01-24,1.0,687.0
42,Congo,Emergency investment in healthcare,2020-04-23,2020-04-23,157525.0,0.0
43,Congo,Emergency investment in healthcare,2020-04-24,2020-04-24,209931.0,0.0
44,Congo,Emergency investment in healthcare,2020-04-30,2020-04-30,16530.0,0.0
45,Congo,Emergency investment in healthcare,2020-05-05,2020-05-05,18844.0,0.0
46,Congo,Emergency investment in healthcare,2020-05-07,2020-05-07,120331.0,0.0
47,Congo,Facial Coverings,2020-04-30,2021-04-05,3.0,9461.0
31,Congo,Fiscal measures,2020-03-31,2020-03-31,6632650000.0,0.0
32,Congo,Fiscal measures,2020-08-13,2020-08-13,170000000.0,0.0
26,Congo,Income support,2020-03-31,2020-06-01,1.0,592.0
27,Congo,Income support,2021-02-08,2021-03-08,1.0,1119.0
21,Congo,International travel controls,2020-03-03,2020-03-20,2.0,3.0
22,Congo,International travel controls,2020-03-21,2020-08-23,4.0,3847.0
23,Congo,International travel controls,2020-08-24,2020-11-15,2.0,1536.0
24,Congo,International travel controls,2020-11-16,2020-11-22,1.0,117.0
25,Congo,International travel controls,2020-11-23,2021-04-05,2.0,4049.0
48,Congo,Protection of elderly people,2020-03-28,2020-05-31,3.0,607.0
49,Congo,Protection of elderly people,2020-06-01,2020-07-20,2.0,2240.0
50,Congo,Protection of elderly people,2020-12-25,2020-12-25,3.0,0.0
51,Congo,Protection of elderly people,2020-12-31,2020-12-31,3.0,0.0
52,Congo,Protection of elderly people,2021-02-22,2021-03-01,3.0,195.0
53,Congo,Protection of elderly people,2021-03-23,2021-04-05,2.0,117.0
33,Congo,Public information campaigns,2020-03-15,2020-03-29,1.0,18.0
34,Congo,Public information campaigns,2020-03-30,2021-04-05,2.0,9662.0
10,Congo,Restrictions on gatherings,2020-03-28,2021-04-05,3.0,9677.0
19,Congo,Restrictions on internal movement,2020-03-28,2020-07-20,2.0,2847.0
20,Congo,Restrictions on internal movement,2021-03-09,2021-04-05,1.0,502.0
0,Congo,School closing,2020-03-28,2020-05-17,3.0,387.0
1,Congo,School closing,2020-05-18,2020-10-21,2.0,4744.0
2,Congo,School closing,2020-10-22,2021-03-01,1.0,3664.0
13,Congo,Stay at home requirements,2020-03-28,2020-05-17,3.0,387.0
14,Congo,Stay at home requirements,2020-05-18,2020-12-24,2.0,6159.0
15,Congo,Stay at home requirements,2020-12-25,2020-12-25,3.0,0.0
16,Congo,Stay at home requirements,2020-12-26,2020-12-30,2.0,0.0
17,Congo,Stay at home requirements,2020-12-31,2020-12-31,3.0,0.0
18,Congo,Stay at home requirements,2021-01-01,2021-04-05,2.0,2574.0
35,Congo,Testing policy,2020-03-19,2020-08-24,1.0,3976.0
36,Congo,Testing policy,2020-10-22,2021-03-08,1.0,4023.0
37,Congo,Testing policy,2021-03-09,2021-04-05,2.0,502.0
3,Congo,Workplace closing,2020-03-28,2020-06-01,3.0,607.0
4,Congo,Workplace closing,2020-06-02,2020-08-03,2.0,2935.0
5,Congo,Workplace closing,2020-08-04,2020-09-27,3.0,1462.0
6,Congo,Workplace closing,2020-09-28,2020-11-22,2.0,624.0
7,Congo,Workplace closing,2020-11-23,2021-04-05,1.0,4049.0
