,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Cuba,Cancel public events,2020-03-20,2021-04-05,2.0,80594.0
10,Cuba,Close public transport,2020-03-24,2020-07-02,2.0,2305.0
11,Cuba,Close public transport,2020-08-09,2020-10-02,2.0,2765.0
12,Cuba,Close public transport,2020-10-03,2021-01-13,1.0,10264.0
13,Cuba,Close public transport,2021-01-14,2021-04-05,2.0,64061.0
35,Cuba,Contact tracing,2020-03-10,2020-05-04,1.0,1668.0
36,Cuba,Contact tracing,2020-05-05,2021-04-05,2.0,78925.0
29,Cuba,Debt/contract relief,2020-04-09,2021-04-05,2.0,80095.0
37,Cuba,Facial Coverings,2020-04-01,2021-04-05,3.0,80398.0
28,Cuba,Income support,2020-04-15,2020-05-03,1.0,835.0
22,Cuba,International travel controls,2020-02-21,2020-03-19,1.0,11.0
23,Cuba,International travel controls,2020-03-20,2020-04-16,3.0,846.0
24,Cuba,International travel controls,2020-04-17,2020-10-11,4.0,5055.0
25,Cuba,International travel controls,2020-10-12,2020-12-31,1.0,5863.0
26,Cuba,International travel controls,2021-01-01,2021-01-09,3.0,2132.0
27,Cuba,International travel controls,2021-01-10,2021-04-05,2.0,66034.0
39,Cuba,Protection of elderly people,2020-04-03,2020-06-30,3.0,2072.0
40,Cuba,Protection of elderly people,2020-08-08,2020-09-30,2.0,2709.0
41,Cuba,Protection of elderly people,2021-01-09,2021-01-13,1.0,1856.0
42,Cuba,Protection of elderly people,2021-01-14,2021-04-05,2.0,64061.0
30,Cuba,Public information campaigns,2020-01-28,2021-04-05,2.0,80610.0
9,Cuba,Restrictions on gatherings,2020-05-11,2021-04-05,4.0,78827.0
21,Cuba,Restrictions on internal movement,2020-03-23,2021-04-05,2.0,80570.0
0,Cuba,School closing,2020-03-24,2020-11-02,3.0,6922.0
1,Cuba,School closing,2020-11-03,2021-01-13,1.0,9009.0
2,Cuba,School closing,2021-01-14,2021-04-05,3.0,64061.0
14,Cuba,Stay at home requirements,2020-03-24,2020-05-10,2.0,1718.0
15,Cuba,Stay at home requirements,2020-05-11,2020-06-17,3.0,497.0
16,Cuba,Stay at home requirements,2020-06-18,2020-07-02,1.0,58.0
17,Cuba,Stay at home requirements,2020-08-11,2020-08-31,1.0,939.0
18,Cuba,Stay at home requirements,2020-09-01,2020-09-30,2.0,1532.0
19,Cuba,Stay at home requirements,2021-01-09,2021-02-04,1.0,16157.0
20,Cuba,Stay at home requirements,2021-02-05,2021-04-05,2.0,49420.0
31,Cuba,Testing policy,2020-03-10,2020-05-04,2.0,1668.0
32,Cuba,Testing policy,2020-05-05,2020-08-05,1.0,1041.0
33,Cuba,Testing policy,2020-08-06,2020-10-04,3.0,3034.0
34,Cuba,Testing policy,2020-10-05,2021-04-05,1.0,74765.0
38,Cuba,Vaccination policy,2021-04-05,2021-04-05,2.0,0.0
3,Cuba,Workplace closing,2020-04-07,2020-04-16,1.0,466.0
4,Cuba,Workplace closing,2020-04-17,2020-07-02,3.0,1430.0
5,Cuba,Workplace closing,2020-07-03,2020-08-10,1.0,685.0
6,Cuba,Workplace closing,2020-08-11,2021-01-08,2.0,10730.0
7,Cuba,Workplace closing,2021-01-09,2021-04-05,3.0,66422.0
