,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
9,Democratic Republic of Congo,Cancel public events,2020-03-19,2020-07-21,2.0,8520.0
10,Democratic Republic of Congo,Cancel public events,2020-07-22,2020-10-26,1.0,2548.0
11,Democratic Republic of Congo,Cancel public events,2021-02-16,2021-04-05,2.0,3931.0
14,Democratic Republic of Congo,Close public transport,2020-03-22,2020-03-23,1.0,6.0
15,Democratic Republic of Congo,Close public transport,2020-03-24,2020-07-21,2.0,8489.0
16,Democratic Republic of Congo,Close public transport,2020-07-22,2020-10-08,1.0,2196.0
17,Democratic Republic of Congo,Close public transport,2020-10-09,2020-10-26,2.0,339.0
18,Democratic Republic of Congo,Close public transport,2021-02-02,2021-02-15,1.0,1343.0
19,Democratic Republic of Congo,Close public transport,2021-03-23,2021-04-05,1.0,774.0
44,Democratic Republic of Congo,Contact tracing,2020-03-11,2021-02-01,1.0,22841.0
37,Democratic Republic of Congo,Debt/contract relief,2020-03-01,2020-04-14,1.0,241.0
38,Democratic Republic of Congo,Debt/contract relief,2020-04-15,2020-09-28,2.0,10370.0
45,Democratic Republic of Congo,Emergency investment in healthcare,2020-03-31,2020-03-31,6000000.0,0.0
46,Democratic Republic of Congo,Emergency investment in healthcare,2020-04-02,2020-04-02,47000000.0,0.0
47,Democratic Republic of Congo,Emergency investment in healthcare,2020-04-08,2020-04-08,1500000.0,0.0
48,Democratic Republic of Congo,Emergency investment in healthcare,2020-05-06,2020-05-06,11000000.0,0.0
49,Democratic Republic of Congo,Facial Coverings,2020-04-01,2020-04-19,1.0,218.0
50,Democratic Republic of Congo,Facial Coverings,2020-04-20,2020-10-08,4.0,10490.0
51,Democratic Republic of Congo,Facial Coverings,2020-10-09,2021-01-19,3.0,10305.0
52,Democratic Republic of Congo,Facial Coverings,2021-02-02,2021-04-05,3.0,5311.0
39,Democratic Republic of Congo,Fiscal measures,2020-04-22,2020-04-22,363270000.0,0.0
27,Democratic Republic of Congo,International travel controls,2020-02-20,2020-03-05,1.0,0.0
28,Democratic Republic of Congo,International travel controls,2020-03-06,2020-03-19,2.0,14.0
29,Democratic Republic of Congo,International travel controls,2020-03-20,2020-03-23,3.0,18.0
30,Democratic Republic of Congo,International travel controls,2020-03-24,2020-08-14,4.0,9560.0
31,Democratic Republic of Congo,International travel controls,2020-08-15,2020-09-23,2.0,899.0
32,Democratic Republic of Congo,International travel controls,2020-09-24,2020-10-08,1.0,267.0
33,Democratic Republic of Congo,International travel controls,2020-10-09,2020-10-19,2.0,217.0
34,Democratic Republic of Congo,International travel controls,2020-10-20,2020-10-26,1.0,108.0
35,Democratic Republic of Congo,International travel controls,2020-10-27,2020-12-08,2.0,2559.0
36,Democratic Republic of Congo,International travel controls,2020-12-09,2021-04-05,1.0,14511.0
53,Democratic Republic of Congo,Protection of elderly people,2021-02-02,2021-02-15,1.0,1343.0
40,Democratic Republic of Congo,Public information campaigns,2020-03-10,2020-03-18,1.0,4.0
41,Democratic Republic of Congo,Public information campaigns,2020-03-19,2021-03-22,2.0,27558.0
42,Democratic Republic of Congo,Public information campaigns,2021-03-23,2021-04-05,1.0,774.0
12,Democratic Republic of Congo,Restrictions on gatherings,2020-03-24,2020-07-21,3.0,8489.0
13,Democratic Republic of Congo,Restrictions on gatherings,2021-02-16,2021-04-05,1.0,3931.0
24,Democratic Republic of Congo,Restrictions on internal movement,2020-03-18,2020-10-26,2.0,11170.0
25,Democratic Republic of Congo,Restrictions on internal movement,2021-02-02,2021-02-15,2.0,1343.0
26,Democratic Republic of Congo,Restrictions on internal movement,2021-02-16,2021-04-05,1.0,3931.0
0,Democratic Republic of Congo,School closing,2020-03-19,2020-08-09,3.0,9440.0
1,Democratic Republic of Congo,School closing,2020-08-10,2020-10-08,1.0,1333.0
2,Democratic Republic of Congo,School closing,2020-10-20,2021-01-04,1.0,7087.0
3,Democratic Republic of Congo,School closing,2021-01-20,2021-02-15,3.0,3084.0
20,Democratic Republic of Congo,Stay at home requirements,2020-04-06,2020-07-21,2.0,8373.0
21,Democratic Republic of Congo,Stay at home requirements,2020-07-22,2020-10-26,1.0,2548.0
22,Democratic Republic of Congo,Stay at home requirements,2020-12-18,2021-02-15,2.0,9297.0
23,Democratic Republic of Congo,Stay at home requirements,2021-02-16,2021-04-05,1.0,3931.0
43,Democratic Republic of Congo,Testing policy,2020-03-10,2021-04-05,1.0,28354.0
4,Democratic Republic of Congo,Workplace closing,2020-03-19,2020-07-21,2.0,8520.0
5,Democratic Republic of Congo,Workplace closing,2020-07-22,2020-08-02,1.0,489.0
6,Democratic Republic of Congo,Workplace closing,2020-08-03,2020-08-14,2.0,472.0
7,Democratic Republic of Congo,Workplace closing,2020-08-26,2020-10-26,2.0,1262.0
8,Democratic Republic of Congo,Workplace closing,2020-10-27,2021-02-15,1.0,13195.0
