,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
3,Dominican Republic,Cancel public events,2020-03-19,2021-04-11,2.0,257152.0
6,Dominican Republic,Close public transport,2020-03-19,2020-05-19,2.0,13189.0
7,Dominican Republic,Close public transport,2020-05-20,2021-04-11,1.0,243709.0
26,Dominican Republic,Contact tracing,2020-03-12,2021-04-11,1.0,257181.0
27,Dominican Republic,Emergency investment in healthcare,2020-08-19,2020-08-19,256881995.41,0.0
28,Dominican Republic,Facial Coverings,2020-05-01,2021-04-11,3.0,249898.0
21,Dominican Republic,Fiscal measures,2020-03-27,2020-03-27,580000000.0,0.0
22,Dominican Republic,Fiscal measures,2020-05-17,2020-05-17,41127398.22,0.0
23,Dominican Republic,Fiscal measures,2020-10-05,2020-10-05,12400000.0,0.0
20,Dominican Republic,Income support,2020-03-27,2021-04-11,1.0,256605.0
15,Dominican Republic,International travel controls,2020-03-16,2020-03-18,3.0,10.0
16,Dominican Republic,International travel controls,2020-03-19,2020-06-30,4.0,32534.0
17,Dominican Republic,International travel controls,2020-07-01,2020-12-21,1.0,127665.0
18,Dominican Republic,International travel controls,2020-12-22,2021-04-05,3.0,92505.0
19,Dominican Republic,International travel controls,2021-04-06,2021-04-11,1.0,2583.0
29,Dominican Republic,Protection of elderly people,2020-03-17,2020-04-27,2.0,6272.0
30,Dominican Republic,Protection of elderly people,2020-04-28,2020-05-17,3.0,5898.0
31,Dominican Republic,Protection of elderly people,2020-05-18,2020-06-27,2.0,17894.0
32,Dominican Republic,Protection of elderly people,2020-06-30,2021-04-11,3.0,224618.0
24,Dominican Republic,Public information campaigns,2020-03-02,2021-04-11,2.0,257185.0
4,Dominican Republic,Restrictions on gatherings,2020-03-17,2020-11-09,4.0,130582.0
5,Dominican Republic,Restrictions on gatherings,2020-11-10,2021-04-11,3.0,126055.0
14,Dominican Republic,Restrictions on internal movement,2020-03-20,2020-10-06,2.0,115299.0
0,Dominican Republic,School closing,2020-03-19,2021-04-11,3.0,257152.0
8,Dominican Republic,Stay at home requirements,2020-03-17,2020-04-17,1.0,4105.0
9,Dominican Republic,Stay at home requirements,2020-04-18,2020-04-27,2.0,1958.0
10,Dominican Republic,Stay at home requirements,2020-04-28,2020-05-17,3.0,5898.0
11,Dominican Republic,Stay at home requirements,2020-05-18,2020-06-27,2.0,17894.0
12,Dominican Republic,Stay at home requirements,2020-06-28,2020-07-19,1.0,21482.0
13,Dominican Republic,Stay at home requirements,2020-07-20,2021-04-11,2.0,203230.0
25,Dominican Republic,Testing policy,2020-03-22,2021-04-11,2.0,256984.0
1,Dominican Republic,Workplace closing,2020-03-19,2020-05-19,3.0,13189.0
2,Dominican Republic,Workplace closing,2020-05-20,2021-04-11,2.0,243709.0
