,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
6,Faeroe Islands,Cancel public events,2020-03-12,2020-05-13,2.0,185.0
7,Faeroe Islands,Cancel public events,2020-05-14,2020-08-04,1.0,40.0
8,Faeroe Islands,Cancel public events,2020-08-05,2021-03-08,2.0,419.0
9,Faeroe Islands,Cancel public events,2021-03-09,2021-03-29,1.0,1.0
15,Faeroe Islands,Close public transport,2020-03-15,2020-05-13,1.0,176.0
31,Faeroe Islands,Contact tracing,2020-04-10,2021-03-29,2.0,477.0
25,Faeroe Islands,Debt/contract relief,2020-03-15,2021-01-24,2.0,641.0
32,Faeroe Islands,Facial Coverings,2020-07-20,2020-08-04,2.0,36.0
33,Faeroe Islands,Facial Coverings,2020-08-05,2020-09-07,1.0,172.0
34,Faeroe Islands,Facial Coverings,2020-12-14,2020-12-31,1.0,82.0
35,Faeroe Islands,Facial Coverings,2021-01-01,2021-03-29,2.0,51.0
24,Faeroe Islands,Income support,2020-03-15,2021-03-29,1.0,650.0
18,Faeroe Islands,International travel controls,2020-03-04,2020-03-12,2.0,1.0
19,Faeroe Islands,International travel controls,2020-03-13,2020-03-28,4.0,152.0
20,Faeroe Islands,International travel controls,2020-03-29,2020-05-13,3.0,28.0
21,Faeroe Islands,International travel controls,2020-05-14,2020-06-26,2.0,0.0
22,Faeroe Islands,International travel controls,2020-06-27,2020-11-12,1.0,310.0
23,Faeroe Islands,International travel controls,2020-11-13,2021-03-29,2.0,164.0
38,Faeroe Islands,Protection of elderly people,2020-04-20,2020-06-14,2.0,2.0
39,Faeroe Islands,Protection of elderly people,2020-06-15,2020-12-31,3.0,423.0
40,Faeroe Islands,Protection of elderly people,2021-02-16,2021-03-29,1.0,3.0
26,Faeroe Islands,Public information campaigns,2020-03-29,2020-03-30,1.0,9.0
27,Faeroe Islands,Public information campaigns,2020-03-31,2020-12-31,2.0,441.0
28,Faeroe Islands,Public information campaigns,2021-01-01,2021-02-15,1.0,47.0
29,Faeroe Islands,Public information campaigns,2021-02-16,2021-03-29,2.0,3.0
10,Faeroe Islands,Restrictions on gatherings,2020-03-12,2020-05-03,2.0,185.0
11,Faeroe Islands,Restrictions on gatherings,2020-05-04,2020-05-13,3.0,0.0
12,Faeroe Islands,Restrictions on gatherings,2020-05-14,2021-02-15,2.0,470.0
13,Faeroe Islands,Restrictions on gatherings,2021-02-16,2021-03-08,4.0,2.0
14,Faeroe Islands,Restrictions on gatherings,2021-03-09,2021-03-29,2.0,1.0
17,Faeroe Islands,Restrictions on internal movement,2021-02-16,2021-03-29,1.0,3.0
0,Faeroe Islands,School closing,2020-03-16,2020-04-19,3.0,167.0
1,Faeroe Islands,School closing,2020-04-20,2020-05-13,2.0,2.0
2,Faeroe Islands,School closing,2021-02-16,2021-03-29,1.0,3.0
16,Faeroe Islands,Stay at home requirements,2021-02-16,2021-03-29,1.0,3.0
30,Faeroe Islands,Testing policy,2020-03-20,2021-03-29,3.0,581.0
36,Faeroe Islands,Vaccination policy,2020-12-30,2020-12-31,1.0,5.0
37,Faeroe Islands,Vaccination policy,2021-01-01,2021-03-29,2.0,51.0
3,Faeroe Islands,Workplace closing,2020-03-12,2020-03-23,1.0,116.0
4,Faeroe Islands,Workplace closing,2020-03-24,2021-01-17,2.0,527.0
5,Faeroe Islands,Workplace closing,2021-02-16,2021-03-29,2.0,3.0
