,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
5,Fiji,Cancel public events,2020-03-16,2020-06-20,2.0,18.0
6,Fiji,Cancel public events,2020-06-21,2021-04-11,1.0,50.0
10,Fiji,Close public transport,2020-03-19,2020-05-14,2.0,17.0
11,Fiji,Close public transport,2021-04-06,2021-04-11,1.0,1.0
26,Fiji,Contact tracing,2020-03-19,2021-04-11,2.0,67.0
19,Fiji,Debt/contract relief,2020-03-26,2021-04-05,2.0,62.0
20,Fiji,Debt/contract relief,2021-04-06,2021-04-11,1.0,1.0
27,Fiji,Emergency investment in healthcare,2020-03-26,2020-03-26,40000000.0,0.0
28,Fiji,Facial Coverings,2020-06-21,2021-04-05,2.0,49.0
29,Fiji,Facial Coverings,2021-04-06,2021-04-11,1.0,1.0
21,Fiji,Fiscal measures,2020-03-26,2020-03-26,400000000.0,0.0
18,Fiji,Income support,2020-03-27,2021-04-11,1.0,63.0
15,Fiji,International travel controls,2020-02-03,2020-03-28,3.0,5.0
16,Fiji,International travel controls,2020-03-29,2020-10-01,4.0,27.0
17,Fiji,International travel controls,2020-10-02,2021-04-11,3.0,36.0
32,Fiji,Protection of elderly people,2020-03-19,2020-06-21,1.0,17.0
22,Fiji,Public information campaigns,2020-01-22,2021-04-11,2.0,68.0
7,Fiji,Restrictions on gatherings,2020-03-19,2020-06-21,3.0,17.0
8,Fiji,Restrictions on gatherings,2020-06-22,2021-04-05,2.0,49.0
9,Fiji,Restrictions on gatherings,2021-04-06,2021-04-11,3.0,1.0
13,Fiji,Restrictions on internal movement,2020-03-19,2020-06-21,2.0,17.0
14,Fiji,Restrictions on internal movement,2020-06-22,2020-07-16,1.0,8.0
0,Fiji,School closing,2020-03-19,2020-06-29,3.0,17.0
1,Fiji,School closing,2020-06-30,2020-07-05,2.0,1.0
2,Fiji,School closing,2020-07-06,2020-11-30,1.0,21.0
12,Fiji,Stay at home requirements,2020-03-19,2021-04-11,2.0,67.0
23,Fiji,Testing policy,2020-03-11,2020-04-16,2.0,17.0
24,Fiji,Testing policy,2020-04-17,2021-04-05,3.0,50.0
25,Fiji,Testing policy,2021-04-06,2021-04-11,2.0,1.0
30,Fiji,Vaccination policy,2021-03-16,2021-04-05,1.0,1.0
31,Fiji,Vaccination policy,2021-04-06,2021-04-11,3.0,1.0
3,Fiji,Workplace closing,2020-03-19,2020-05-14,3.0,17.0
4,Fiji,Workplace closing,2020-05-15,2021-04-11,2.0,50.0
