,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
14,Gambia,Cancel public events,2020-03-18,2020-03-26,1.0,2.0
15,Gambia,Cancel public events,2020-03-27,2020-07-21,2.0,109.0
16,Gambia,Cancel public events,2020-08-06,2021-03-22,2.0,4320.0
17,Gambia,Cancel public events,2021-03-23,2021-04-05,1.0,250.0
22,Gambia,Close public transport,2020-03-27,2021-04-05,1.0,5502.0
41,Gambia,Contact tracing,2020-03-18,2020-06-08,1.0,27.0
42,Gambia,Contact tracing,2020-06-09,2021-04-05,2.0,5477.0
43,Gambia,Emergency investment in healthcare,2020-03-27,2020-03-27,9826500.0,0.0
44,Gambia,Facial Coverings,2020-07-24,2021-04-05,3.0,5289.0
34,Gambia,Fiscal measures,2020-03-18,2020-03-18,9000000.0,0.0
35,Gambia,Fiscal measures,2020-04-15,2020-04-15,21300000.0,0.0
36,Gambia,Fiscal measures,2020-04-28,2020-04-28,226516.0,0.0
33,Gambia,Income support,2020-10-09,2020-12-14,1.0,161.0
29,Gambia,International travel controls,2020-03-20,2020-03-22,3.0,0.0
30,Gambia,International travel controls,2020-03-23,2020-10-15,4.0,3642.0
31,Gambia,International travel controls,2020-10-16,2021-01-11,1.0,208.0
32,Gambia,International travel controls,2021-01-12,2021-04-05,2.0,1629.0
48,Gambia,Protection of elderly people,2020-03-18,2020-07-21,1.0,111.0
49,Gambia,Protection of elderly people,2020-08-06,2020-09-17,1.0,2538.0
37,Gambia,Public information campaigns,2020-02-07,2020-02-26,1.0,0.0
38,Gambia,Public information campaigns,2020-02-27,2021-04-05,2.0,5505.0
18,Gambia,Restrictions on gatherings,2020-03-18,2020-05-17,3.0,22.0
19,Gambia,Restrictions on gatherings,2020-05-18,2021-01-11,4.0,3833.0
20,Gambia,Restrictions on gatherings,2021-01-12,2021-03-01,3.0,836.0
21,Gambia,Restrictions on gatherings,2021-03-02,2021-04-05,4.0,793.0
27,Gambia,Restrictions on internal movement,2020-03-18,2020-07-21,1.0,111.0
28,Gambia,Restrictions on internal movement,2020-08-14,2020-08-26,1.0,1085.0
0,Gambia,School closing,2020-03-18,2020-06-24,3.0,41.0
1,Gambia,School closing,2020-06-25,2020-07-21,2.0,69.0
2,Gambia,School closing,2020-07-22,2020-08-05,1.0,653.0
3,Gambia,School closing,2020-08-06,2020-08-13,3.0,621.0
4,Gambia,School closing,2020-08-14,2020-09-16,2.0,1817.0
5,Gambia,School closing,2020-09-17,2020-10-13,3.0,163.0
6,Gambia,School closing,2020-10-14,2020-10-27,2.0,24.0
7,Gambia,School closing,2020-10-28,2020-11-09,1.0,30.0
8,Gambia,School closing,2020-12-15,2021-03-01,1.0,927.0
23,Gambia,Stay at home requirements,2020-03-18,2020-07-21,1.0,111.0
24,Gambia,Stay at home requirements,2020-08-06,2020-08-13,3.0,621.0
25,Gambia,Stay at home requirements,2020-08-14,2020-10-11,2.0,2009.0
26,Gambia,Stay at home requirements,2020-10-12,2020-11-09,1.0,60.0
39,Gambia,Testing policy,2020-03-18,2021-01-11,2.0,3856.0
40,Gambia,Testing policy,2021-01-12,2021-04-05,3.0,1629.0
45,Gambia,Vaccination policy,2021-03-10,2021-03-29,2.0,628.0
46,Gambia,Vaccination policy,2021-03-30,2021-04-01,3.0,12.0
47,Gambia,Vaccination policy,2021-04-02,2021-04-05,4.0,46.0
9,Gambia,Workplace closing,2020-03-27,2020-05-17,3.0,20.0
10,Gambia,Workplace closing,2020-05-18,2020-06-03,2.0,2.0
11,Gambia,Workplace closing,2020-06-04,2020-07-21,1.0,86.0
12,Gambia,Workplace closing,2020-08-06,2020-08-13,3.0,621.0
13,Gambia,Workplace closing,2020-08-14,2020-11-09,2.0,2073.0
