,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
6,Ghana,Cancel public events,2020-03-16,2020-10-29,2.0,48049.0
7,Ghana,Cancel public events,2020-10-30,2021-02-22,1.0,32704.0
8,Ghana,Cancel public events,2021-02-23,2021-04-05,2.0,10141.0
10,Ghana,Close public transport,2020-03-30,2020-04-19,2.0,890.0
11,Ghana,Close public transport,2020-04-20,2020-05-25,1.0,5766.0
31,Ghana,Contact tracing,2020-03-12,2021-03-06,2.0,86092.0
32,Ghana,Contact tracing,2021-03-07,2021-03-29,1.0,3822.0
22,Ghana,Debt/contract relief,2020-04-05,2020-04-08,1.0,99.0
23,Ghana,Debt/contract relief,2020-04-09,2020-06-30,2.0,17363.0
33,Ghana,Emergency investment in healthcare,2020-03-31,2020-03-31,100000000.0,0.0
34,Ghana,Facial Coverings,2020-05-01,2020-05-30,1.0,5694.0
35,Ghana,Facial Coverings,2020-05-31,2020-06-13,2.0,3048.0
36,Ghana,Facial Coverings,2020-06-14,2021-04-05,4.0,78936.0
24,Ghana,Fiscal measures,2020-04-05,2020-04-05,103448274.0,0.0
25,Ghana,Fiscal measures,2020-05-22,2020-05-22,106551726.0,0.0
15,Ghana,International travel controls,2020-01-24,2020-03-16,1.0,6.0
16,Ghana,International travel controls,2020-03-17,2020-03-21,3.0,12.0
17,Ghana,International travel controls,2020-03-22,2020-08-31,4.0,44275.0
18,Ghana,International travel controls,2020-09-01,2021-02-01,1.0,22550.0
19,Ghana,International travel controls,2021-02-02,2021-02-22,3.0,12977.0
20,Ghana,International travel controls,2021-02-23,2021-03-06,1.0,5333.0
21,Ghana,International travel controls,2021-03-07,2021-04-05,4.0,4435.0
26,Ghana,Public information campaigns,2020-03-11,2020-03-14,1.0,3.0
27,Ghana,Public information campaigns,2020-03-15,2021-04-05,2.0,90894.0
9,Ghana,Restrictions on gatherings,2020-03-16,2021-04-05,3.0,90894.0
14,Ghana,Restrictions on internal movement,2020-03-30,2020-04-18,2.0,682.0
0,Ghana,School closing,2020-03-16,2020-06-21,3.0,14148.0
1,Ghana,School closing,2020-06-22,2021-01-14,2.0,42827.0
2,Ghana,School closing,2021-01-15,2021-02-01,1.0,10029.0
12,Ghana,Stay at home requirements,2020-03-30,2020-04-18,2.0,682.0
13,Ghana,Stay at home requirements,2021-02-23,2021-03-29,1.0,9528.0
28,Ghana,Testing policy,2020-03-17,2020-03-20,1.0,9.0
29,Ghana,Testing policy,2020-03-21,2021-03-06,3.0,86073.0
30,Ghana,Testing policy,2021-03-07,2021-04-05,2.0,4435.0
37,Ghana,Vaccination policy,2021-03-02,2021-03-29,2.0,6264.0
38,Ghana,Vaccination policy,2021-03-30,2021-04-05,3.0,613.0
3,Ghana,Workplace closing,2020-03-30,2020-04-19,3.0,890.0
4,Ghana,Workplace closing,2020-04-20,2021-01-24,1.0,59752.0
5,Ghana,Workplace closing,2021-01-25,2021-04-05,2.0,28765.0
