,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
6,Guatemala,Cancel public events,2020-03-09,2020-03-16,1.0,2.0
7,Guatemala,Cancel public events,2020-03-17,2020-09-30,2.0,91740.0
8,Guatemala,Cancel public events,2020-10-01,2021-01-13,1.0,53577.0
9,Guatemala,Cancel public events,2021-01-14,2021-01-31,2.0,12567.0
10,Guatemala,Cancel public events,2021-02-01,2021-02-15,1.0,7751.0
11,Guatemala,Cancel public events,2021-02-16,2021-04-05,2.0,27577.0
16,Guatemala,Close public transport,2020-03-17,2020-07-26,2.0,45047.0
17,Guatemala,Close public transport,2020-07-27,2021-04-05,1.0,150371.0
38,Guatemala,Contact tracing,2020-08-14,2021-04-05,1.0,134252.0
28,Guatemala,Debt/contract relief,2020-04-21,2021-04-05,2.0,195386.0
39,Guatemala,Emergency investment in healthcare,2020-04-01,2020-04-01,155889910.55,0.0
40,Guatemala,Emergency investment in healthcare,2020-04-16,2020-04-16,55252918.29,0.0
41,Guatemala,Emergency investment in healthcare,2020-09-09,2020-09-09,2971576.0,0.0
42,Guatemala,Facial Coverings,2020-04-08,2021-04-05,3.0,195593.0
29,Guatemala,Fiscal measures,2020-03-21,2020-03-21,30092856.09,0.0
30,Guatemala,Fiscal measures,2020-04-01,2020-04-01,320548628.55,0.0
31,Guatemala,Fiscal measures,2020-04-08,2020-04-08,1427486909.3,0.0
32,Guatemala,Fiscal measures,2020-04-21,2020-04-21,1689500000.0,0.0
33,Guatemala,Fiscal measures,2020-12-17,2020-12-17,500000000.0,0.0
27,Guatemala,Income support,2020-04-21,2021-04-05,1.0,195386.0
21,Guatemala,International travel controls,2020-01-21,2020-01-30,1.0,0.0
22,Guatemala,International travel controls,2020-01-31,2020-03-11,2.0,0.0
23,Guatemala,International travel controls,2020-03-12,2020-04-17,3.0,214.0
24,Guatemala,International travel controls,2020-04-18,2020-09-17,4.0,83429.0
25,Guatemala,International travel controls,2020-09-18,2020-12-22,1.0,49257.0
26,Guatemala,International travel controls,2020-12-23,2021-04-05,2.0,61424.0
45,Guatemala,Protection of elderly people,2020-03-22,2020-09-30,2.0,91727.0
34,Guatemala,Public information campaigns,2020-01-28,2020-03-05,1.0,0.0
35,Guatemala,Public information campaigns,2020-03-06,2021-04-05,2.0,195680.0
12,Guatemala,Restrictions on gatherings,2020-03-15,2020-03-21,3.0,16.0
13,Guatemala,Restrictions on gatherings,2020-03-22,2021-01-31,4.0,159485.0
14,Guatemala,Restrictions on gatherings,2021-02-01,2021-02-15,3.0,7751.0
15,Guatemala,Restrictions on gatherings,2021-02-16,2021-04-05,4.0,27577.0
19,Guatemala,Restrictions on internal movement,2020-03-06,2020-09-17,2.0,83664.0
20,Guatemala,Restrictions on internal movement,2021-01-14,2021-01-28,2.0,10658.0
0,Guatemala,School closing,2020-03-16,2021-01-03,3.0,138473.0
1,Guatemala,School closing,2021-01-04,2021-04-05,2.0,57024.0
18,Guatemala,Stay at home requirements,2020-03-22,2020-09-30,2.0,91727.0
36,Guatemala,Testing policy,2020-03-13,2020-03-25,1.0,24.0
37,Guatemala,Testing policy,2020-03-26,2021-04-05,2.0,195655.0
43,Guatemala,Vaccination policy,2021-01-07,2021-01-18,1.0,8072.0
44,Guatemala,Vaccination policy,2021-03-02,2021-04-05,3.0,20269.0
2,Guatemala,Workplace closing,2020-03-17,2020-07-26,3.0,45047.0
3,Guatemala,Workplace closing,2020-07-27,2020-09-30,2.0,46437.0
4,Guatemala,Workplace closing,2020-10-01,2021-03-28,1.0,100968.0
5,Guatemala,Workplace closing,2021-03-29,2021-04-05,2.0,2124.0
