,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
6,Haiti,Cancel public events,2020-03-19,2020-07-19,2.0,6975.0
7,Haiti,Cancel public events,2020-09-21,2020-11-23,2.0,614.0
8,Haiti,Cancel public events,2020-11-24,2020-12-14,1.0,285.0
15,Haiti,Close public transport,2020-04-06,2020-06-01,2.0,1844.0
16,Haiti,Close public transport,2020-06-02,2020-07-19,1.0,4851.0
37,Haiti,Contact tracing,2020-06-02,2021-02-08,1.0,9682.0
38,Haiti,Contact tracing,2021-02-09,2021-03-22,2.0,806.0
29,Haiti,Debt/contract relief,2020-03-22,2021-03-22,1.0,12712.0
39,Haiti,Emergency investment in healthcare,2020-02-13,2020-02-13,365162.0,0.0
40,Haiti,Emergency investment in healthcare,2020-04-02,2020-04-02,20000000.0,0.0
41,Haiti,Emergency investment in healthcare,2020-04-27,2020-04-27,16100000.0,0.0
42,Haiti,Facial Coverings,2020-04-20,2020-05-22,2.0,619.0
43,Haiti,Facial Coverings,2020-05-23,2021-03-22,3.0,11980.0
30,Haiti,Fiscal measures,2020-04-16,2020-04-16,13200000.0,0.0
31,Haiti,Fiscal measures,2020-04-17,2020-04-17,111600000.0,0.0
28,Haiti,Income support,2020-06-02,2021-03-22,1.0,10590.0
22,Haiti,International travel controls,2020-02-04,2020-03-15,1.0,0.0
23,Haiti,International travel controls,2020-03-16,2020-04-18,3.0,43.0
24,Haiti,International travel controls,2020-04-19,2020-06-29,4.0,5678.0
25,Haiti,International travel controls,2020-06-30,2020-07-14,2.0,880.0
26,Haiti,International travel controls,2020-07-15,2020-10-21,1.0,2249.0
27,Haiti,International travel controls,2020-10-22,2021-03-22,2.0,3735.0
32,Haiti,Public information campaigns,2020-03-03,2020-03-11,1.0,0.0
33,Haiti,Public information campaigns,2020-03-12,2021-03-22,2.0,12714.0
9,Haiti,Restrictions on gatherings,2020-03-19,2020-06-01,4.0,1865.0
10,Haiti,Restrictions on gatherings,2020-06-02,2020-07-19,3.0,4851.0
11,Haiti,Restrictions on gatherings,2020-09-21,2020-10-21,4.0,376.0
12,Haiti,Restrictions on gatherings,2020-10-22,2021-02-08,3.0,2827.0
13,Haiti,Restrictions on gatherings,2021-02-09,2021-02-24,4.0,444.0
14,Haiti,Restrictions on gatherings,2021-02-25,2021-03-22,3.0,362.0
21,Haiti,Restrictions on internal movement,2020-03-19,2020-07-19,2.0,6975.0
0,Haiti,School closing,2020-03-19,2020-08-09,3.0,7599.0
1,Haiti,School closing,2020-08-10,2020-08-16,2.0,220.0
2,Haiti,School closing,2020-08-17,2021-03-03,1.0,4652.0
17,Haiti,Stay at home requirements,2020-03-19,2020-07-19,2.0,6975.0
18,Haiti,Stay at home requirements,2020-07-20,2020-09-20,1.0,1547.0
19,Haiti,Stay at home requirements,2020-09-21,2020-12-14,2.0,909.0
20,Haiti,Stay at home requirements,2021-01-13,2021-03-22,2.0,2328.0
34,Haiti,Testing policy,2020-03-19,2020-12-14,1.0,9509.0
35,Haiti,Testing policy,2020-12-15,2021-02-08,2.0,2241.0
36,Haiti,Testing policy,2021-02-09,2021-03-22,3.0,806.0
3,Haiti,Workplace closing,2020-03-19,2020-04-19,3.0,44.0
4,Haiti,Workplace closing,2020-04-20,2020-06-01,2.0,1821.0
5,Haiti,Workplace closing,2020-06-02,2020-07-19,1.0,4851.0
