,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
7,Honduras,Cancel public events,2020-03-13,2021-02-11,2.0,158353.0
8,Honduras,Cancel public events,2021-02-13,2021-03-29,2.0,28187.0
11,Honduras,Close public transport,2020-03-16,2020-08-08,2.0,46967.0
12,Honduras,Close public transport,2020-08-09,2021-02-11,1.0,110901.0
35,Honduras,Contact tracing,2020-03-04,2021-01-24,1.0,140929.0
28,Honduras,Debt/contract relief,2020-04-03,2021-03-29,2.0,187753.0
36,Honduras,Emergency investment in healthcare,2020-03-12,2020-03-12,4400000.0,0.0
37,Honduras,Emergency investment in healthcare,2020-03-13,2020-03-13,420000000.0,0.0
38,Honduras,Emergency investment in healthcare,2020-03-27,2020-03-27,4400000.0,0.0
39,Honduras,Facial Coverings,2020-05-21,2021-03-29,3.0,184771.0
29,Honduras,Fiscal measures,2020-03-27,2020-03-27,420000000.0,0.0
26,Honduras,Income support,2020-04-03,2020-09-19,2.0,70921.0
27,Honduras,Income support,2020-09-20,2021-03-29,1.0,116359.0
30,Honduras,International support,2021-01-07,2021-01-07,206015.66,0.0
31,Honduras,International support,2021-01-11,2021-01-11,103007.83,0.0
19,Honduras,International travel controls,2020-03-16,2020-03-20,3.0,18.0
20,Honduras,International travel controls,2020-03-21,2020-08-16,4.0,50478.0
21,Honduras,International travel controls,2020-08-17,2020-10-18,1.0,37430.0
22,Honduras,International travel controls,2020-10-19,2020-12-22,2.0,28207.0
23,Honduras,International travel controls,2020-12-23,2021-02-11,3.0,40319.0
24,Honduras,International travel controls,2021-02-13,2021-02-22,2.0,5949.0
25,Honduras,International travel controls,2021-02-23,2021-03-29,3.0,21428.0
40,Honduras,Protection of elderly people,2020-03-16,2020-08-21,3.0,53375.0
41,Honduras,Protection of elderly people,2020-08-22,2021-01-30,2.0,93117.0
42,Honduras,Protection of elderly people,2021-01-31,2021-02-01,3.0,0.0
43,Honduras,Protection of elderly people,2021-03-16,2021-03-29,2.0,8460.0
32,Honduras,Public information campaigns,2020-03-02,2021-02-11,2.0,158355.0
33,Honduras,Public information campaigns,2021-02-13,2021-03-29,2.0,28187.0
9,Honduras,Restrictions on gatherings,2020-03-16,2021-02-11,4.0,158349.0
10,Honduras,Restrictions on gatherings,2021-02-13,2021-03-29,4.0,28187.0
17,Honduras,Restrictions on internal movement,2020-03-16,2021-02-11,2.0,158349.0
18,Honduras,Restrictions on internal movement,2021-02-13,2021-03-29,2.0,28187.0
0,Honduras,School closing,2020-03-13,2021-02-11,3.0,158353.0
1,Honduras,School closing,2021-02-13,2021-03-29,3.0,28187.0
13,Honduras,Stay at home requirements,2020-03-16,2020-08-21,3.0,53375.0
14,Honduras,Stay at home requirements,2020-08-22,2021-01-30,2.0,93117.0
15,Honduras,Stay at home requirements,2021-01-31,2021-02-01,3.0,0.0
16,Honduras,Stay at home requirements,2021-02-02,2021-03-29,2.0,39024.0
34,Honduras,Testing policy,2020-03-04,2021-03-29,1.0,187975.0
2,Honduras,Workplace closing,2020-03-16,2020-03-19,2.0,6.0
3,Honduras,Workplace closing,2020-03-20,2020-06-07,3.0,6303.0
4,Honduras,Workplace closing,2020-06-08,2021-01-09,2.0,120493.0
5,Honduras,Workplace closing,2021-01-10,2021-02-11,3.0,30410.0
6,Honduras,Workplace closing,2021-02-13,2021-03-29,3.0,28187.0
