,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
12,Hong Kong,Cancel public events,2020-01-26,2020-06-18,2.0,1116.0
13,Hong Kong,Cancel public events,2020-07-15,2021-04-02,2.0,9911.0
17,Hong Kong,Close public transport,2020-11-10,2021-04-02,1.0,6110.0
42,Hong Kong,Contact tracing,2020-01-22,2021-04-02,2.0,11499.0
28,Hong Kong,Debt/contract relief,2020-02-26,2021-04-02,2.0,11408.0
43,Hong Kong,Emergency investment in healthcare,2020-02-21,2020-02-21,1308494000.0,0.0
44,Hong Kong,Emergency investment in healthcare,2020-05-15,2020-05-15,32253408.0,0.0
45,Hong Kong,Emergency investment in healthcare,2020-09-17,2020-09-17,23613339.0,0.0
46,Hong Kong,Emergency investment in healthcare,2020-10-30,2020-10-30,13160000.0,0.0
48,Hong Kong,Facial Coverings,2020-01-01,2020-05-09,1.0,1044.0
49,Hong Kong,Facial Coverings,2020-05-11,2020-07-28,1.0,1837.0
50,Hong Kong,Facial Coverings,2020-07-29,2020-09-10,3.0,1911.0
51,Hong Kong,Facial Coverings,2020-09-11,2021-04-02,2.0,6574.0
29,Hong Kong,Fiscal measures,2020-02-21,2020-02-21,2170012300.0,0.0
30,Hong Kong,Fiscal measures,2020-02-26,2020-02-26,15397022000.0,0.0
31,Hong Kong,Fiscal measures,2020-03-20,2020-03-20,2580000000.0,0.0
32,Hong Kong,Fiscal measures,2020-03-23,2020-03-23,128934000.0,0.0
33,Hong Kong,Fiscal measures,2020-04-08,2020-04-08,17737249075.6,0.0
34,Hong Kong,Fiscal measures,2020-09-15,2020-09-15,3095856000.0,0.0
35,Hong Kong,Fiscal measures,2020-12-21,2020-12-21,825516800.0,0.0
36,Hong Kong,Fiscal measures,2021-01-18,2021-01-18,12897427.0,0.0
37,Hong Kong,Fiscal measures,2021-02-24,2021-02-24,15474466901.78,0.0
26,Hong Kong,Income support,2020-02-26,2020-11-09,2.0,5289.0
27,Hong Kong,Income support,2020-11-10,2021-04-02,1.0,6110.0
21,Hong Kong,International travel controls,2020-01-01,2020-01-26,1.0,8.0
22,Hong Kong,International travel controls,2020-01-27,2020-04-05,3.0,882.0
23,Hong Kong,International travel controls,2020-04-06,2020-11-09,4.0,4466.0
24,Hong Kong,International travel controls,2020-11-10,2020-12-03,2.0,1200.0
25,Hong Kong,International travel controls,2020-12-04,2021-04-02,3.0,4798.0
47,Hong Kong,Investment in vaccines,2020-04-27,2020-04-27,14322225.0,0.0
54,Hong Kong,Protection of elderly people,2020-02-03,2020-04-05,1.0,875.0
55,Hong Kong,Protection of elderly people,2020-04-06,2020-07-07,2.0,385.0
56,Hong Kong,Protection of elderly people,2020-07-08,2021-04-02,3.0,10176.0
38,Hong Kong,Public information campaigns,2020-01-01,2021-04-02,2.0,11499.0
14,Hong Kong,Restrictions on gatherings,2020-03-29,2020-05-07,4.0,403.0
15,Hong Kong,Restrictions on gatherings,2020-05-08,2020-07-14,3.0,525.0
16,Hong Kong,Restrictions on gatherings,2020-07-15,2021-04-02,4.0,9911.0
20,Hong Kong,Restrictions on internal movement,2020-11-30,2021-04-02,1.0,5185.0
0,Hong Kong,School closing,2020-01-25,2020-05-26,3.0,1060.0
1,Hong Kong,School closing,2020-05-27,2020-07-14,2.0,503.0
2,Hong Kong,School closing,2020-07-15,2020-09-22,3.0,3458.0
3,Hong Kong,School closing,2020-09-23,2020-09-28,2.0,26.0
4,Hong Kong,School closing,2020-09-29,2020-11-13,1.0,357.0
5,Hong Kong,School closing,2020-11-14,2021-04-02,2.0,6055.0
18,Hong Kong,Stay at home requirements,2020-02-08,2020-09-10,1.0,4887.0
19,Hong Kong,Stay at home requirements,2020-11-30,2021-04-02,1.0,5185.0
39,Hong Kong,Testing policy,2020-01-13,2020-02-18,1.0,62.0
40,Hong Kong,Testing policy,2020-02-19,2020-08-06,2.0,3786.0
41,Hong Kong,Testing policy,2020-08-07,2021-04-02,3.0,7561.0
52,Hong Kong,Vaccination policy,2021-02-26,2021-03-07,3.0,140.0
53,Hong Kong,Vaccination policy,2021-03-08,2021-04-02,4.0,400.0
6,Hong Kong,Workplace closing,2020-01-28,2020-01-28,1.0,0.0
7,Hong Kong,Workplace closing,2020-01-29,2020-03-01,2.0,86.0
8,Hong Kong,Workplace closing,2020-03-23,2020-05-28,2.0,710.0
9,Hong Kong,Workplace closing,2020-07-15,2020-09-25,2.0,3470.0
10,Hong Kong,Workplace closing,2020-09-26,2020-11-23,1.0,642.0
11,Hong Kong,Workplace closing,2020-11-24,2021-04-02,2.0,5718.0
