,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Iceland,Cancel public events,2020-03-16,2020-09-06,2.0,1961.0
9,Iceland,Cancel public events,2020-09-07,2020-10-19,1.0,1958.0
10,Iceland,Cancel public events,2020-10-20,2021-01-12,2.0,1719.0
11,Iceland,Cancel public events,2021-01-13,2021-03-24,1.0,209.0
12,Iceland,Cancel public events,2021-03-25,2021-03-30,2.0,36.0
21,Iceland,Close public transport,2021-03-25,2021-03-30,1.0,36.0
32,Iceland,Contact tracing,2020-03-09,2021-03-30,2.0,6136.0
25,Iceland,Debt/contract relief,2020-03-10,2021-03-30,2.0,6125.0
33,Iceland,Facial Coverings,2020-07-31,2021-03-21,2.0,4212.0
34,Iceland,Facial Coverings,2021-03-22,2021-03-30,3.0,75.0
26,Iceland,Fiscal measures,2020-03-21,2020-03-21,1600000000.0,0.0
27,Iceland,Fiscal measures,2020-04-21,2020-04-21,2884140.0,0.0
28,Iceland,Fiscal measures,2020-05-27,2020-05-27,580000000.0,0.0
24,Iceland,Income support,2020-03-21,2021-03-30,2.0,5721.0
22,Iceland,International travel controls,2020-01-29,2020-03-19,2.0,330.0
23,Iceland,International travel controls,2020-03-20,2021-03-30,3.0,5785.0
36,Iceland,Protection of elderly people,2020-03-06,2020-05-03,3.0,1756.0
37,Iceland,Protection of elderly people,2020-05-04,2021-03-30,2.0,4395.0
29,Iceland,Public information campaigns,2020-01-23,2021-03-30,2.0,6194.0
13,Iceland,Restrictions on gatherings,2020-03-15,2020-05-24,3.0,1633.0
14,Iceland,Restrictions on gatherings,2020-05-25,2020-07-30,2.0,68.0
15,Iceland,Restrictions on gatherings,2020-07-31,2020-09-06,3.0,256.0
16,Iceland,Restrictions on gatherings,2020-09-07,2020-10-04,2.0,778.0
17,Iceland,Restrictions on gatherings,2020-10-05,2020-10-30,3.0,1817.0
18,Iceland,Restrictions on gatherings,2020-10-31,2021-01-03,4.0,889.0
19,Iceland,Restrictions on gatherings,2021-01-04,2021-03-24,3.0,349.0
20,Iceland,Restrictions on gatherings,2021-03-25,2021-03-30,4.0,36.0
0,Iceland,School closing,2020-03-16,2020-05-03,2.0,1619.0
1,Iceland,School closing,2020-05-04,2021-03-24,1.0,4345.0
2,Iceland,School closing,2021-03-25,2021-03-30,3.0,36.0
30,Iceland,Testing policy,2020-03-09,2020-03-12,2.0,45.0
31,Iceland,Testing policy,2020-03-13,2021-03-30,3.0,6060.0
35,Iceland,Vaccination policy,2020-12-29,2021-03-30,2.0,458.0
3,Iceland,Workplace closing,2020-03-16,2020-05-24,2.0,1624.0
4,Iceland,Workplace closing,2020-07-31,2020-10-19,1.0,2216.0
5,Iceland,Workplace closing,2020-10-20,2021-02-07,2.0,1828.0
6,Iceland,Workplace closing,2021-02-08,2021-03-24,1.0,124.0
7,Iceland,Workplace closing,2021-03-25,2021-03-30,2.0,36.0
