,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
5,Japan,Cancel public events,2020-02-20,2020-05-24,1.0,16356.0
6,Japan,Cancel public events,2020-05-26,2020-12-07,1.0,147932.0
7,Japan,Cancel public events,2020-12-08,2020-12-21,2.0,34482.0
8,Japan,Cancel public events,2020-12-22,2021-04-09,1.0,296099.0
10,Japan,Close public transport,2020-12-01,2021-03-12,1.0,294001.0
47,Japan,Contact tracing,2020-01-15,2021-04-10,1.0,503537.0
24,Japan,Debt/contract relief,2020-03-16,2020-11-16,2.0,118714.0
25,Japan,Debt/contract relief,2020-11-17,2021-01-14,1.0,189487.0
26,Japan,Debt/contract relief,2021-01-22,2021-04-09,2.0,142657.0
48,Japan,Emergency investment in healthcare,2020-02-13,2020-02-13,60530834.0,0.0
49,Japan,Emergency investment in healthcare,2020-03-10,2020-03-10,468619258.0,0.0
50,Japan,Emergency investment in healthcare,2020-04-20,2020-04-20,16801000000.0,0.0
54,Japan,Facial Coverings,2020-03-01,2020-11-16,1.0,119298.0
55,Japan,Facial Coverings,2020-11-17,2020-11-23,3.0,13307.0
56,Japan,Facial Coverings,2020-11-24,2021-04-10,1.0,367751.0
27,Japan,Fiscal measures,2020-02-13,2020-02-13,81949436.0,0.0
28,Japan,Fiscal measures,2020-03-10,2020-03-10,3685314415.0,0.0
29,Japan,Fiscal measures,2020-04-07,2020-04-07,990863000000.0,0.0
30,Japan,Fiscal measures,2020-05-19,2020-05-19,491257000.0,0.0
31,Japan,Fiscal measures,2020-08-07,2020-08-07,10400000000.0,0.0
32,Japan,Fiscal measures,2020-12-08,2020-12-08,706745782764.63,0.0
22,Japan,Income support,2020-04-16,2020-06-14,1.0,7971.0
23,Japan,Income support,2020-06-15,2021-04-09,2.0,482392.0
33,Japan,International support,2020-04-02,2020-04-02,834353051822.0,0.0
34,Japan,International support,2020-04-16,2020-04-16,2458012369.26,0.0
35,Japan,International support,2020-04-30,2020-04-30,150000000.0,0.0
36,Japan,International support,2020-05-13,2020-05-13,100000000.0,0.0
37,Japan,International support,2020-05-15,2020-05-15,2700000000.0,0.0
38,Japan,International support,2020-06-07,2020-06-07,7541400.0,0.0
39,Japan,International support,2020-07-01,2020-07-01,465133140.0,0.0
40,Japan,International support,2020-07-08,2020-07-08,7484026.0,0.0
41,Japan,International support,2021-02-09,2021-02-09,200000000.0,0.0
42,Japan,International support,2021-03-26,2021-03-26,1000000.0,0.0
15,Japan,International travel controls,2020-01-07,2020-01-31,1.0,15.0
16,Japan,International travel controls,2020-02-01,2020-03-08,3.0,479.0
17,Japan,International travel controls,2020-03-09,2020-04-02,2.0,2291.0
18,Japan,International travel controls,2020-04-03,2020-09-23,3.0,76855.0
19,Japan,International travel controls,2020-09-24,2020-10-12,1.0,9162.0
20,Japan,International travel controls,2020-10-13,2020-12-21,3.0,110921.0
21,Japan,International travel controls,2020-12-22,2021-04-09,4.0,296099.0
51,Japan,Investment in vaccines,2020-06-05,2020-06-05,300000000.0,0.0
52,Japan,Investment in vaccines,2020-07-10,2020-07-10,106000000.0,0.0
53,Japan,Investment in vaccines,2020-10-01,2020-10-01,7863849765.0,0.0
58,Japan,Protection of elderly people,2020-02-25,2020-04-06,2.0,3937.0
59,Japan,Protection of elderly people,2020-04-07,2021-04-10,3.0,499052.0
43,Japan,Public information campaigns,2020-02-04,2021-04-09,2.0,499809.0
9,Japan,Restrictions on gatherings,2021-01-05,2021-04-09,1.0,246260.0
13,Japan,Restrictions on internal movement,2020-02-25,2020-06-20,1.0,17552.0
14,Japan,Restrictions on internal movement,2020-07-23,2021-04-10,1.0,475423.0
0,Japan,School closing,2020-03-02,2020-05-31,3.0,16473.0
1,Japan,School closing,2020-06-01,2021-04-09,1.0,483044.0
11,Japan,Stay at home requirements,2020-04-07,2020-05-24,1.0,11966.0
12,Japan,Stay at home requirements,2020-07-23,2021-04-09,1.0,471717.0
44,Japan,Testing policy,2020-01-15,2020-06-14,1.0,17369.0
45,Japan,Testing policy,2020-06-15,2021-03-26,2.0,447044.0
46,Japan,Testing policy,2021-03-27,2021-04-09,1.0,33268.0
57,Japan,Vaccination policy,2021-02-13,2021-04-09,1.0,85028.0
2,Japan,Workplace closing,2020-02-25,2020-05-24,1.0,16278.0
3,Japan,Workplace closing,2020-07-26,2020-09-09,1.0,42716.0
4,Japan,Workplace closing,2020-11-07,2021-04-10,1.0,396098.0
