,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Jordan,Cancel public events,2020-03-18,2021-02-01,2.0,328010.0
9,Jordan,Cancel public events,2021-02-02,2021-03-09,1.0,113008.0
10,Jordan,Cancel public events,2021-03-10,2021-04-11,2.0,213544.0
13,Jordan,Close public transport,2020-03-18,2020-05-03,2.0,409.0
14,Jordan,Close public transport,2020-05-04,2020-05-11,1.0,97.0
15,Jordan,Close public transport,2020-09-01,2021-04-11,1.0,660298.0
43,Jordan,Contact tracing,2020-03-17,2020-07-15,1.0,1167.0
44,Jordan,Contact tracing,2020-07-16,2020-11-08,2.0,108115.0
45,Jordan,Contact tracing,2020-11-15,2021-01-18,2.0,171866.0
46,Jordan,Contact tracing,2021-01-19,2021-04-11,1.0,345968.0
35,Jordan,Debt/contract relief,2020-03-18,2021-02-22,1.0,368226.0
47,Jordan,Facial Coverings,2020-08-15,2020-10-22,2.0,45102.0
48,Jordan,Facial Coverings,2020-10-23,2021-03-08,3.0,386200.0
49,Jordan,Facial Coverings,2021-03-09,2021-03-23,2.0,111525.0
50,Jordan,Facial Coverings,2021-03-24,2021-04-11,3.0,99538.0
36,Jordan,Fiscal measures,2020-03-15,2020-03-15,705000000.0,0.0
37,Jordan,Fiscal measures,2021-03-31,2021-03-31,631880000.0,0.0
34,Jordan,Income support,2020-03-29,2021-04-11,1.0,662136.0
26,Jordan,International travel controls,2020-03-15,2020-08-26,4.0,1748.0
27,Jordan,International travel controls,2020-08-27,2020-08-31,2.0,233.0
28,Jordan,International travel controls,2020-09-01,2020-09-07,4.0,381.0
29,Jordan,International travel controls,2020-09-08,2020-09-24,3.0,4010.0
30,Jordan,International travel controls,2020-09-25,2020-10-28,2.0,54731.0
31,Jordan,International travel controls,2020-10-29,2020-11-08,1.0,43936.0
32,Jordan,International travel controls,2020-11-09,2020-12-21,2.0,162462.0
33,Jordan,International travel controls,2020-12-22,2021-04-11,3.0,382503.0
53,Jordan,Protection of elderly people,2020-03-18,2020-04-26,3.0,395.0
54,Jordan,Protection of elderly people,2020-04-27,2020-05-11,2.0,113.0
55,Jordan,Protection of elderly people,2020-05-12,2020-08-31,1.0,1458.0
56,Jordan,Protection of elderly people,2020-09-01,2020-09-16,2.0,1755.0
57,Jordan,Protection of elderly people,2020-09-17,2020-10-01,1.0,8970.0
58,Jordan,Protection of elderly people,2020-10-02,2020-12-08,2.0,233481.0
59,Jordan,Protection of elderly people,2020-12-09,2021-03-23,1.0,303508.0
38,Jordan,Public information campaigns,2020-03-05,2021-04-11,2.0,662394.0
11,Jordan,Restrictions on gatherings,2020-03-18,2020-06-05,4.0,732.0
12,Jordan,Restrictions on gatherings,2020-08-07,2021-04-11,3.0,661158.0
20,Jordan,Restrictions on internal movement,2020-03-18,2020-06-05,2.0,732.0
21,Jordan,Restrictions on internal movement,2020-10-06,2021-01-18,2.0,296543.0
22,Jordan,Restrictions on internal movement,2021-01-19,2021-02-01,1.0,11635.0
23,Jordan,Restrictions on internal movement,2021-02-23,2021-03-08,1.0,62713.0
24,Jordan,Restrictions on internal movement,2021-03-09,2021-03-23,2.0,111525.0
25,Jordan,Restrictions on internal movement,2021-03-24,2021-04-11,1.0,99538.0
0,Jordan,School closing,2020-03-15,2021-02-06,3.0,333847.0
1,Jordan,School closing,2021-02-07,2021-03-09,2.0,107048.0
2,Jordan,School closing,2021-03-10,2021-04-11,3.0,213544.0
16,Jordan,Stay at home requirements,2020-03-18,2020-04-26,3.0,395.0
17,Jordan,Stay at home requirements,2020-04-27,2020-05-11,2.0,113.0
18,Jordan,Stay at home requirements,2020-05-12,2020-08-14,1.0,753.0
19,Jordan,Stay at home requirements,2020-08-15,2021-04-11,2.0,661056.0
39,Jordan,Testing policy,2020-03-05,2020-03-08,1.0,0.0
40,Jordan,Testing policy,2020-03-09,2021-03-08,2.0,435129.0
41,Jordan,Testing policy,2021-03-09,2021-03-23,3.0,111525.0
42,Jordan,Testing policy,2021-03-24,2021-04-11,2.0,99538.0
51,Jordan,Vaccination policy,2021-01-12,2021-03-23,3.0,243881.0
52,Jordan,Vaccination policy,2021-03-24,2021-04-11,4.0,99538.0
3,Jordan,Workplace closing,2020-03-18,2020-04-20,3.0,373.0
4,Jordan,Workplace closing,2020-04-21,2020-06-05,2.0,356.0
5,Jordan,Workplace closing,2020-09-17,2021-02-01,2.0,323931.0
6,Jordan,Workplace closing,2021-02-02,2021-03-09,1.0,113008.0
7,Jordan,Workplace closing,2021-03-10,2021-04-11,2.0,213544.0
