,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
7,Kyrgyz Republic,Cancel public events,2020-02-27,2020-03-11,1.0,0.0
8,Kyrgyz Republic,Cancel public events,2020-03-12,2020-12-30,2.0,80843.0
12,Kyrgyz Republic,Close public transport,2020-03-25,2020-09-21,2.0,45427.0
13,Kyrgyz Republic,Close public transport,2021-03-01,2021-03-07,1.0,242.0
14,Kyrgyz Republic,Close public transport,2021-03-08,2021-03-26,2.0,1275.0
55,Kyrgyz Republic,Contact tracing,2020-03-12,2020-10-02,1.0,47056.0
56,Kyrgyz Republic,Contact tracing,2020-10-03,2020-12-14,2.0,30490.0
57,Kyrgyz Republic,Contact tracing,2020-12-15,2021-04-04,1.0,10863.0
35,Kyrgyz Republic,Debt/contract relief,2020-03-26,2020-10-02,1.0,47012.0
36,Kyrgyz Republic,Debt/contract relief,2020-10-03,2020-12-31,2.0,33850.0
37,Kyrgyz Republic,Debt/contract relief,2021-01-01,2021-02-28,1.0,5095.0
38,Kyrgyz Republic,Debt/contract relief,2021-03-01,2021-03-26,2.0,1550.0
39,Kyrgyz Republic,Debt/contract relief,2021-03-27,2021-04-04,1.0,1068.0
58,Kyrgyz Republic,Emergency investment in healthcare,2020-05-21,2020-05-21,16000000.0,0.0
59,Kyrgyz Republic,Emergency investment in healthcare,2020-07-05,2020-07-05,600000.0,0.0
60,Kyrgyz Republic,Emergency investment in healthcare,2020-07-14,2020-07-14,23000000.0,0.0
61,Kyrgyz Republic,Emergency investment in healthcare,2020-07-30,2020-07-30,5160034.0,0.0
62,Kyrgyz Republic,Emergency investment in healthcare,2020-08-21,2020-08-21,21800000.0,0.0
63,Kyrgyz Republic,Facial Coverings,2020-05-26,2021-04-04,3.0,87546.0
40,Kyrgyz Republic,Fiscal measures,2020-05-21,2020-05-21,15000000.0,0.0
41,Kyrgyz Republic,Fiscal measures,2020-11-13,2020-11-13,14778508.0,0.0
33,Kyrgyz Republic,Income support,2020-04-10,2020-10-15,1.0,50291.0
34,Kyrgyz Republic,Income support,2021-03-01,2021-04-04,1.0,2706.0
42,Kyrgyz Republic,International support,2020-03-20,2020-03-20,861786.0,0.0
43,Kyrgyz Republic,International support,2020-05-05,2020-05-05,50000000.0,0.0
23,Kyrgyz Republic,International travel controls,2020-01-22,2020-02-29,1.0,0.0
24,Kyrgyz Republic,International travel controls,2020-03-01,2020-03-13,2.0,0.0
25,Kyrgyz Republic,International travel controls,2020-03-14,2020-03-16,3.0,0.0
26,Kyrgyz Republic,International travel controls,2020-03-17,2020-06-02,4.0,1845.0
27,Kyrgyz Republic,International travel controls,2020-06-03,2020-07-09,3.0,7487.0
28,Kyrgyz Republic,International travel controls,2020-07-10,2020-08-24,4.0,33216.0
29,Kyrgyz Republic,International travel controls,2020-08-25,2020-09-27,3.0,3006.0
30,Kyrgyz Republic,International travel controls,2020-09-28,2021-01-03,2.0,35033.0
