,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Madagascar,Cancel public events,2020-03-21,2020-10-04,2.0,16555.0
9,Madagascar,Cancel public events,2020-10-05,2020-10-17,1.0,240.0
10,Madagascar,Cancel public events,2021-03-23,2021-04-05,1.0,3027.0
13,Madagascar,Close public transport,2020-03-21,2020-04-19,2.0,118.0
14,Madagascar,Close public transport,2020-04-20,2020-08-20,1.0,14033.0
15,Madagascar,Close public transport,2020-08-21,2020-08-26,2.0,336.0
30,Madagascar,Contact tracing,2020-03-22,2021-03-01,1.0,19828.0
31,Madagascar,Contact tracing,2021-03-23,2021-04-05,1.0,3027.0
26,Madagascar,Debt/contract relief,2020-07-01,2021-03-01,1.0,17528.0
32,Madagascar,Emergency investment in healthcare,2020-03-22,2020-03-22,3700000.0,0.0
33,Madagascar,Facial Coverings,2020-04-20,2021-03-01,4.0,19710.0
34,Madagascar,Facial Coverings,2021-03-02,2021-03-22,3.0,2785.0
35,Madagascar,Facial Coverings,2021-03-23,2021-04-05,4.0,3027.0
25,Madagascar,Income support,2020-04-28,2021-04-05,1.0,25581.0
21,Madagascar,International travel controls,2020-03-15,2020-03-19,3.0,0.0
22,Madagascar,International travel controls,2020-03-20,2020-09-30,4.0,16405.0
23,Madagascar,International travel controls,2020-10-01,2020-10-17,1.0,356.0
24,Madagascar,International travel controls,2020-10-18,2021-04-05,3.0,8899.0
36,Madagascar,Protection of elderly people,2020-03-23,2020-04-19,3.0,109.0
37,Madagascar,Protection of elderly people,2020-04-20,2020-10-06,2.0,16479.0
27,Madagascar,Public information campaigns,2020-03-18,2021-04-05,2.0,25709.0
11,Madagascar,Restrictions on gatherings,2020-03-21,2020-10-04,3.0,16555.0
12,Madagascar,Restrictions on gatherings,2020-10-05,2021-04-05,2.0,9139.0
20,Madagascar,Restrictions on internal movement,2020-03-21,2021-03-22,2.0,22613.0
0,Madagascar,School closing,2020-03-21,2020-08-20,3.0,14151.0
1,Madagascar,School closing,2020-08-21,2020-10-25,2.0,2750.0
2,Madagascar,School closing,2020-10-26,2021-04-05,1.0,8741.0
16,Madagascar,Stay at home requirements,2020-03-23,2020-04-19,3.0,109.0
17,Madagascar,Stay at home requirements,2020-04-20,2020-05-11,1.0,65.0
18,Madagascar,Stay at home requirements,2020-05-12,2020-08-13,2.0,13336.0
19,Madagascar,Stay at home requirements,2020-08-14,2020-10-17,1.0,3167.0
28,Madagascar,Testing policy,2020-03-22,2021-03-08,1.0,20152.0
29,Madagascar,Testing policy,2021-03-23,2021-04-05,1.0,3027.0
3,Madagascar,Workplace closing,2020-03-21,2020-04-04,2.0,67.0
4,Madagascar,Workplace closing,2020-04-05,2020-04-19,3.0,49.0
5,Madagascar,Workplace closing,2020-04-20,2020-05-11,1.0,65.0
6,Madagascar,Workplace closing,2020-05-12,2020-08-30,2.0,14657.0
7,Madagascar,Workplace closing,2020-08-31,2020-10-18,1.0,1947.0
