,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
10,Namibia,Cancel public events,2020-03-17,2020-05-31,2.0,22.0
11,Namibia,Cancel public events,2020-06-01,2020-08-11,1.0,3204.0
12,Namibia,Cancel public events,2020-08-12,2020-10-05,2.0,8248.0
13,Namibia,Cancel public events,2020-10-06,2020-12-07,1.0,3546.0
14,Namibia,Cancel public events,2020-12-08,2020-12-14,2.0,1428.0
15,Namibia,Cancel public events,2020-12-15,2021-04-11,1.0,28410.0
27,Namibia,Close public transport,2020-12-08,2020-12-14,1.0,1428.0
28,Namibia,Close public transport,2021-03-02,2021-03-15,1.0,2242.0
59,Namibia,Contact tracing,2020-03-14,2020-11-30,2.0,14378.0
60,Namibia,Contact tracing,2020-12-08,2021-04-11,2.0,30025.0
52,Namibia,Debt/contract relief,2020-03-26,2020-10-28,1.0,12798.0
62,Namibia,Facial Coverings,2020-03-24,2020-05-04,1.0,9.0
63,Namibia,Facial Coverings,2020-05-05,2020-06-02,2.0,9.0
64,Namibia,Facial Coverings,2020-06-03,2020-11-30,3.0,14355.0
65,Namibia,Facial Coverings,2020-12-08,2021-01-24,3.0,17127.0
66,Namibia,Facial Coverings,2021-01-25,2021-02-01,4.0,1518.0
67,Namibia,Facial Coverings,2021-02-02,2021-04-11,3.0,11053.0
53,Namibia,Fiscal measures,2020-04-01,2020-04-01,441411500.91,0.0
51,Namibia,Income support,2020-04-01,2020-04-01,2.0,0.0
43,Namibia,International travel controls,2020-03-01,2020-03-13,1.0,0.0
44,Namibia,International travel controls,2020-03-14,2020-03-23,3.0,2.0
45,Namibia,International travel controls,2020-03-24,2020-07-25,4.0,1680.0
46,Namibia,International travel controls,2020-07-26,2021-01-12,1.0,27096.0
47,Namibia,International travel controls,2021-01-13,2021-01-18,2.0,1570.0
48,Namibia,International travel controls,2021-01-19,2021-02-08,1.0,4075.0
49,Namibia,International travel controls,2021-02-09,2021-02-15,2.0,1024.0
50,Namibia,International travel controls,2021-02-16,2021-04-11,1.0,8957.0
61,Namibia,Investment in vaccines,2021-01-13,2021-01-13,1626240.0,0.0
69,Namibia,Protection of elderly people,2020-03-27,2020-05-04,2.0,8.0
70,Namibia,Protection of elderly people,2020-05-05,2020-08-28,1.0,6890.0
71,Namibia,Protection of elderly people,2020-08-29,2020-09-22,3.0,3491.0
