,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
12,Nicaragua,Contact tracing,2020-05-16,2020-05-25,1.0,254.0
13,Nicaragua,Facial Coverings,2021-02-16,2021-03-22,2.0,184.0
3,Nicaragua,International travel controls,2020-02-21,2020-04-14,1.0,9.0
4,Nicaragua,International travel controls,2020-04-15,2020-05-06,2.0,7.0
5,Nicaragua,International travel controls,2020-07-14,2020-09-30,2.0,2023.0
6,Nicaragua,International travel controls,2020-10-01,2021-03-22,1.0,1412.0
14,Nicaragua,Protection of elderly people,2020-03-12,2020-10-07,1.0,5264.0
15,Nicaragua,Protection of elderly people,2020-10-08,2021-03-22,2.0,1318.0
7,Nicaragua,Public information campaigns,2020-02-25,2020-04-14,1.0,9.0
8,Nicaragua,Public information campaigns,2020-04-15,2020-09-06,2.0,4659.0
9,Nicaragua,Public information campaigns,2020-09-07,2021-03-22,1.0,1914.0
0,Nicaragua,School closing,2020-03-19,2020-07-05,2.0,2518.0
1,Nicaragua,School closing,2020-07-06,2020-07-13,3.0,327.0
2,Nicaragua,School closing,2020-07-14,2020-08-27,1.0,1347.0
10,Nicaragua,Testing policy,2020-02-21,2020-04-13,1.0,9.0
11,Nicaragua,Testing policy,2020-04-15,2021-03-22,1.0,6573.0
