,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
3,Niger,Cancel public events,2020-03-13,2020-05-12,2.0,854.0
4,Niger,Cancel public events,2020-12-15,2021-04-05,1.0,2680.0
26,Niger,Contact tracing,2020-03-27,2020-10-01,1.0,1187.0
16,Niger,Debt/contract relief,2020-04-15,2020-08-07,1.0,569.0
17,Niger,Debt/contract relief,2020-08-08,2020-10-01,2.0,40.0
18,Niger,Debt/contract relief,2021-01-05,2021-04-05,2.0,1541.0
27,Niger,Emergency investment in healthcare,2020-04-15,2020-04-15,13950000.0,0.0
28,Niger,Facial Coverings,2020-04-23,2020-10-01,3.0,526.0
29,Niger,Facial Coverings,2020-10-13,2021-02-08,3.0,3418.0
30,Niger,Facial Coverings,2021-02-09,2021-04-05,2.0,398.0
19,Niger,Fiscal measures,2020-04-06,2020-04-06,140000000.0,0.0
20,Niger,Fiscal measures,2020-04-14,2020-04-14,114500000.0,0.0
12,Niger,International travel controls,2020-03-19,2020-08-07,4.0,1153.0
13,Niger,International travel controls,2020-08-08,2020-09-05,1.0,20.0
14,Niger,International travel controls,2020-10-02,2020-10-21,1.0,16.0
15,Niger,International travel controls,2020-10-22,2021-04-05,2.0,3826.0
21,Niger,Public information campaigns,2020-03-17,2020-10-02,2.0,1198.0
22,Niger,Public information campaigns,2020-10-03,2020-11-01,1.0,21.0
23,Niger,Public information campaigns,2020-11-02,2021-04-05,2.0,3819.0
5,Niger,Restrictions on gatherings,2020-03-13,2020-03-18,1.0,0.0
6,Niger,Restrictions on gatherings,2020-03-19,2020-05-12,3.0,854.0
7,Niger,Restrictions on gatherings,2020-12-15,2021-02-08,2.0,2260.0
8,Niger,Restrictions on gatherings,2021-02-09,2021-04-05,3.0,398.0
10,Niger,Restrictions on internal movement,2020-03-28,2020-05-12,2.0,844.0
11,Niger,Restrictions on internal movement,2020-10-02,2020-10-12,1.0,4.0
0,Niger,School closing,2020-03-20,2020-05-31,3.0,957.0
1,Niger,School closing,2020-06-01,2020-12-14,1.0,1364.0
9,Niger,Stay at home requirements,2020-10-03,2020-10-12,1.0,2.0
24,Niger,Testing policy,2020-03-19,2020-10-12,1.0,1202.0
25,Niger,Testing policy,2020-10-13,2021-04-05,3.0,3838.0
2,Niger,Workplace closing,2020-11-02,2021-04-05,1.0,3819.0
