,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
8,Panama,Cancel public events,2020-03-13,2021-04-09,2.0,358071.0
12,Panama,Close public transport,2020-04-03,2020-06-06,2.0,14529.0
13,Panama,Close public transport,2020-06-07,2020-07-21,1.0,38728.0
14,Panama,Close public transport,2020-07-22,2020-08-10,2.0,19488.0
15,Panama,Close public transport,2020-08-11,2020-09-13,1.0,25281.0
16,Panama,Close public transport,2020-09-14,2020-10-11,2.0,18109.0
17,Panama,Close public transport,2021-02-01,2021-04-09,1.0,36995.0
50,Panama,Contact tracing,2020-03-10,2020-08-28,1.0,90623.0
51,Panama,Contact tracing,2020-08-29,2021-04-09,2.0,266761.0
39,Panama,Debt/contract relief,2020-04-30,2021-04-09,2.0,351566.0
52,Panama,Emergency investment in healthcare,2020-02-03,2020-02-03,1.0,0.0
53,Panama,Emergency investment in healthcare,2020-03-16,2020-03-16,1000000.0,0.0
54,Panama,Emergency investment in healthcare,2020-05-25,2020-05-25,2000000.0,0.0
55,Panama,Emergency investment in healthcare,2020-05-30,2020-05-30,2000000.0,0.0
56,Panama,Emergency investment in healthcare,2020-06-04,2020-06-04,300000.0,0.0
57,Panama,Emergency investment in healthcare,2020-07-09,2020-07-09,400000000.0,0.0
58,Panama,Emergency investment in healthcare,2020-07-14,2020-07-14,133700000.0,0.0
59,Panama,Facial Coverings,2020-06-02,2021-04-09,4.0,344003.0
40,Panama,Fiscal measures,2020-03-15,2020-03-15,1372000000.0,0.0
41,Panama,Fiscal measures,2020-03-23,2020-03-23,575000.0,0.0
42,Panama,Fiscal measures,2020-04-30,2020-04-30,6700000.0,0.0
43,Panama,Fiscal measures,2020-07-14,2020-07-14,235000000.0,0.0
38,Panama,Income support,2020-04-30,2021-04-09,1.0,351566.0
30,Panama,International travel controls,2020-01-22,2020-03-12,1.0,11.0
31,Panama,International travel controls,2020-03-13,2020-04-17,3.0,3989.0
32,Panama,International travel controls,2020-04-18,2020-10-11,4.0,116103.0
33,Panama,International travel controls,2020-10-12,2020-11-30,1.0,45004.0
34,Panama,International travel controls,2020-12-01,2020-12-14,2.0,27308.0
35,Panama,International travel controls,2020-12-15,2021-01-21,1.0,108765.0
36,Panama,International travel controls,2021-01-22,2021-03-12,2.0,39433.0
37,Panama,International travel controls,2021-03-13,2021-04-09,3.0,10457.0
62,Panama,Protection of elderly people,2020-03-17,2020-03-24,1.0,276.0
63,Panama,Protection of elderly people,2020-03-25,2020-04-10,2.0,2309.0
64,Panama,Protection of elderly people,2020-04-11,2020-04-12,3.0,260.0
65,Panama,Protection of elderly people,2020-04-13,2020-05-01,2.0,3320.0
66,Panama,Protection of elderly people,2020-05-02,2020-05-03,3.0,0.0
67,Panama,Protection of elderly people,2020-05-04,2021-01-21,2.0,298555.0
68,Panama,Protection of elderly people,2021-01-22,2021-04-09,1.0,50305.0
44,Panama,Public information campaigns,2020-01-21,2020-03-23,1.0,345.0
45,Panama,Public information campaigns,2020-03-24,2021-04-09,2.0,357753.0
9,Panama,Restrictions on gatherings,2020-03-13,2020-10-19,3.0,125154.0
10,Panama,Restrictions on gatherings,2020-10-20,2021-01-11,4.0,155614.0
11,Panama,Restrictions on gatherings,2021-01-12,2021-04-09,3.0,73005.0
26,Panama,Restrictions on internal movement,2020-03-23,2020-10-11,2.0,119968.0
27,Panama,Restrictions on internal movement,2020-12-01,2020-12-14,1.0,27308.0
28,Panama,Restrictions on internal movement,2020-12-28,2020-12-30,1.0,9039.0
29,Panama,Restrictions on internal movement,2020-12-31,2021-03-29,2.0,107295.0
0,Panama,School closing,2020-03-12,2021-04-09,3.0,358087.0
18,Panama,Stay at home requirements,2020-03-17,2020-03-24,1.0,276.0
19,Panama,Stay at home requirements,2020-03-25,2020-06-05,2.0,15020.0
20,Panama,Stay at home requirements,2020-06-06,2020-08-20,3.0,67851.0
21,Panama,Stay at home requirements,2020-08-21,2020-10-24,2.0,44123.0
22,Panama,Stay at home requirements,2020-10-25,2020-12-01,1.0,38111.0
23,Panama,Stay at home requirements,2020-12-02,2020-12-30,2.0,73405.0
24,Panama,Stay at home requirements,2020-12-31,2021-01-03,3.0,6946.0
25,Panama,Stay at home requirements,2021-01-04,2021-04-09,2.0,101868.0
46,Panama,Testing policy,2020-03-10,2020-12-14,2.0,194618.0
47,Panama,Testing policy,2020-12-15,2021-01-21,3.0,108765.0
48,Panama,Testing policy,2021-01-22,2021-02-20,2.0,28244.0
49,Panama,Testing policy,2021-02-21,2021-04-09,3.0,21577.0
60,Panama,Vaccination policy,2021-01-21,2021-01-31,1.0,14627.0
61,Panama,Vaccination policy,2021-02-20,2021-04-09,2.0,22061.0
1,Panama,Workplace closing,2020-03-16,2020-03-19,1.0,54.0
2,Panama,Workplace closing,2020-03-20,2020-05-12,3.0,8646.0
3,Panama,Workplace closing,2020-05-13,2020-07-26,2.0,51352.0
4,Panama,Workplace closing,2020-07-27,2020-08-10,1.0,13952.0
5,Panama,Workplace closing,2020-08-11,2021-01-03,2.0,177272.0
6,Panama,Workplace closing,2021-01-04,2021-01-31,3.0,64149.0
7,Panama,Workplace closing,2021-02-01,2021-04-09,2.0,36995.0
