,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
10,Philippines,Cancel public events,2020-02-07,2020-03-14,1.0,108.0
11,Philippines,Cancel public events,2020-03-15,2021-04-05,2.0,803258.0
19,Philippines,Close public transport,2020-03-15,2020-05-28,2.0,15448.0
20,Philippines,Close public transport,2020-05-29,2020-08-02,1.0,86551.0
21,Philippines,Close public transport,2020-08-03,2020-12-07,2.0,335069.0
22,Philippines,Close public transport,2020-12-08,2020-12-28,1.0,27865.0
23,Philippines,Close public transport,2021-02-09,2021-02-21,1.0,20942.0
24,Philippines,Close public transport,2021-02-22,2021-02-28,2.0,12896.0
25,Philippines,Close public transport,2021-03-01,2021-04-05,1.0,225017.0
62,Philippines,Contact tracing,2020-02-05,2021-02-21,2.0,561167.0
63,Philippines,Contact tracing,2021-02-22,2021-04-03,1.0,220587.0
64,Philippines,Contact tracing,2021-04-04,2021-04-05,2.0,8347.0
50,Philippines,Debt/contract relief,2020-04-06,2020-05-05,2.0,6024.0
51,Philippines,Debt/contract relief,2020-07-03,2020-09-10,1.0,208611.0
52,Philippines,Debt/contract relief,2020-09-11,2020-12-31,2.0,221100.0
53,Philippines,Debt/contract relief,2021-02-09,2021-02-21,1.0,20942.0
65,Philippines,Emergency investment in healthcare,2020-03-31,2020-03-31,61000000.0,0.0
66,Philippines,Emergency investment in healthcare,2020-09-11,2020-09-11,630000000.0,0.0
69,Philippines,Facial Coverings,2020-07-22,2020-12-07,3.0,369130.0
70,Philippines,Facial Coverings,2020-12-08,2020-12-14,2.0,7948.0
71,Philippines,Facial Coverings,2020-12-15,2021-02-21,3.0,109330.0
72,Philippines,Facial Coverings,2021-02-22,2021-04-05,4.0,239942.0
54,Philippines,Fiscal measures,2020-04-08,2020-04-08,23000000000.0,0.0
55,Philippines,Fiscal measures,2020-09-11,2020-09-11,1600000000.0,0.0
56,Philippines,Fiscal measures,2021-02-09,2021-02-09,1135200000.0,0.0
