,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
11,San Marino,Cancel public events,2020-03-08,2020-06-14,2.0,658.0
12,San Marino,Cancel public events,2020-06-15,2020-10-19,1.0,72.0
13,San Marino,Cancel public events,2020-10-20,2020-11-01,2.0,162.0
14,San Marino,Cancel public events,2020-11-02,2020-11-26,1.0,586.0
15,San Marino,Cancel public events,2020-11-27,2021-02-10,2.0,1659.0
16,San Marino,Cancel public events,2021-02-11,2021-03-22,1.0,1141.0
19,San Marino,Close public transport,2020-03-15,2020-05-03,2.0,481.0
46,San Marino,Contact tracing,2020-02-27,2021-03-22,2.0,4387.0
39,San Marino,Debt/contract relief,2020-03-01,2020-07-20,1.0,698.0
40,San Marino,Debt/contract relief,2020-07-21,2021-03-22,2.0,3689.0
47,San Marino,Emergency investment in healthcare,2020-07-03,2020-07-03,11236000.0,0.0
48,San Marino,Facial Coverings,2020-09-15,2020-10-19,2.0,43.0
49,San Marino,Facial Coverings,2020-10-20,2021-03-14,3.0,3360.0
50,San Marino,Facial Coverings,2021-03-15,2021-03-22,4.0,237.0
38,San Marino,Income support,2020-03-01,2021-03-22,1.0,4387.0
33,San Marino,International travel controls,2020-02-23,2020-02-29,2.0,1.0
34,San Marino,International travel controls,2020-03-01,2020-05-02,4.0,579.0
35,San Marino,International travel controls,2020-05-03,2021-01-06,2.0,1967.0
36,San Marino,International travel controls,2021-01-07,2021-02-10,3.0,630.0
37,San Marino,International travel controls,2021-02-11,2021-03-22,1.0,1141.0
51,San Marino,Protection of elderly people,2020-04-10,2020-05-02,2.0,236.0
52,San Marino,Protection of elderly people,2020-05-03,2020-05-31,1.0,89.0
53,San Marino,Protection of elderly people,2020-12-18,2021-03-22,2.0,2316.0
41,San Marino,Public information campaigns,2020-02-25,2021-03-22,2.0,4388.0
17,San Marino,Restrictions on gatherings,2020-03-08,2020-06-14,4.0,658.0
18,San Marino,Restrictions on gatherings,2020-11-02,2021-03-22,4.0,3460.0
27,San Marino,Restrictions on internal movement,2020-03-08,2020-04-16,1.0,390.0
28,San Marino,Restrictions on internal movement,2020-04-17,2020-05-02,2.0,145.0
29,San Marino,Restrictions on internal movement,2020-05-03,2020-05-31,1.0,89.0
30,San Marino,Restrictions on internal movement,2020-12-24,2020-12-27,2.0,0.0
31,San Marino,Restrictions on internal movement,2020-12-31,2021-01-06,2.0,121.0
32,San Marino,Restrictions on internal movement,2021-01-07,2021-03-22,1.0,1805.0
0,San Marino,School closing,2020-02-29,2020-09-06,3.0,715.0
1,San Marino,School closing,2020-09-07,2020-11-29,1.0,870.0
2,San Marino,School closing,2020-11-30,2020-12-22,2.0,564.0
3,San Marino,School closing,2020-12-23,2021-01-06,3.0,344.0
4,San Marino,School closing,2021-01-07,2021-03-22,2.0,1805.0
20,San Marino,Stay at home requirements,2020-03-08,2020-04-09,1.0,297.0
21,San Marino,Stay at home requirements,2020-04-10,2020-05-02,2.0,236.0
22,San Marino,Stay at home requirements,2020-05-03,2020-05-31,1.0,89.0
23,San Marino,Stay at home requirements,2020-10-20,2020-11-01,1.0,162.0
24,San Marino,Stay at home requirements,2020-12-18,2021-02-10,2.0,1141.0
25,San Marino,Stay at home requirements,2021-02-11,2021-02-22,1.0,247.0
26,San Marino,Stay at home requirements,2021-02-23,2021-03-22,2.0,850.0
42,San Marino,Testing policy,2020-02-27,2020-04-04,1.0,258.0
43,San Marino,Testing policy,2020-04-05,2020-05-20,2.0,390.0
44,San Marino,Testing policy,2020-05-21,2021-01-06,3.0,1891.0
45,San Marino,Testing policy,2021-01-07,2021-03-22,2.0,1805.0
5,San Marino,Workplace closing,2020-03-08,2020-03-19,1.0,83.0
6,San Marino,Workplace closing,2020-03-20,2020-06-14,2.0,550.0
7,San Marino,Workplace closing,2020-09-15,2020-10-19,1.0,43.0
8,San Marino,Workplace closing,2020-11-02,2020-12-24,1.0,1303.0
9,San Marino,Workplace closing,2020-12-25,2021-02-26,2.0,1440.0
10,San Marino,Workplace closing,2021-02-27,2021-03-22,1.0,672.0
