,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
5,Saudi Arabia,Cancel public events,2020-03-13,2021-03-29,2.0,388780.0
11,Saudi Arabia,Close public transport,2020-03-21,2020-06-20,2.0,153841.0
12,Saudi Arabia,Close public transport,2020-06-21,2020-08-10,1.0,132335.0
35,Saudi Arabia,Contact tracing,2020-02-01,2021-03-29,2.0,388866.0
27,Saudi Arabia,Debt/contract relief,2020-04-11,2021-03-29,1.0,384833.0
36,Saudi Arabia,Emergency investment in healthcare,2020-04-01,2020-04-01,139540000.0,0.0
40,Saudi Arabia,Facial Coverings,2020-04-28,2020-05-29,1.0,61689.0
41,Saudi Arabia,Facial Coverings,2020-05-30,2021-03-29,3.0,305482.0
28,Saudi Arabia,Fiscal measures,2020-03-15,2020-03-15,13500000000.0,0.0
29,Saudi Arabia,Fiscal measures,2020-03-20,2020-03-20,18600000000.0,0.0
30,Saudi Arabia,Fiscal measures,2020-07-14,2020-07-14,178656994.1,0.0
24,Saudi Arabia,Income support,2020-04-03,2020-11-26,2.0,354350.0
25,Saudi Arabia,Income support,2020-11-27,2020-12-08,1.0,2424.0
26,Saudi Arabia,Income support,2020-12-09,2021-03-29,2.0,29592.0
31,Saudi Arabia,International support,2020-04-09,2020-04-09,525000000.0,0.0
18,Saudi Arabia,International travel controls,2020-03-15,2020-06-05,4.0,95645.0
19,Saudi Arabia,International travel controls,2020-06-06,2020-06-20,3.0,55364.0
20,Saudi Arabia,International travel controls,2020-06-21,2020-09-14,4.0,168646.0
21,Saudi Arabia,International travel controls,2020-09-15,2020-12-19,3.0,33918.0
22,Saudi Arabia,International travel controls,2020-12-20,2021-01-11,4.0,2939.0
23,Saudi Arabia,International travel controls,2021-01-12,2021-03-29,3.0,24770.0
37,Saudi Arabia,Investment in vaccines,2020-03-11,2020-03-11,10000000.0,0.0
38,Saudi Arabia,Investment in vaccines,2020-11-21,2020-11-21,500000000.0,0.0
39,Saudi Arabia,Investment in vaccines,2020-12-09,2020-12-09,500000000.0,0.0
44,Saudi Arabia,Protection of elderly people,2020-03-23,2020-05-22,2.0,67157.0
45,Saudi Arabia,Protection of elderly people,2020-05-23,2020-05-27,3.0,8380.0
46,Saudi Arabia,Protection of elderly people,2020-05-28,2020-06-21,2.0,77427.0
47,Saudi Arabia,Protection of elderly people,2020-07-15,2021-03-29,1.0,148392.0
32,Saudi Arabia,Public information campaigns,2020-01-30,2021-03-29,2.0,388866.0
6,Saudi Arabia,Restrictions on gatherings,2020-03-16,2020-04-25,3.0,16181.0
7,Saudi Arabia,Restrictions on gatherings,2020-04-26,2020-06-07,4.0,84392.0
8,Saudi Arabia,Restrictions on gatherings,2020-06-08,2020-07-27,3.0,163651.0
9,Saudi Arabia,Restrictions on gatherings,2020-07-28,2020-08-02,1.0,8004.0
10,Saudi Arabia,Restrictions on gatherings,2020-08-03,2021-03-29,3.0,108773.0
16,Saudi Arabia,Restrictions on internal movement,2020-03-08,2020-06-20,2.0,154222.0
17,Saudi Arabia,Restrictions on internal movement,2020-06-21,2020-08-10,1.0,132335.0
0,Saudi Arabia,School closing,2020-03-09,2021-03-29,3.0,388851.0
13,Saudi Arabia,Stay at home requirements,2020-03-23,2020-04-05,2.0,1840.0
14,Saudi Arabia,Stay at home requirements,2020-04-06,2020-05-30,3.0,80779.0
15,Saudi Arabia,Stay at home requirements,2020-05-31,2020-10-29,1.0,261221.0
33,Saudi Arabia,Testing policy,2020-03-05,2020-05-26,2.0,76721.0
34,Saudi Arabia,Testing policy,2020-05-27,2021-03-29,3.0,310325.0
42,Saudi Arabia,Vaccination policy,2020-12-17,2021-01-16,3.0,4237.0
43,Saudi Arabia,Vaccination policy,2021-01-17,2021-03-29,4.0,23937.0
1,Saudi Arabia,Workplace closing,2020-03-16,2020-06-20,2.0,154115.0
2,Saudi Arabia,Workplace closing,2020-06-21,2020-10-29,1.0,188870.0
3,Saudi Arabia,Workplace closing,2021-02-22,2021-03-06,2.0,4141.0
4,Saudi Arabia,Workplace closing,2021-03-07,2021-03-15,1.0,2921.0
