,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
4,Singapore,Cancel public events,2020-02-07,2020-03-12,1.0,148.0
5,Singapore,Cancel public events,2020-03-13,2020-09-30,2.0,57565.0
6,Singapore,Cancel public events,2020-10-01,2021-04-09,1.0,2817.0
30,Singapore,Contact tracing,2020-01-20,2021-04-09,2.0,60601.0
20,Singapore,Debt/contract relief,2020-04-20,2021-04-09,2.0,52587.0
31,Singapore,Emergency investment in healthcare,2020-02-18,2020-02-18,5600000.0,0.0
32,Singapore,Facial Coverings,2020-04-03,2020-04-13,1.0,1804.0
33,Singapore,Facial Coverings,2020-04-14,2021-04-09,4.0,57349.0
21,Singapore,Fiscal measures,2020-02-18,2020-02-18,4470000000.0,0.0
22,Singapore,Fiscal measures,2020-03-26,2020-03-26,33560000000.0,0.0
23,Singapore,Fiscal measures,2020-04-06,2020-04-06,3562387889.0,0.0
24,Singapore,Fiscal measures,2020-05-26,2020-05-26,23294473915.0,0.0
25,Singapore,Fiscal measures,2020-08-17,2020-08-17,5840000000.0,0.0
18,Singapore,Income support,2020-04-01,2020-05-25,1.0,30960.0
19,Singapore,Income support,2020-05-26,2021-04-09,2.0,28258.0
16,Singapore,International travel controls,2020-01-02,2020-01-22,1.0,0.0
17,Singapore,International travel controls,2020-01-23,2021-04-09,3.0,60600.0
36,Singapore,Protection of elderly people,2020-02-04,2020-04-01,2.0,976.0
37,Singapore,Protection of elderly people,2020-04-02,2020-06-18,3.0,40424.0
38,Singapore,Protection of elderly people,2020-06-19,2021-04-09,2.0,18986.0
26,Singapore,Public information campaigns,2020-01-02,2021-04-09,2.0,60601.0
7,Singapore,Restrictions on gatherings,2020-01-01,2020-12-13,2.0,58320.0
8,Singapore,Restrictions on gatherings,2020-12-14,2020-12-27,4.0,199.0
9,Singapore,Restrictions on gatherings,2020-12-28,2021-01-14,2.0,500.0
10,Singapore,Restrictions on gatherings,2021-01-15,2021-04-09,4.0,1542.0
14,Singapore,Restrictions on internal movement,2020-04-03,2020-04-07,1.0,367.0
15,Singapore,Restrictions on internal movement,2020-04-08,2020-06-18,2.0,39850.0
0,Singapore,School closing,2020-04-08,2020-06-01,3.0,33669.0
1,Singapore,School closing,2020-06-02,2021-04-09,1.0,24765.0
11,Singapore,Stay at home requirements,2020-04-03,2020-04-07,1.0,367.0
12,Singapore,Stay at home requirements,2020-04-08,2020-06-18,2.0,39850.0
13,Singapore,Stay at home requirements,2020-06-19,2021-04-09,1.0,18986.0
27,Singapore,Testing policy,2020-01-02,2020-01-22,1.0,0.0
28,Singapore,Testing policy,2020-01-23,2020-12-21,2.0,58431.0
29,Singapore,Testing policy,2020-12-22,2021-04-09,3.0,2140.0
34,Singapore,Vaccination policy,2020-12-30,2021-01-26,1.0,797.0
35,Singapore,Vaccination policy,2021-01-27,2021-04-09,2.0,1210.0
2,Singapore,Workplace closing,2020-04-07,2020-05-11,3.0,22341.0
3,Singapore,Workplace closing,2020-05-12,2021-04-09,2.0,35930.0
