,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
4,Solomon Islands,Cancel public events,2020-03-23,2021-04-11,1.0,19.0
5,Solomon Islands,Close public transport,2020-05-20,2020-05-22,2.0,0.0
6,Solomon Islands,Close public transport,2020-10-12,2021-04-11,1.0,17.0
19,Solomon Islands,Debt/contract relief,2020-07-28,2020-12-29,1.0,17.0
24,Solomon Islands,Facial Coverings,2020-11-29,2021-03-22,4.0,1.0
20,Solomon Islands,Fiscal measures,2020-05-05,2020-05-05,37500000.0,0.0
21,Solomon Islands,Fiscal measures,2020-06-26,2020-06-26,20000000.0,0.0
18,Solomon Islands,Income support,2020-03-27,2020-06-14,2.0,0.0
13,Solomon Islands,International travel controls,2020-02-06,2020-07-27,3.0,0.0
14,Solomon Islands,International travel controls,2020-07-28,2020-08-11,4.0,0.0
15,Solomon Islands,International travel controls,2020-08-12,2020-09-03,3.0,0.0
16,Solomon Islands,International travel controls,2020-09-04,2020-12-29,4.0,17.0
17,Solomon Islands,International travel controls,2020-12-30,2021-04-11,3.0,2.0
26,Solomon Islands,Protection of elderly people,2020-04-10,2020-04-11,3.0,0.0
27,Solomon Islands,Protection of elderly people,2020-05-20,2020-05-22,3.0,0.0
22,Solomon Islands,Public information campaigns,2020-03-18,2021-04-11,2.0,19.0
8,Solomon Islands,Restrictions on internal movement,2020-03-20,2020-04-09,1.0,0.0
9,Solomon Islands,Restrictions on internal movement,2020-04-10,2020-04-11,2.0,0.0
10,Solomon Islands,Restrictions on internal movement,2020-04-12,2020-05-19,1.0,0.0
11,Solomon Islands,Restrictions on internal movement,2020-05-20,2020-05-22,2.0,0.0
12,Solomon Islands,Restrictions on internal movement,2020-05-23,2021-04-11,1.0,19.0
0,Solomon Islands,School closing,2020-03-20,2020-05-24,3.0,0.0
7,Solomon Islands,Stay at home requirements,2020-05-20,2020-05-22,3.0,0.0
23,Solomon Islands,Testing policy,2020-09-30,2021-04-11,1.0,19.0
25,Solomon Islands,Vaccination policy,2021-03-23,2021-04-11,1.0,1.0
1,Solomon Islands,Workplace closing,2020-03-23,2020-05-19,2.0,0.0
2,Solomon Islands,Workplace closing,2020-05-20,2020-05-22,3.0,0.0
3,Solomon Islands,Workplace closing,2020-05-23,2020-11-28,2.0,17.0
