,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
12,Spain,Cancel public events,2020-03-10,2021-04-09,2.0,3345817.0
18,Spain,Close public transport,2020-03-14,2020-06-07,1.0,235159.0
41,Spain,Contact tracing,2020-01-31,2020-02-23,2.0,2.0
42,Spain,Contact tracing,2020-02-24,2021-04-09,1.0,3347510.0
33,Spain,Debt/contract relief,2020-03-17,2020-03-30,1.0,76208.0
34,Spain,Debt/contract relief,2020-03-31,2021-04-09,2.0,3251589.0
43,Spain,Emergency investment in healthcare,2020-03-12,2020-03-12,4213310800.0,0.0
44,Spain,Emergency investment in healthcare,2020-04-13,2020-04-13,179954.25,0.0
47,Spain,Facial Coverings,2020-05-04,2020-05-20,2.0,14544.0
48,Spain,Facial Coverings,2020-05-21,2020-10-12,3.0,655931.0
49,Spain,Facial Coverings,2020-10-13,2021-04-09,4.0,2451426.0
35,Spain,Fiscal measures,2020-11-03,2020-11-03,30924469.55,0.0
30,Spain,Income support,2020-03-18,2020-05-03,2.0,203556.0
31,Spain,Income support,2020-05-04,2020-05-10,1.0,6339.0
32,Spain,Income support,2020-05-11,2021-04-09,2.0,3120076.0
27,Spain,International travel controls,2020-03-10,2020-03-16,3.0,8247.0
28,Spain,International travel controls,2020-03-17,2020-06-20,4.0,234190.0
29,Spain,International travel controls,2020-06-21,2021-04-09,3.0,3101240.0
45,Spain,Investment in vaccines,2020-01-31,2020-01-31,246961.0,0.0
46,Spain,Investment in vaccines,2020-03-17,2020-03-17,26342520.0,0.0
51,Spain,Protection of elderly people,2020-03-19,2021-01-14,3.0,2194004.0
52,Spain,Protection of elderly people,2021-01-15,2021-04-09,1.0,1095348.0
36,Spain,Public information campaigns,2020-01-31,2021-04-09,2.0,3347512.0
13,Spain,Restrictions on gatherings,2020-03-10,2020-03-29,1.0,78415.0
14,Spain,Restrictions on gatherings,2020-03-30,2020-05-31,4.0,151523.0
15,Spain,Restrictions on gatherings,2020-06-01,2020-06-20,3.0,6300.0
16,Spain,Restrictions on gatherings,2020-06-21,2020-07-03,2.0,4273.0
17,Spain,Restrictions on gatherings,2020-07-04,2021-04-09,4.0,3096967.0
25,Spain,Restrictions on internal movement,2020-03-09,2020-06-20,1.0,244865.0
26,Spain,Restrictions on internal movement,2020-07-04,2021-04-09,2.0,3096967.0
0,Spain,School closing,2020-03-09,2020-05-25,3.0,234327.0
1,Spain,School closing,2020-05-26,2020-10-06,2.0,589151.0
2,Spain,School closing,2020-10-07,2020-10-21,3.0,169394.0
3,Spain,School closing,2020-10-22,2020-12-22,1.0,803622.0
4,Spain,School closing,2020-12-23,2021-01-06,3.0,140255.0
5,Spain,School closing,2021-01-07,2021-04-09,1.0,1322608.0
19,Spain,Stay at home requirements,2020-03-14,2020-05-26,2.0,229868.0
20,Spain,Stay at home requirements,2020-05-27,2020-06-20,1.0,9679.0
21,Spain,Stay at home requirements,2020-07-04,2020-07-14,1.0,6074.0
22,Spain,Stay at home requirements,2020-07-15,2020-08-09,2.0,56868.0
23,Spain,Stay at home requirements,2020-08-10,2020-10-24,1.0,723152.0
24,Spain,Stay at home requirements,2020-10-25,2021-04-09,2.0,2301380.0
37,Spain,Testing policy,2020-01-24,2020-04-04,1.0,126168.0
38,Spain,Testing policy,2020-04-05,2020-04-10,2.0,26627.0
39,Spain,Testing policy,2020-04-11,2020-05-12,1.0,65003.0
40,Spain,Testing policy,2020-05-13,2021-04-09,2.0,3118821.0
50,Spain,Vaccination policy,2020-12-27,2021-04-09,2.0,1492561.0
6,Spain,Workplace closing,2020-03-09,2020-03-13,1.0,4159.0
7,Spain,Workplace closing,2020-03-14,2020-03-29,2.0,73719.0
8,Spain,Workplace closing,2020-03-30,2020-05-21,3.0,145081.0
9,Spain,Workplace closing,2020-05-22,2020-06-07,2.0,6726.0
10,Spain,Workplace closing,2020-06-08,2020-07-14,1.0,14902.0
11,Spain,Workplace closing,2020-07-15,2021-04-09,2.0,3090018.0
