,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
13,Sri Lanka,Cancel public events,2020-03-14,2020-08-18,2.0,2892.0
14,Sri Lanka,Cancel public events,2020-12-14,2021-03-31,2.0,59228.0
22,Sri Lanka,Close public transport,2020-03-23,2020-04-17,2.0,147.0
23,Sri Lanka,Close public transport,2020-04-18,2020-05-12,1.0,635.0
24,Sri Lanka,Close public transport,2020-05-13,2020-06-07,2.0,920.0
25,Sri Lanka,Close public transport,2020-12-14,2021-03-31,2.0,59228.0
53,Sri Lanka,Contact tracing,2020-02-06,2021-03-31,2.0,92705.0
40,Sri Lanka,Debt/contract relief,2020-04-24,2020-06-01,2.0,1223.0
41,Sri Lanka,Debt/contract relief,2020-06-11,2021-03-31,2.0,90829.0
54,Sri Lanka,Emergency investment in healthcare,2020-03-23,2020-03-23,5000000.0,0.0
55,Sri Lanka,Emergency investment in healthcare,2020-04-02,2020-04-02,128600000.0,0.0
56,Sri Lanka,Emergency investment in healthcare,2020-07-27,2020-07-27,197097.89,0.0
58,Sri Lanka,Facial Coverings,2020-05-20,2021-03-31,4.0,91678.0
42,Sri Lanka,Fiscal measures,2020-03-19,2020-03-19,500000000.0,0.0
43,Sri Lanka,Fiscal measures,2020-03-23,2020-03-23,534736.0,0.0
44,Sri Lanka,Fiscal measures,2020-07-24,2020-07-24,400000000.0,0.0
45,Sri Lanka,International support,2020-03-23,2020-03-23,5000000.0,0.0
46,Sri Lanka,International support,2020-04-02,2020-04-02,128000000.0,0.0
47,Sri Lanka,International support,2020-12-17,2020-12-17,2448000.0,0.0
32,Sri Lanka,International travel controls,2020-01-26,2020-02-23,1.0,1.0
33,Sri Lanka,International travel controls,2020-02-24,2020-03-13,2.0,5.0
34,Sri Lanka,International travel controls,2020-03-14,2020-03-18,3.0,41.0
35,Sri Lanka,International travel controls,2020-03-19,2020-07-31,4.0,2755.0
36,Sri Lanka,International travel controls,2020-08-01,2020-11-01,1.0,8245.0
37,Sri Lanka,International travel controls,2020-11-02,2020-12-21,2.0,26296.0
38,Sri Lanka,International travel controls,2020-12-22,2021-01-20,3.0,17130.0
39,Sri Lanka,International travel controls,2021-01-21,2021-03-31,2.0,36630.0
57,Sri Lanka,Investment in vaccines,2021-02-25,2021-02-25,52500000.0,0.0
61,Sri Lanka,Protection of elderly people,2020-03-18,2020-05-10,3.0,812.0
62,Sri Lanka,Protection of elderly people,2020-05-11,2020-06-27,2.0,1164.0
63,Sri Lanka,Protection of elderly people,2020-10-04,2021-03-31,3.0,89304.0
48,Sri Lanka,Public information campaigns,2020-01-28,2020-03-13,1.0,5.0
49,Sri Lanka,Public information campaigns,2020-03-14,2021-03-31,2.0,92696.0
15,Sri Lanka,Restrictions on gatherings,2020-03-14,2020-04-17,4.0,234.0
16,Sri Lanka,Restrictions on gatherings,2020-05-11,2020-05-25,4.0,313.0
17,Sri Lanka,Restrictions on gatherings,2020-05-26,2020-06-10,3.0,550.0
18,Sri Lanka,Restrictions on gatherings,2020-06-11,2020-08-18,2.0,1025.0
19,Sri Lanka,Restrictions on gatherings,2020-08-19,2020-09-09,3.0,245.0
20,Sri Lanka,Restrictions on gatherings,2020-09-10,2020-11-01,2.0,7905.0
21,Sri Lanka,Restrictions on gatherings,2020-11-02,2021-03-31,4.0,81371.0
30,Sri Lanka,Restrictions on internal movement,2020-03-18,2020-06-07,2.0,1784.0
31,Sri Lanka,Restrictions on internal movement,2020-11-02,2021-03-31,2.0,81371.0
0,Sri Lanka,School closing,2020-03-13,2020-03-17,2.0,38.0
1,Sri Lanka,School closing,2020-03-18,2020-07-05,3.0,2025.0
2,Sri Lanka,School closing,2020-07-06,2020-07-12,2.0,540.0
3,Sri Lanka,School closing,2020-07-13,2020-07-26,3.0,136.0
4,Sri Lanka,School closing,2020-07-27,2020-08-19,2.0,97.0
5,Sri Lanka,School closing,2020-08-20,2020-10-04,1.0,484.0
6,Sri Lanka,School closing,2020-10-05,2020-11-15,3.0,13774.0
7,Sri Lanka,School closing,2020-11-16,2020-11-16,1.0,0.0
8,Sri Lanka,School closing,2020-11-17,2021-01-10,2.0,30305.0
9,Sri Lanka,School closing,2021-01-11,2021-03-31,3.0,43757.0
26,Sri Lanka,Stay at home requirements,2020-03-18,2020-05-10,3.0,812.0
27,Sri Lanka,Stay at home requirements,2020-05-11,2020-06-27,2.0,1164.0
28,Sri Lanka,Stay at home requirements,2020-06-28,2020-11-01,1.0,9023.0
29,Sri Lanka,Stay at home requirements,2020-11-02,2021-03-31,3.0,81371.0
50,Sri Lanka,Testing policy,2020-02-06,2020-04-06,1.0,177.0
51,Sri Lanka,Testing policy,2020-04-07,2021-01-02,2.0,44186.0
52,Sri Lanka,Testing policy,2021-01-03,2021-03-31,3.0,47932.0
59,Sri Lanka,Vaccination policy,2021-01-29,2021-03-03,1.0,21781.0
60,Sri Lanka,Vaccination policy,2021-03-04,2021-03-31,2.0,8096.0
10,Sri Lanka,Workplace closing,2020-03-16,2020-04-21,3.0,282.0
11,Sri Lanka,Workplace closing,2020-04-22,2020-05-10,2.0,533.0
12,Sri Lanka,Workplace closing,2020-12-14,2021-03-31,3.0,59228.0
