,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
12,Sudan,Cancel public events,2020-03-14,2020-10-08,2.0,13669.0
13,Sudan,Cancel public events,2020-10-09,2020-11-16,1.0,1374.0
14,Sudan,Cancel public events,2021-03-23,2021-03-24,1.0,135.0
15,Sudan,Cancel public events,2021-03-25,2021-04-04,2.0,426.0
18,Sudan,Close public transport,2020-03-26,2020-07-07,2.0,9891.0
19,Sudan,Close public transport,2020-07-08,2020-08-18,1.0,2549.0
20,Sudan,Close public transport,2020-08-19,2020-08-31,2.0,607.0
54,Sudan,Contact tracing,2020-03-16,2020-10-18,1.0,13710.0
55,Sudan,Contact tracing,2020-11-03,2020-11-23,1.0,2565.0
56,Sudan,Contact tracing,2020-11-25,2021-03-08,1.0,13676.0
57,Sudan,Contact tracing,2021-03-16,2021-03-22,1.0,158.0
43,Sudan,Debt/contract relief,2020-05-07,2020-07-16,1.0,9597.0
58,Sudan,Emergency investment in healthcare,2020-03-13,2020-03-13,500000.0,0.0
59,Sudan,Emergency investment in healthcare,2020-03-19,2020-03-19,123570000.0,0.0
60,Sudan,Facial Coverings,2020-10-19,2020-11-23,1.0,2707.0
61,Sudan,Facial Coverings,2020-11-25,2021-03-15,1.0,14009.0
62,Sudan,Facial Coverings,2021-03-16,2021-03-22,2.0,158.0
63,Sudan,Facial Coverings,2021-03-23,2021-04-04,3.0,686.0
44,Sudan,Fiscal measures,2020-04-09,2020-04-09,3.0,0.0
45,Sudan,Fiscal measures,2020-05-07,2020-05-07,300000000.0,0.0
41,Sudan,Income support,2020-05-07,2020-11-23,1.0,15501.0
42,Sudan,Income support,2020-11-25,2021-02-21,1.0,13264.0
31,Sudan,International travel controls,2020-03-16,2020-07-12,4.0,10249.0
32,Sudan,International travel controls,2020-07-13,2020-11-02,3.0,3569.0
33,Sudan,International travel controls,2020-11-03,2020-11-23,1.0,2565.0
34,Sudan,International travel controls,2020-11-25,2020-12-22,1.0,6708.0
35,Sudan,International travel controls,2020-12-23,2021-01-04,3.0,2433.0
36,Sudan,International travel controls,2021-01-05,2021-01-11,1.0,1340.0
37,Sudan,International travel controls,2021-01-12,2021-01-12,3.0,0.0
38,Sudan,International travel controls,2021-01-13,2021-03-01,2.0,2537.0
39,Sudan,International travel controls,2021-03-02,2021-03-08,1.0,123.0
40,Sudan,International travel controls,2021-03-09,2021-04-04,2.0,1147.0
66,Sudan,Protection of elderly people,2020-03-23,2020-04-17,2.0,30.0
67,Sudan,Protection of elderly people,2020-04-18,2020-07-07,3.0,9828.0
68,Sudan,Protection of elderly people,2020-07-08,2020-09-15,2.0,3538.0
46,Sudan,Public information campaigns,2020-01-28,2020-03-12,1.0,0.0
47,Sudan,Public information campaigns,2020-03-13,2020-09-24,2.0,13592.0
48,Sudan,Public information campaigns,2020-09-25,2020-11-23,1.0,2827.0
49,Sudan,Public information campaigns,2020-11-25,2021-03-15,1.0,14009.0
50,Sudan,Public information campaigns,2021-03-16,2021-04-04,2.0,844.0
16,Sudan,Restrictions on gatherings,2020-03-14,2020-10-18,3.0,13710.0
17,Sudan,Restrictions on gatherings,2021-03-25,2021-04-04,4.0,426.0
26,Sudan,Restrictions on internal movement,2020-03-23,2020-04-12,1.0,17.0
27,Sudan,Restrictions on internal movement,2020-04-13,2020-08-31,2.0,13170.0
28,Sudan,Restrictions on internal movement,2020-09-01,2020-09-10,1.0,281.0
29,Sudan,Restrictions on internal movement,2020-11-17,2020-11-23,1.0,1278.0
30,Sudan,Restrictions on internal movement,2020-11-25,2020-12-07,1.0,3220.0
0,Sudan,School closing,2020-03-14,2020-10-10,3.0,13681.0
1,Sudan,School closing,2020-10-11,2020-11-23,2.0,2746.0
2,Sudan,School closing,2020-11-25,2020-12-07,2.0,3220.0
3,Sudan,School closing,2020-12-08,2021-02-21,3.0,9832.0
4,Sudan,School closing,2021-02-22,2021-03-29,1.0,1279.0
5,Sudan,School closing,2021-03-30,2021-04-04,3.0,426.0
21,Sudan,Stay at home requirements,2020-03-23,2020-04-17,1.0,30.0
22,Sudan,Stay at home requirements,2020-04-18,2020-07-07,2.0,9828.0
23,Sudan,Stay at home requirements,2020-07-08,2020-09-07,1.0,3440.0
24,Sudan,Stay at home requirements,2020-09-08,2020-09-18,2.0,85.0
25,Sudan,Stay at home requirements,2020-09-19,2020-09-25,1.0,49.0
51,Sudan,Testing policy,2020-03-13,2020-11-07,2.0,14090.0
52,Sudan,Testing policy,2020-11-08,2020-11-23,1.0,2276.0
53,Sudan,Testing policy,2020-11-25,2021-04-04,1.0,14969.0
64,Sudan,Vaccination policy,2021-03-09,2021-03-29,2.0,721.0
65,Sudan,Vaccination policy,2021-03-30,2021-04-04,3.0,426.0
6,Sudan,Workplace closing,2020-03-14,2020-04-17,1.0,31.0
7,Sudan,Workplace closing,2020-04-18,2020-07-07,3.0,9828.0
8,Sudan,Workplace closing,2020-07-08,2020-11-23,2.0,6434.0
9,Sudan,Workplace closing,2020-11-25,2020-12-14,2.0,5000.0
10,Sudan,Workplace closing,2020-12-15,2021-02-21,1.0,8046.0
11,Sudan,Workplace closing,2021-03-16,2021-04-04,1.0,844.0
