,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
6,Tonga,Cancel public events,2020-03-20,2020-04-30,2.0,0.0
7,Tonga,Cancel public events,2020-05-01,2021-04-05,1.0,0.0
9,Tonga,Close public transport,2020-03-29,2020-04-11,2.0,0.0
21,Tonga,Contact tracing,2020-03-04,2021-04-05,1.0,0.0
18,Tonga,Debt/contract relief,2020-05-06,2020-06-30,1.0,0.0
14,Tonga,International travel controls,2020-01-27,2020-02-04,1.0,0.0
15,Tonga,International travel controls,2020-02-05,2020-03-16,2.0,0.0
16,Tonga,International travel controls,2020-03-17,2020-03-19,3.0,0.0
17,Tonga,International travel controls,2020-03-20,2021-04-05,4.0,0.0
19,Tonga,Public information campaigns,2020-03-20,2021-04-05,2.0,0.0
8,Tonga,Restrictions on gatherings,2020-03-20,2021-04-05,3.0,0.0
13,Tonga,Restrictions on internal movement,2020-03-29,2020-04-11,2.0,0.0
0,Tonga,School closing,2020-03-29,2020-04-11,3.0,0.0
1,Tonga,School closing,2020-05-05,2021-04-05,1.0,0.0
10,Tonga,Stay at home requirements,2020-03-29,2020-12-24,2.0,0.0
11,Tonga,Stay at home requirements,2020-12-26,2020-12-31,2.0,0.0
12,Tonga,Stay at home requirements,2021-01-02,2021-04-05,2.0,0.0
20,Tonga,Testing policy,2020-03-04,2021-04-05,1.0,0.0
2,Tonga,Workplace closing,2020-03-25,2020-03-28,2.0,0.0
3,Tonga,Workplace closing,2020-03-29,2020-04-11,3.0,0.0
4,Tonga,Workplace closing,2020-04-12,2020-04-30,2.0,0.0
5,Tonga,Workplace closing,2020-05-01,2020-05-28,1.0,0.0
