,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
7,Turkey,Cancel public events,2020-03-16,2020-07-21,2.0,221482.0
8,Turkey,Cancel public events,2020-07-22,2020-08-04,1.0,12532.0
9,Turkey,Cancel public events,2020-08-05,2021-04-11,2.0,3562221.0
12,Turkey,Close public transport,2020-03-24,2020-07-21,1.0,219628.0
13,Turkey,Close public transport,2020-09-09,2021-01-14,1.0,2079858.0
14,Turkey,Close public transport,2021-01-15,2021-01-24,2.0,56490.0
15,Turkey,Close public transport,2021-01-25,2021-01-25,1.0,0.0
16,Turkey,Close public transport,2021-01-26,2021-01-31,2.0,35113.0
17,Turkey,Close public transport,2021-02-01,2021-04-11,1.0,1313151.0
66,Turkey,Contact tracing,2020-01-14,2020-04-18,1.0,82329.0
67,Turkey,Contact tracing,2020-04-19,2021-04-11,2.0,3712027.0
58,Turkey,Debt/contract relief,2020-04-12,2020-05-31,1.0,106986.0
59,Turkey,Debt/contract relief,2020-06-01,2021-02-07,2.0,2366687.0
60,Turkey,Debt/contract relief,2021-02-09,2021-02-14,1.0,37988.0
68,Turkey,Facial Coverings,2020-06-07,2021-04-11,4.0,3628201.0
61,Turkey,Fiscal measures,2020-03-18,2020-03-18,15432708096.0,0.0
62,Turkey,Fiscal measures,2020-12-15,2020-12-15,637989739.04,0.0
54,Turkey,Income support,2020-04-07,2020-12-31,2.0,2174543.0
55,Turkey,Income support,2021-01-04,2021-02-14,2.0,330576.0
56,Turkey,Income support,2021-03-22,2021-03-31,2.0,281844.0
57,Turkey,Income support,2021-04-01,2021-04-11,1.0,440345.0
63,Turkey,International support,2020-06-26,2020-06-26,5000000.0,0.0
47,Turkey,International travel controls,2020-01-24,2020-02-04,1.0,0.0
48,Turkey,International travel controls,2020-02-05,2020-03-26,3.0,3629.0
49,Turkey,International travel controls,2020-03-27,2020-05-31,4.0,158244.0
50,Turkey,International travel controls,2020-06-01,2020-07-21,3.0,56731.0
51,Turkey,International travel controls,2020-07-22,2020-12-29,1.0,1956178.0
52,Turkey,International travel controls,2020-12-30,2021-01-14,2.0,170529.0
53,Turkey,International travel controls,2021-01-15,2021-04-11,3.0,1425218.0
72,Turkey,Protection of elderly people,2020-03-21,2020-04-10,2.0,46359.0
73,Turkey,Protection of elderly people,2020-04-11,2020-04-12,3.0,4789.0
74,Turkey,Protection of elderly people,2020-04-13,2020-04-17,2.0,17497.0
75,Turkey,Protection of elderly people,2020-04-18,2020-04-19,3.0,3977.0
76,Turkey,Protection of elderly people,2020-04-20,2020-12-06,2.0,737315.0
77,Turkey,Protection of elderly people,2020-12-07,2021-04-11,3.0,2937901.0
64,Turkey,Public information campaigns,2020-02-07,2021-04-11,2.0,3798333.0
10,Turkey,Restrictions on gatherings,2020-09-12,2021-02-07,4.0,2241821.0
11,Turkey,Restrictions on gatherings,2021-02-08,2021-04-11,3.0,1258774.0
32,Turkey,Restrictions on internal movement,2020-03-18,2020-03-27,1.0,5600.0
33,Turkey,Restrictions on internal movement,2020-03-28,2020-05-31,2.0,156540.0
34,Turkey,Restrictions on internal movement,2020-06-01,2020-08-06,1.0,72496.0
35,Turkey,Restrictions on internal movement,2020-09-10,2020-10-28,2.0,82058.0
36,Turkey,Restrictions on internal movement,2020-10-29,2020-12-30,1.0,1823440.0
37,Turkey,Restrictions on internal movement,2020-12-31,2021-01-05,2.0,61449.0
38,Turkey,Restrictions on internal movement,2021-01-06,2021-01-14,1.0,80870.0
39,Turkey,Restrictions on internal movement,2021-01-15,2021-01-24,2.0,56490.0
40,Turkey,Restrictions on internal movement,2021-01-25,2021-01-31,1.0,42216.0
41,Turkey,Restrictions on internal movement,2021-02-01,2021-02-07,2.0,46274.0
42,Turkey,Restrictions on internal movement,2021-02-08,2021-02-14,1.0,46624.0
43,Turkey,Restrictions on internal movement,2021-02-15,2021-02-28,2.0,107460.0
44,Turkey,Restrictions on internal movement,2021-03-01,2021-03-08,1.0,82153.0
45,Turkey,Restrictions on internal movement,2021-03-09,2021-03-21,2.0,205735.0
46,Turkey,Restrictions on internal movement,2021-03-22,2021-04-11,1.0,762995.0
0,Turkey,School closing,2020-03-16,2020-09-20,3.0,302849.0
1,Turkey,School closing,2020-09-21,2020-11-19,2.0,125560.0
2,Turkey,School closing,2020-11-20,2020-12-06,3.0,393022.0
3,Turkey,School closing,2020-12-07,2021-04-11,2.0,2937901.0
18,Turkey,Stay at home requirements,2020-03-09,2020-03-20,1.0,359.0
19,Turkey,Stay at home requirements,2020-03-21,2020-04-10,2.0,46359.0
20,Turkey,Stay at home requirements,2020-04-11,2020-04-12,3.0,4789.0
21,Turkey,Stay at home requirements,2020-04-13,2020-04-17,2.0,17497.0
22,Turkey,Stay at home requirements,2020-04-18,2020-04-19,3.0,3977.0
