,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
6,Turkmenistan,Cancel public events,2020-03-24,2020-04-19,2.0,0.0
7,Turkmenistan,Cancel public events,2020-07-16,2020-10-01,2.0,0.0
8,Turkmenistan,Cancel public events,2020-10-22,2020-12-17,2.0,0.0
9,Turkmenistan,Cancel public events,2020-12-18,2021-01-04,1.0,0.0
10,Turkmenistan,Cancel public events,2021-01-05,2021-04-05,2.0,0.0
12,Turkmenistan,Close public transport,2020-07-14,2020-07-23,2.0,0.0
13,Turkmenistan,Close public transport,2020-10-02,2020-11-04,1.0,0.0
14,Turkmenistan,Close public transport,2020-11-05,2021-02-03,2.0,0.0
15,Turkmenistan,Close public transport,2021-03-01,2021-03-08,1.0,0.0
25,Turkmenistan,Debt/contract relief,2020-09-03,2021-02-03,1.0,0.0
33,Turkmenistan,Facial Coverings,2020-07-13,2020-10-01,1.0,0.0
34,Turkmenistan,Facial Coverings,2020-10-02,2021-02-28,3.0,0.0
35,Turkmenistan,Facial Coverings,2021-03-01,2021-04-05,4.0,0.0
20,Turkmenistan,International travel controls,2020-01-08,2020-01-31,1.0,0.0
21,Turkmenistan,International travel controls,2020-02-01,2020-03-20,3.0,0.0
22,Turkmenistan,International travel controls,2020-03-21,2020-04-22,4.0,0.0
23,Turkmenistan,International travel controls,2020-04-23,2020-06-22,3.0,0.0
24,Turkmenistan,International travel controls,2020-06-23,2021-04-05,4.0,0.0
26,Turkmenistan,Public information campaigns,2020-01-20,2020-02-09,1.0,0.0
27,Turkmenistan,Public information campaigns,2020-02-10,2020-06-22,2.0,0.0
28,Turkmenistan,Public information campaigns,2020-06-23,2020-10-01,1.0,0.0
29,Turkmenistan,Public information campaigns,2020-10-02,2021-03-20,2.0,0.0
30,Turkmenistan,Public information campaigns,2021-03-21,2021-03-28,1.0,0.0
31,Turkmenistan,Public information campaigns,2021-03-29,2021-04-05,2.0,0.0
11,Turkmenistan,Restrictions on gatherings,2020-10-21,2021-04-05,1.0,0.0
17,Turkmenistan,Restrictions on internal movement,2020-03-19,2021-02-28,2.0,0.0
18,Turkmenistan,Restrictions on internal movement,2021-03-01,2021-03-08,1.0,0.0
19,Turkmenistan,Restrictions on internal movement,2021-03-09,2021-04-05,2.0,0.0
0,Turkmenistan,School closing,2020-03-25,2021-04-05,1.0,0.0
16,Turkmenistan,Stay at home requirements,2021-03-09,2021-03-28,1.0,0.0
32,Turkmenistan,Testing policy,2020-01-08,2020-10-01,1.0,0.0
1,Turkmenistan,Workplace closing,2020-03-24,2020-03-31,2.0,0.0
2,Turkmenistan,Workplace closing,2020-07-16,2020-10-01,2.0,0.0
3,Turkmenistan,Workplace closing,2020-10-02,2021-02-03,3.0,0.0
4,Turkmenistan,Workplace closing,2021-02-04,2021-02-28,2.0,0.0
5,Turkmenistan,Workplace closing,2021-03-01,2021-04-05,3.0,0.0
