,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
12,United Arab Emirates,Cancel public events,2020-03-16,2020-07-02,2.0,49371.0
13,United Arab Emirates,Cancel public events,2020-07-03,2020-09-12,1.0,28708.0
14,United Arab Emirates,Cancel public events,2020-09-13,2021-03-30,2.0,379871.0
18,United Arab Emirates,Close public transport,2020-03-26,2020-04-03,1.0,931.0
19,United Arab Emirates,Close public transport,2020-04-04,2020-04-16,2.0,4320.0
20,United Arab Emirates,Close public transport,2020-04-17,2020-10-29,1.0,124034.0
47,United Arab Emirates,Contact tracing,2020-02-01,2020-07-29,2.0,59917.0
48,United Arab Emirates,Contact tracing,2020-07-31,2021-03-30,2.0,398854.0
33,United Arab Emirates,Debt/contract relief,2020-04-01,2020-07-29,2.0,59107.0
34,United Arab Emirates,Debt/contract relief,2020-07-31,2021-03-30,2.0,398854.0
50,United Arab Emirates,Facial Coverings,2020-04-04,2020-05-30,4.0,32391.0
51,United Arab Emirates,Facial Coverings,2020-05-31,2020-11-09,3.0,108732.0
52,United Arab Emirates,Facial Coverings,2020-11-10,2020-11-24,4.0,16980.0
53,United Arab Emirates,Facial Coverings,2020-11-25,2021-03-30,3.0,296698.0
35,United Arab Emirates,Fiscal measures,2020-03-12,2020-03-12,408000000.0,0.0
36,United Arab Emirates,Fiscal measures,2020-03-14,2020-03-14,27000000000.0,0.0
37,United Arab Emirates,Fiscal measures,2020-04-05,2020-04-05,42477876106.0,0.0
38,United Arab Emirates,Fiscal measures,2020-08-31,2020-08-31,2000000000.0,0.0
39,United Arab Emirates,Fiscal measures,2020-12-07,2020-12-07,77200000000.0,0.0
40,United Arab Emirates,Fiscal measures,2020-12-20,2020-12-20,77200000000.0,0.0
41,United Arab Emirates,International support,2020-06-05,2020-06-05,10000000.0,0.0
27,United Arab Emirates,International travel controls,2020-01-23,2020-02-23,1.0,13.0
28,United Arab Emirates,International travel controls,2020-02-24,2020-03-24,3.0,235.0
29,United Arab Emirates,International travel controls,2020-03-25,2020-07-02,4.0,49136.0
30,United Arab Emirates,International travel controls,2020-07-03,2021-02-08,2.0,279152.0
31,United Arab Emirates,International travel controls,2021-02-09,2021-02-15,1.0,19292.0
32,United Arab Emirates,International travel controls,2021-02-16,2021-03-30,2.0,104229.0
49,United Arab Emirates,Investment in vaccines,2020-12-20,2020-12-20,5000000.0,0.0
58,United Arab Emirates,Protection of elderly people,2020-03-15,2021-03-30,1.0,459262.0
42,United Arab Emirates,Public information campaigns,2020-03-11,2020-07-29,2.0,59847.0
43,United Arab Emirates,Public information campaigns,2020-07-31,2021-03-30,2.0,398854.0
15,United Arab Emirates,Restrictions on gatherings,2020-03-27,2020-07-02,4.0,49064.0
16,United Arab Emirates,Restrictions on gatherings,2020-07-03,2020-09-17,2.0,32427.0
17,United Arab Emirates,Restrictions on gatherings,2020-09-18,2021-03-30,4.0,375927.0
24,United Arab Emirates,Restrictions on internal movement,2020-03-23,2020-04-28,2.0,11182.0
25,United Arab Emirates,Restrictions on internal movement,2020-04-29,2021-01-18,1.0,244803.0
26,United Arab Emirates,Restrictions on internal movement,2021-01-19,2021-03-30,2.0,199137.0
0,United Arab Emirates,School closing,2020-03-01,2020-03-07,2.0,24.0
1,United Arab Emirates,School closing,2020-03-08,2020-07-04,3.0,50812.0
2,United Arab Emirates,School closing,2020-07-05,2020-08-30,2.0,18150.0
3,United Arab Emirates,School closing,2020-08-31,2021-01-02,1.0,141410.0
4,United Arab Emirates,School closing,2021-01-03,2021-02-13,3.0,132374.0
5,United Arab Emirates,School closing,2021-02-14,2021-03-15,1.0,79523.0
6,United Arab Emirates,School closing,2021-03-16,2021-03-25,2.0,18324.0
7,United Arab Emirates,School closing,2021-03-26,2021-03-30,1.0,8595.0
21,United Arab Emirates,Stay at home requirements,2020-03-13,2020-03-22,1.0,68.0
22,United Arab Emirates,Stay at home requirements,2020-03-23,2020-05-01,2.0,12840.0
23,United Arab Emirates,Stay at home requirements,2020-05-02,2020-05-17,1.0,9759.0
44,United Arab Emirates,Testing policy,2020-03-10,2020-04-12,1.0,4049.0
45,United Arab Emirates,Testing policy,2020-04-13,2020-07-29,3.0,55400.0
46,United Arab Emirates,Testing policy,2020-07-31,2021-03-30,3.0,398854.0
54,United Arab Emirates,Vaccination policy,2020-11-25,2021-01-16,1.0,87146.0
55,United Arab Emirates,Vaccination policy,2021-01-17,2021-02-06,4.0,70141.0
56,United Arab Emirates,Vaccination policy,2021-02-07,2021-03-07,3.0,84354.0
57,United Arab Emirates,Vaccination policy,2021-03-08,2021-03-30,4.0,46028.0
8,United Arab Emirates,Workplace closing,2020-03-01,2020-03-24,1.0,227.0
9,United Arab Emirates,Workplace closing,2020-03-25,2020-07-04,2.0,50524.0
10,United Arab Emirates,Workplace closing,2020-11-25,2021-01-25,1.0,118884.0
11,United Arab Emirates,Workplace closing,2021-01-26,2021-03-30,2.0,174213.0
