,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
10,Scotland,Cancel public events,2020-03-16,2020-03-20,1.0,216.0
11,Scotland,Cancel public events,2020-03-21,2021-03-26,2.0,216562.0
16,Scotland,Close public transport,2020-03-20,2021-03-26,1.0,216628.0
57,Scotland,Contact tracing,2020-01-31,2020-07-14,1.0,18397.0
58,Scotland,Contact tracing,2020-07-15,2020-09-21,2.0,6989.0
59,Scotland,Contact tracing,2020-09-23,2020-10-03,2.0,6464.0
60,Scotland,Contact tracing,2020-10-04,2021-03-26,1.0,183396.0
29,Scotland,Debt/contract relief,2020-03-17,2020-03-18,1.0,41.0
30,Scotland,Debt/contract relief,2020-03-19,2021-03-26,2.0,216711.0
61,Scotland,Emergency investment in healthcare,2020-03-10,2020-03-10,1612000.0,0.0
62,Scotland,Emergency investment in healthcare,2020-03-27,2020-03-27,4700000.0,0.0
63,Scotland,Emergency investment in healthcare,2020-04-07,2020-04-07,6540000.0,0.0
64,Scotland,Emergency investment in healthcare,2020-04-21,2020-04-21,203682.0,0.0
65,Scotland,Emergency investment in healthcare,2020-05-01,2020-05-01,2375000.0,0.0
66,Scotland,Emergency investment in healthcare,2020-05-03,2020-05-03,1436000.0,0.0
67,Scotland,Emergency investment in healthcare,2020-05-12,2020-05-12,61500000.0,0.0
68,Scotland,Emergency investment in healthcare,2020-11-01,2020-11-01,14238943.31,0.0
69,Scotland,Facial Coverings,2020-04-28,2020-06-21,1.0,6221.0
70,Scotland,Facial Coverings,2020-06-22,2020-08-16,2.0,1210.0
71,Scotland,Facial Coverings,2020-08-17,2020-09-23,3.0,6995.0
72,Scotland,Facial Coverings,2020-09-25,2021-03-26,3.0,189312.0
31,Scotland,Fiscal measures,2020-03-25,2020-03-25,27600000.0,0.0
32,Scotland,Fiscal measures,2020-04-06,2020-04-06,9960000.0,0.0
33,Scotland,Fiscal measures,2020-04-20,2020-04-20,934500.0,0.0
34,Scotland,Fiscal measures,2020-04-30,2020-04-30,1264000.0,0.0
35,Scotland,Fiscal measures,2020-05-07,2020-05-07,124000000.0,0.0
36,Scotland,Fiscal measures,2020-05-12,2020-05-12,38100000.0,0.0
37,Scotland,Fiscal measures,2020-05-19,2020-05-19,40425000.0,0.0
38,Scotland,Fiscal measures,2020-05-29,2020-05-29,24640000.0,0.0
39,Scotland,Fiscal measures,2020-06-07,2020-06-07,380000.0,0.0
40,Scotland,Fiscal measures,2020-06-11,2020-06-11,13860000.0,0.0
41,Scotland,Fiscal measures,2020-06-16,2020-06-16,324000000.0,0.0
42,Scotland,Fiscal measures,2020-07-03,2020-07-03,12460000.0,0.0
43,Scotland,Fiscal measures,2020-07-09,2020-07-09,6305000.0,0.0
44,Scotland,Fiscal measures,2020-07-10,2020-07-10,48070000.0,0.0
45,Scotland,Fiscal measures,2020-08-11,2020-08-11,13080000.0,0.0
46,Scotland,Fiscal measures,2020-08-19,2020-08-19,1320000.0,0.0
47,Scotland,Fiscal measures,2020-08-28,2020-08-28,78470000.0,0.0
48,Scotland,Fiscal measures,2020-10-09,2020-10-09,40000000.0,0.0
49,Scotland,Fiscal measures,2020-11-30,2020-11-30,6650000000.0,0.0
