,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
705,United Kingdom,Cancel public events,2020-03-16,2021-01-23,1.0,172663.0
706,United Kingdom,Cancel public events,2020-03-17,2020-01-16,1.0,-74.0
707,United Kingdom,Cancel public events,2020-03-21,2021-01-05,2.0,2765522.0
708,United Kingdom,Cancel public events,2021-03-27,2021-04-08,2.0,-4107559.0
709,United Kingdom,Cancel public events,2021-03-28,2021-01-05,2.0,-4166393.0
726,United Kingdom,Close public transport,2020-03-20,2021-01-05,1.0,2766719.0
727,United Kingdom,Close public transport,2021-03-27,2021-04-08,1.0,-4107559.0
728,United Kingdom,Close public transport,2021-03-28,2021-01-05,1.0,-4166393.0
1882,United Kingdom,Contact tracing,2020-01-31,2021-01-14,2.0,180327.0
1883,United Kingdom,Contact tracing,2020-01-31,2020-04-09,1.0,81498.0
1884,United Kingdom,Contact tracing,2020-01-31,2020-07-11,2.0,16826.0
1885,United Kingdom,Contact tracing,2020-01-31,2020-04-09,1.0,5645.0
1886,United Kingdom,Contact tracing,2020-02-01,2020-07-11,2.0,250003.0
1887,United Kingdom,Contact tracing,2020-02-01,2020-01-07,1.0,0.0
1888,United Kingdom,Contact tracing,2020-02-02,2020-07-12,2.0,5694.0
1889,United Kingdom,Contact tracing,2020-02-02,2020-01-07,1.0,0.0
1890,United Kingdom,Contact tracing,2020-02-03,2020-10-13,2.0,44163.0
1891,United Kingdom,Contact tracing,2020-02-03,2020-04-10,1.0,1754.0
1892,United Kingdom,Contact tracing,2020-02-04,2020-07-12,2.0,16836.0
1893,United Kingdom,Contact tracing,2020-02-04,2020-01-07,1.0,0.0
1894,United Kingdom,Contact tracing,2020-02-04,2021-01-15,2.0,3316011.0
1895,United Kingdom,Contact tracing,2020-02-04,2020-04-10,1.0,5974.0
1896,United Kingdom,Contact tracing,2020-02-05,2020-07-12,2.0,18367.0
1897,United Kingdom,Contact tracing,2020-02-05,2020-01-07,1.0,0.0
1898,United Kingdom,Contact tracing,2020-02-05,2020-10-14,2.0,602780.0
1899,United Kingdom,Contact tracing,2020-02-06,2020-01-08,1.0,0.0
1900,United Kingdom,Contact tracing,2020-02-06,2020-07-12,2.0,250350.0
1901,United Kingdom,Contact tracing,2020-02-06,2020-04-10,1.0,5665.0
1902,United Kingdom,Contact tracing,2020-02-07,2020-10-14,2.0,23894.0
1903,United Kingdom,Contact tracing,2020-02-07,2020-01-08,1.0,0.0
1904,United Kingdom,Contact tracing,2020-02-07,2020-10-14,2.0,45452.0
1905,United Kingdom,Contact tracing,2020-02-08,2020-01-08,1.0,0.0
1906,United Kingdom,Contact tracing,2020-02-08,2020-07-13,2.0,18374.0
1907,United Kingdom,Contact tracing,2020-02-08,2020-04-10,1.0,85813.0
1908,United Kingdom,Contact tracing,2020-02-08,2021-01-16,2.0,94841.0
1909,United Kingdom,Contact tracing,2020-02-09,2020-01-08,1.0,0.0
1910,United Kingdom,Contact tracing,2020-02-09,2020-07-13,2.0,5685.0
1911,United Kingdom,Contact tracing,2020-02-09,2020-01-08,1.0,0.0
1912,United Kingdom,Contact tracing,2020-02-10,2020-10-15,2.0,673608.0
1913,United Kingdom,Contact tracing,2020-02-10,2020-04-11,1.0,6159.0
1914,United Kingdom,Contact tracing,2020-02-10,2020-10-15,2.0,36484.0
1915,United Kingdom,Contact tracing,2020-02-11,2020-01-09,1.0,0.0
1916,United Kingdom,Contact tracing,2020-02-12,2020-10-15,2.0,24990.0
1917,United Kingdom,Contact tracing,2020-02-12,2020-04-11,1.0,89390.0
1918,United Kingdom,Contact tracing,2020-02-12,2020-07-14,2.0,16876.0
1919,United Kingdom,Contact tracing,2020-02-13,2020-04-12,1.0,78277.0
1920,United Kingdom,Contact tracing,2020-02-14,2020-10-15,2.0,618020.0
1921,United Kingdom,Contact tracing,2020-02-14,2020-01-09,1.0,0.0
