,Country,Right,Start Date,End Date,Derogation Level,Confirmed Cases
13,Alaska,Cancel public events,2020-03-13,2020-03-16,1.0,0.0
14,Alaska,Cancel public events,2020-03-17,2020-05-07,2.0,376.0
15,Alaska,Cancel public events,2020-05-08,2020-11-30,1.0,32215.0
16,Alaska,Cancel public events,2020-12-01,2021-04-06,2.0,30942.0
24,Alaska,Close public transport,2020-03-18,2020-04-02,1.0,141.0
25,Alaska,Close public transport,2020-04-03,2020-05-31,2.0,323.0
49,Alaska,Contact tracing,2020-01-21,2020-03-11,1.0,0.0
50,Alaska,Contact tracing,2020-03-12,2020-07-02,2.0,1235.0
51,Alaska,Contact tracing,2020-07-03,2020-08-21,1.0,4165.0
52,Alaska,Contact tracing,2020-08-22,2020-10-24,2.0,8001.0
53,Alaska,Contact tracing,2020-10-25,2021-03-28,1.0,48189.0
40,Alaska,Debt/contract relief,2020-03-17,2020-03-19,1.0,8.0
41,Alaska,Debt/contract relief,2020-03-20,2020-11-14,2.0,23147.0
42,Alaska,Debt/contract relief,2020-11-15,2021-04-06,1.0,40255.0
54,Alaska,Emergency investment in healthcare,2020-03-20,2020-03-20,175000000.0,0.0
55,Alaska,Facial Coverings,2020-04-04,2020-06-28,1.0,898.0
56,Alaska,Facial Coverings,2020-06-29,2021-01-10,3.0,49142.0
57,Alaska,Facial Coverings,2021-01-20,2021-04-06,3.0,11668.0
43,Alaska,Fiscal measures,2020-03-20,2020-03-20,1000000000.0,0.0
36,Alaska,Income support,2020-01-27,2020-01-27,1.0,0.0
37,Alaska,Income support,2020-03-20,2020-03-26,1.0,49.0
38,Alaska,Income support,2020-03-27,2020-07-30,2.0,3532.0
39,Alaska,Income support,2020-07-31,2021-04-06,1.0,60365.0
34,Alaska,International travel controls,2020-02-02,2020-03-01,2.0,0.0
35,Alaska,International travel controls,2020-03-02,2021-04-06,3.0,64081.0
62,Alaska,Protection of elderly people,2020-03-13,2021-03-08,2.0,59676.0
63,Alaska,Protection of elderly people,2021-03-10,2021-03-28,2.0,2343.0
44,Alaska,Public information campaigns,2020-01-08,2020-02-06,1.0,0.0
45,Alaska,Public information campaigns,2020-02-07,2021-04-06,2.0,64081.0
17,Alaska,Restrictions on gatherings,2020-03-16,2020-03-20,3.0,14.0
18,Alaska,Restrictions on gatherings,2020-03-21,2020-04-23,4.0,326.0
19,Alaska,Restrictions on gatherings,2020-04-24,2020-05-28,3.0,100.0
20,Alaska,Restrictions on gatherings,2020-05-29,2020-07-23,2.0,2278.0
21,Alaska,Restrictions on gatherings,2020-07-24,2020-11-30,3.0,29803.0
22,Alaska,Restrictions on gatherings,2020-12-01,2021-01-31,4.0,21211.0
23,Alaska,Restrictions on gatherings,2021-02-01,2021-04-06,3.0,9624.0
28,Alaska,Restrictions on internal movement,2020-03-16,2020-03-27,1.0,74.0
29,Alaska,Restrictions on internal movement,2020-03-28,2020-04-23,2.0,250.0
30,Alaska,Restrictions on internal movement,2020-04-24,2020-05-11,1.0,44.0
31,Alaska,Restrictions on internal movement,2020-05-12,2020-06-04,2.0,169.0
32,Alaska,Restrictions on internal movement,2020-06-05,2020-07-14,1.0,1346.0
33,Alaska,Restrictions on internal movement,2020-07-15,2021-04-06,2.0,62107.0
0,Alaska,School closing,2020-03-13,2020-03-15,1.0,0.0
1,Alaska,School closing,2020-03-16,2021-01-18,3.0,52112.0
2,Alaska,School closing,2021-01-19,2021-03-09,2.0,7523.0
3,Alaska,School closing,2021-03-10,2021-04-06,1.0,4160.0
26,Alaska,Stay at home requirements,2020-03-22,2020-04-23,2.0,316.0
27,Alaska,Stay at home requirements,2020-04-24,2021-04-06,1.0,63737.0
46,Alaska,Testing policy,2020-01-21,2020-04-08,1.0,228.0
47,Alaska,Testing policy,2020-04-09,2020-08-18,2.0,4990.0
48,Alaska,Testing policy,2020-08-19,2021-04-06,3.0,58776.0
58,Alaska,Vaccination policy,2020-12-15,2020-12-17,1.0,992.0
59,Alaska,Vaccination policy,2020-12-18,2021-02-10,2.0,12719.0
60,Alaska,Vaccination policy,2021-02-11,2021-03-09,3.0,3512.0
61,Alaska,Vaccination policy,2021-03-10,2021-04-06,4.0,4160.0
4,Alaska,Workplace closing,2020-03-12,2020-03-15,1.0,1.0
5,Alaska,Workplace closing,2020-03-16,2020-03-21,2.0,15.0
6,Alaska,Workplace closing,2020-03-22,2020-04-23,3.0,316.0
7,Alaska,Workplace closing,2020-04-24,2020-05-07,2.0,36.0
8,Alaska,Workplace closing,2020-05-08,2020-08-02,1.0,3630.0
9,Alaska,Workplace closing,2020-08-03,2020-08-30,2.0,2043.0
10,Alaska,Workplace closing,2020-08-31,2020-11-30,1.0,26426.0
11,Alaska,Workplace closing,2020-12-01,2020-12-31,2.0,13875.0
12,Alaska,Workplace closing,2021-01-01,2021-04-06,1.0,17062.0
